openTime,open,high,low,close,volumn,closeTime,quote_volumn,count,taker_buy_volumn,taker_buy_quote_volumn,ignore
2025-08-24 11:30:00,9.543,9.564,9.532,9.534,7940.5,1756035899999,75855.11924,859,2321.53,22178.71709,0
2025-08-24 11:45:00,9.535,9.581,9.532,9.564,7412.25,1756036799999,70866.09469,805,3699.18,35362.35111,0
2025-08-24 12:00:00,9.563,9.59,9.53,9.57,4192.68,1756037699999,40045.72617,754,1732.36,16545.39908,0
2025-08-24 12:15:00,9.569,9.59,9.545,9.568,4469.45,1756038599999,42763.19454,814,1561.31,14948.838,0
2025-08-24 12:30:00,9.568,9.587,9.539,9.561,1572.94,1756039499999,15044.90013,724,863.32,8257.72952,0
2025-08-24 12:45:00,9.56,9.594,9.526,9.592,2507.28,1756040399999,23951.01024,648,1181.54,11286.76885,0
2025-08-24 13:00:00,9.591,9.62,9.577,9.607,10694.62,1756041299999,102626.77865,1097,5899.32,56647.15358,0
2025-08-24 13:15:00,9.606,9.686,9.603,9.662,5247.36,1756042199999,50695.30218,1120,3176.04,30680.45515,0
2025-08-24 13:30:00,9.661,9.68,9.6,9.6,5956.04,1756043099999,57369.96496,1330,2213.52,21333.26136,0
2025-08-24 13:45:00,9.599,9.61,9.576,9.579,3471.6,1756043999999,33288.9413,716,1720.09,16494.09156,0
2025-08-24 14:00:00,9.581,9.582,9.524,9.538,5528.64,1756044899999,52758.75155,1066,2146.23,20479.23582,0
2025-08-24 14:15:00,9.537,9.614,9.537,9.55,7299.78,1756045799999,69938.12365,1312,4277.2,41000.42579,0
2025-08-24 14:30:00,9.549,9.581,9.52,9.566,4597.84,1756046699999,43891.80646,968,1511.67,14432.83316,0
2025-08-24 14:45:00,9.566,9.61,9.562,9.603,6172.12,1756047599999,59196.76216,810,5311.12,50944.74809,0
2025-08-24 15:00:00,9.602,9.704,9.568,9.674,9540.65,1756048499999,92220.35273,1660,5185.06,50145.58419,0
2025-08-24 15:15:00,9.674,9.706,9.633,9.679,6164.59,1756049399999,59649.61652,1463,3418.47,33075.10903,0
2025-08-24 15:30:00,9.68,9.7,9.614,9.635,8055.74,1756050299999,77799.22846,1137,1912.85,18465.57341,0
2025-08-24 15:45:00,9.634,9.634,9.568,9.58,6945.66,1756051199999,66605.61382,1087,2618.54,25111.3687,0
2025-08-24 16:00:00,9.58,9.63,9.55,9.582,3869.53,1756052099999,37093.42724,1160,2278.31,21844.95371,0
2025-08-24 16:15:00,9.581,9.591,9.505,9.52,6168.51,1756052999999,58841.96777,1148,2232.02,21309.66622,0
2025-08-24 16:30:00,9.522,9.563,9.482,9.533,16078.54,1756053899999,153076.83639,1432,7493.24,71424.41907,0
2025-08-24 16:45:00,9.533,9.584,9.512,9.564,4155.77,1756054799999,39716.10732,834,1521.82,14542.74979,0
2025-08-24 17:00:00,9.563,9.658,9.559,9.658,14681.86,1756055699999,140915.63217,1712,8328.65,79977.47623,0
2025-08-24 17:15:00,9.659,9.678,9.603,9.643,10304.18,1756056599999,99300.80012,1429,4923.65,47477.09402,0
2025-08-24 17:30:00,9.643,9.821,9.616,9.806,39354.51,1756057499999,381892.51068,3108,23209.17,225554.22728,0
2025-08-24 17:45:00,9.805,9.843,9.75,9.758,17469.35,1756058399999,171233.3773,2321,7039.93,69053.02703,0
2025-08-24 18:00:00,9.758,9.867,9.724,9.863,8408.72,1756059299999,82421.66507,1485,5905.12,57936.50267,0
2025-08-24 18:15:00,9.863,9.975,9.851,9.946,19963.95,1756060199999,198168.52972,2829,12925.8,128365.13101,0
2025-08-24 18:30:00,9.946,10.007,9.933,9.983,12911.37,1756061099999,128891.31309,2113,6666.71,66545.97777,0
2025-08-24 18:45:00,9.982,10.032,9.944,9.975,14256.93,1756061999999,142471.82061,1906,8362.42,83577.98346,0
2025-08-24 19:00:00,9.974,10.049,9.973,10.01,18425.77,1756062899999,184670.43311,1863,9222.02,92409.07202,0
