openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,3302.43,3305.45,3302.43,3303.67,17.2802,1753975799999,57098.118676,185,11.0164,36399.844793,0
1753975800000,2025-07-31 15:30:00,3303.54,3306.24,3302.5,3302.74,20.9293,1753976699999,69153.209491,349,14.1951,46899.9032,0
1753976700000,2025-07-31 15:45:00,3302.96,3304.79,3302.74,3304.57,11.2347,1753977599999,37118.504035,81,5.9768,19748.124821,0
1753977600000,2025-07-31 16:00:00,3304.59,3304.89,3300.21,3300.39,13.3204,1753978499999,43980.948119,158,8.933,29494.72539,0
1753978500000,2025-07-31 16:15:00,3300.4,3302.66,3300.4,3302.59,25.0636,1753979399999,82745.18336,202,16.3526,53986.782479,0
1753979400000,2025-07-31 16:30:00,3302.2,3306.6,3302.0,3306.58,12.8996,1753980299999,42627.091964,179,10.115,33422.980239,0
1753980300000,2025-07-31 16:45:00,3306.59,3306.8,3305.4,3305.4,7.6693,1753981199999,25358.542046,87,0.5344,1766.942006,0
1753981200000,2025-07-31 17:00:00,3305.4,3308.32,3305.02,3308.21,13.7162,1753982099999,45358.073632,181,11.1044,36722.526006,0
1753982100000,2025-07-31 17:15:00,3308.2,3308.2,3306.46,3307.67,18.1919,1753982999999,60166.218064,173,11.5075,38056.309382,0
1753983000000,2025-07-31 17:30:00,3307.67,3307.67,3306.0,3306.25,11.0405,1753983899999,36505.557937,82,2.9833,9863.551331,0
1753983900000,2025-07-31 17:45:00,3306.25,3306.25,3304.19,3304.8,12.4269,1753984799999,41065.378169,138,10.4487,34526.906137,0
1753984800000,2025-07-31 18:00:00,3304.8,3305.19,3304.0,3305.01,42.9679,1753985699999,141990.032448,301,21.8538,72214.802955,0
1753985700000,2025-07-31 18:15:00,3305.01,3307.52,3301.79,3302.79,196.5145,1753986599999,649267.061239,1048,50.6748,167428.116368,0
1753986600000,2025-07-31 18:30:00,3302.6,3303.62,3300.0,3301.94,134.4701,1753987499999,443912.377433,648,51.3391,169488.556456,0
1753987500000,2025-07-31 18:45:00,3301.93,3302.0,3294.4,3300.67,272.475,1753988399999,899103.032327,1484,110.6087,364985.462884,0
1753988400000,2025-07-31 19:00:00,3300.68,3301.8,3299.46,3300.59,41.6086,1753989299999,137329.944594,250,26.2789,86731.523297,0
1753989300000,2025-07-31 19:15:00,3300.59,3300.59,3297.0,3297.33,38.3215,1753990199999,126421.113712,207,23.4904,77492.005453,0
1753990200000,2025-07-31 19:30:00,3297.33,3300.36,3297.33,3300.36,12.4549,1753991099999,41084.194882,168,11.6924,38568.972507,0
1753991100000,2025-07-31 19:45:00,3300.36,3300.71,3297.61,3298.41,12.2525,1753991999999,40425.931723,133,6.7833,22378.467259,0
1753992000000,2025-07-31 20:00:00,3298.41,3299.4,3297.37,3298.21,18.0247,1753992899999,59455.340125,155,6.1705,20353.093599,0
1753992900000,2025-07-31 20:15:00,3298.2,3298.4,3298.0,3298.39,7.976,1753993799999,26305.521484,122,3.4772,11468.069686,0
1753993800000,2025-07-31 20:30:00,3298.4,3299.78,3295.83,3299.78,54.5759,1753994699999,179983.736987,293,23.7407,78296.529867,0
1753994700000,2025-07-31 20:45:00,3300.01,3300.01,3299.4,3299.41,12.8976,1753995599999,42555.79712,76,8.0324,26503.095539,0
1753995600000,2025-07-31 21:00:00,3299.42,3299.42,3299.25,3299.29,8.2826,1753996499999,27326.854307,91,3.6373,12000.492718,0
1753996500000,2025-07-31 21:15:00,3299.29,3299.32,3299.0,3299.07,11.7529,1753997399999,38774.495827,84,7.6324,25180.254392,0
1753997400000,2025-07-31 21:30:00,3299.06,3300.51,3299.01,3299.33,21.2814,1753998299999,70221.824895,202,10.563,34853.55235,0
1753998300000,2025-07-31 21:45:00,3299.7,3300.55,3299.01,3299.94,10.2523,1753999199999,33830.722188,145,6.9733,23010.603788,0
1753999200000,2025-07-31 22:00:00,3299.94,3300.0,3299.0,3299.01,17.8995,1754000099999,59054.020613,100,3.7089,12236.790211,0
1754000100000,2025-07-31 22:15:00,3299.0,3301.05,3299.0,3299.79,63.8047,1754000999999,210547.709828,406,33.364,110094.365501,0
1754001000000,2025-07-31 22:30:00,3299.8,3302.21,3299.79,3300.23,34.1733,1754001899999,112793.58596,287,25.0684,82739.500654,0
1754001900000,2025-07-31 22:45:00,3300.24,3301.99,3300.23,3301.4,20.4192,1754002799999,67402.834495,230,13.2795,43835.090991,0
1754002800000,2025-07-31 23:00:00,3301.41,3301.41,3297.8,3297.81,67.2282,1754003699999,221806.703445,245,8.9577,29558.933014,0
1754003700000,2025-07-31 23:15:00,3297.81,3298.4,3295.48,3298.21,19.3307,1754004599999,63729.511513,316,15.7292,51856.090369,0
1754004600000,2025-07-31 23:30:00,3297.61,3298.03,3296.41,3296.94,14.5967,1754005499999,48126.646762,174,11.7801,38839.688572,0
