openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1754413200000,2025-08-05 17:00:00,0.3,1.1074,0.3,0.6326,36902484.8,1754414099999,25068485.81118,170957,17770616.2,12089795.84646,0
1754414100000,2025-08-05 17:15:00,0.6327,0.6456,0.5861,0.5932,9098023.0,1754414999999,5587910.63022,25469,3988661.3,2449854.8483,0
1754415000000,2025-08-05 17:30:00,0.593,0.6364,0.5801,0.6273,6612167.3,1754415899999,4019879.77473,22135,3216097.6,1957099.40252,0
1754415900000,2025-08-05 17:45:00,0.6268,0.687,0.6127,0.6672,7384036.6,1754416799999,4845350.80519,20153,3666338.1,2406877.59949,0
1754416800000,2025-08-05 18:00:00,0.668,0.6988,0.6503,0.6977,5097858.6,1754417699999,3450915.74856,14549,2745367.5,1863153.31222,0
1754417700000,2025-08-05 18:15:00,0.6982,0.71,0.6613,0.6706,5087788.6,1754418599999,3469561.44573,15157,2277384.0,1556894.59782,0
1754418600000,2025-08-05 18:30:00,0.6711,0.7052,0.6584,0.6984,3721689.3,1754419499999,2544327.8189,14141,2121330.6,1452300.105,0
1754419500000,2025-08-05 18:45:00,0.6984,0.919,0.6879,0.8677,14884528.7,1754420399999,12313492.08665,62017,8414204.8,6926507.17259,0
1754420400000,2025-08-05 19:00:00,0.8678,0.94,0.86,0.8926,9796867.8,1754421299999,8841761.26906,43323,5020223.6,4538737.76994,0
1754421300000,2025-08-05 19:15:00,0.8921,0.9231,0.8063,0.8231,6788508.8,1754422199999,5951961.26576,26826,3082844.5,2712402.12347,0
1754422200000,2025-08-05 19:30:00,0.8227,0.8651,0.8221,0.8312,4830259.2,1754423099999,4053083.31936,18380,2352058.7,1975768.63658,0
1754423100000,2025-08-05 19:45:00,0.8312,0.8594,0.7658,0.7752,5053591.4,1754423999999,4115577.43605,20059,2029661.5,1661678.51755,0
1754424000000,2025-08-05 20:00:00,0.775,0.8151,0.7425,0.8034,6239331.1,1754424899999,4867176.46706,25143,3039201.8,2374302.16153,0
1754424900000,2025-08-05 20:15:00,0.8038,0.9173,0.7995,0.868,6207269.6,1754425799999,5440727.96987,22691,3387540.5,2969692.2322,0
1754425800000,2025-08-05 20:30:00,0.8679,0.8893,0.8333,0.8453,3162562.7,1754426699999,2726516.66992,13515,1554609.6,1341885.09968,0
1754426700000,2025-08-05 20:45:00,0.846,0.8862,0.8279,0.8542,2549688.5,1754427599999,2186640.34247,13141,1329829.0,1141594.06641,0
1754427600000,2025-08-05 21:00:00,0.8541,0.8834,0.8349,0.8434,2144796.0,1754428499999,1840350.36065,11884,1093414.8,938793.06962,0
1754428500000,2025-08-05 21:15:00,0.8433,0.8539,0.82,0.846,1266761.5,1754429399999,1064534.06418,7832,646896.8,544703.66677,0
1754429400000,2025-08-05 21:30:00,0.8458,0.8839,0.8384,0.8634,2353686.3,1754430299999,2024357.18819,12699,1184336.5,1018877.3674,0
1754430300000,2025-08-05 21:45:00,0.863,0.9188,0.8591,0.8978,4416533.9,1754431199999,3944141.2271,18446,2361841.5,2112592.50777,0
1754431200000,2025-08-05 22:00:00,0.8976,0.9237,0.8367,0.8503,3809275.0,1754432099999,3378365.35758,15710,1846431.7,1644129.21242,0
1754432100000,2025-08-05 22:15:00,0.8501,0.8771,0.8367,0.8509,2404308.2,1754432999999,2060401.36736,10510,1152374.8,987469.34128,0
1754433000000,2025-08-05 22:30:00,0.8511,0.8732,0.844,0.8669,1405387.4,1754433899999,1206559.78284,9144,757484.2,650824.1455,0
1754433900000,2025-08-05 22:45:00,0.8661,0.8869,0.845,0.8531,1965300.6,1754434799999,1706753.51815,10074,1027298.1,893697.37089,0
1754434800000,2025-08-05 23:00:00,0.8531,0.8774,0.8285,0.8731,2339160.5,1754435699999,1988550.87227,13485,1174741.9,1000319.58262,0
