openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,2.164,2.173,2.164,2.169,1524.0,1753975799999,3306.2873,80,556.5,1207.2101,0
1753975800000,2025-07-31 15:30:00,2.174,2.181,2.168,2.179,6178.1,1753976699999,13431.0168,179,3139.5,6827.9062,0
1753976700000,2025-07-31 15:45:00,2.179,2.181,2.169,2.176,2427.5,1753977599999,5282.1571,186,2039.7,4437.7541,0
1753977600000,2025-07-31 16:00:00,2.175,2.179,2.17,2.177,7486.3,1753978499999,16280.3724,195,4772.9,10378.5274,0
1753978500000,2025-07-31 16:15:00,2.181,2.191,2.179,2.19,6327.1,1753979399999,13832.1516,145,3736.5,8169.2282,0
1753979400000,2025-07-31 16:30:00,2.189,2.212,2.189,2.205,3821.0,1753980299999,8423.6553,95,2475.9,5458.7401,0
1753980300000,2025-07-31 16:45:00,2.206,2.206,2.193,2.2,2583.3,1753981199999,5678.7348,33,227.5,500.739,0
1753981200000,2025-07-31 17:00:00,2.198,2.198,2.183,2.189,2696.2,1753982099999,5894.8785,129,1780.5,3892.3285,0
1753982100000,2025-07-31 17:15:00,2.187,2.196,2.175,2.178,8148.4,1753982999999,17810.3114,165,4863.1,10627.7904,0
1753983000000,2025-07-31 17:30:00,2.18,2.19,2.177,2.185,4937.1,1753983899999,10775.9805,54,3518.4,7678.2145,0
1753983900000,2025-07-31 17:45:00,2.186,2.187,2.17,2.17,1002.1,1753984799999,2179.6885,30,304.2,660.9716,0
1753984800000,2025-07-31 18:00:00,2.176,2.176,2.155,2.162,12500.6,1753985699999,27062.1632,282,5699.4,12325.2943,0
1753985700000,2025-07-31 18:15:00,2.163,2.176,2.162,2.176,2772.8,1753986599999,6003.2405,79,1093.1,2367.0138,0
1753986600000,2025-07-31 18:30:00,2.177,2.186,2.177,2.182,2257.5,1753987499999,4923.718,43,1365.3,2977.9098,0
1753987500000,2025-07-31 18:45:00,2.185,2.186,2.173,2.173,870.8,1753988399999,1897.2096,19,203.4,442.8664,0
1753988400000,2025-07-31 19:00:00,2.177,2.179,2.162,2.162,2894.3,1753989299999,6296.143,61,1689.4,3677.457,0
1753989300000,2025-07-31 19:15:00,2.166,2.172,2.166,2.171,1711.1,1753990199999,3712.1751,33,371.4,805.932,0
1753990200000,2025-07-31 19:30:00,2.173,2.178,2.17,2.175,2783.6,1753991099999,6051.8763,32,279.9,608.8635,0
1753991100000,2025-07-31 19:45:00,2.179,2.179,2.162,2.168,4644.1,1753991999999,10075.1257,40,1656.6,3599.8789,0
1753992000000,2025-07-31 20:00:00,2.167,2.169,2.151,2.159,5517.6,1753992899999,11925.4772,124,3076.3,6655.5477,0
1753992900000,2025-07-31 20:15:00,2.158,2.168,2.155,2.156,585.9,1753993799999,1265.8171,19,116.3,250.7072,0
1753993800000,2025-07-31 20:30:00,2.161,2.164,2.157,2.162,6176.3,1753994699999,13337.6465,48,3018.8,6520.2544,0
1753994700000,2025-07-31 20:45:00,2.162,2.162,2.151,2.159,2893.6,1753995599999,6242.7756,34,2202.3,4753.0062,0
1753995600000,2025-07-31 21:00:00,2.157,2.161,2.151,2.153,4773.8,1753996499999,10292.7482,37,1797.8,3876.4104,0
1753996500000,2025-07-31 21:15:00,2.153,2.155,2.145,2.151,1238.5,1753997399999,2662.3671,30,534.8,1149.4284,0
1753997400000,2025-07-31 21:30:00,2.154,2.158,2.154,2.154,3776.0,1753998299999,8136.5071,73,2433.9,5245.6145,0
1753998300000,2025-07-31 21:45:00,2.154,2.155,2.126,2.143,24307.0,1753999199999,52056.7589,545,8835.7,18846.2426,0
1753999200000,2025-07-31 22:00:00,2.14,2.14,2.128,2.133,3986.0,1754000099999,8505.6495,131,1517.4,3238.7973,0
1754000100000,2025-07-31 22:15:00,2.135,2.141,2.128,2.132,2980.0,1754000999999,6362.771,73,2213.1,4726.3029,0
1754001000000,2025-07-31 22:30:00,2.132,2.132,2.12,2.12,9525.2,1754001899999,20217.5101,337,3302.5,7008.6429,0
1754001900000,2025-07-31 22:45:00,2.124,2.124,2.116,2.12,4722.9,1754002799999,10004.5835,191,3727.4,7893.0902,0
1754002800000,2025-07-31 23:00:00,2.12,2.132,2.117,2.127,4400.6,1754003699999,9360.6542,221,3322.6,7066.7923,0
1754003700000,2025-07-31 23:15:00,2.126,2.126,2.116,2.116,1876.9,1754004599999,3981.1097,58,430.7,915.0005,0
1754004600000,2025-07-31 23:30:00,2.115,2.115,2.094,2.105,18618.4,1754005499999,39187.6064,760,10771.6,22682.4439,0
1754005500000,2025-07-31 23:45:00,2.106,2.109,2.1,2.104,5604.8,1754006399999,11804.7863,336,3045.0,6414.5486,0
1754006400000,2025-08-01 00:00:00,2.106,2.111,2.086,2.09,19746.0,1754007299999,41408.5767,1129,10782.3,22607.018,0
1754007300000,2025-08-01 00:15:00,2.092,2.111,2.088,2.094,11344.8,1754008199999,23805.6489,594,5962.0,12506.637,0
1754008200000,2025-08-01 00:30:00,2.095,2.097,2.081,2.085,14046.2,1754009099999,29341.691,782,8834.9,18459.8881,0
1754009100000,2025-08-01 00:45:00,2.085,2.106,2.059,2.103,34206.2,1754009999999,70998.7576,1798,21353.5,44329.9832,0
1754010000000,2025-08-01 01:00:00,2.101,2.113,2.083,2.085,10481.0,1754010899999,22003.3082,270,1612.7,3383.6882,0
1754010900000,2025-08-01 01:15:00,2.086,2.099,2.081,2.094,5498.7,1754011799999,11500.8561,279,2298.5,4806.5782,0
1754011800000,2025-08-01 01:30:00,2.095,2.11,2.088,2.104,1434.3,1754012699999,3011.3678,91,763.0,1604.6015,0
1754012700000,2025-08-01 01:45:00,2.106,2.107,2.094,2.105,3741.3,1754013599999,7861.1671,104,2224.4,4672.1884,0
1754013600000,2025-08-01 02:00:00,2.104,2.121,2.101,2.119,9885.0,1754014499999,20907.2521,305,7139.4,15098.6239,0
1754014500000,2025-08-01 02:15:00,2.118,2.125,2.114,2.115,3901.3,1754015399999,8276.9391,133,1530.6,3246.5021,0
1754015400000,2025-08-01 02:30:00,2.116,2.128,2.114,2.123,6833.2,1754016299999,14503.8074,109,3472.7,7377.5182,0
1754016300000,2025-08-01 02:45:00,2.121,2.129,2.12,2.125,7760.6,1754017199999,16488.24,150,6465.7,13740.2853,0
1754017200000,2025-08-01 03:00:00,2.126,2.129,2.121,2.123,6265.5,1754018099999,13318.468,147,2667.9,5667.5661,0
1754018100000,2025-08-01 03:15:00,2.122,2.133,2.12,2.131,11220.5,1754018999999,23862.3653,141,5391.4,11469.6926,0
1754019000000,2025-08-01 03:30:00,2.131,2.131,2.119,2.122,9923.9,1754019899999,21068.8455,148,2032.8,4316.7255,0
1754019900000,2025-08-01 03:45:00,2.121,2.124,2.116,2.118,5309.9,1754020799999,11253.7177,116,1144.1,2424.3272,0
1754020800000,2025-08-01 04:00:00,2.118,2.118,2.107,2.114,2770.1,1754021699999,5855.7023,89,1762.2,3726.2497,0
1754021700000,2025-08-01 04:15:00,2.112,2.112,2.106,2.11,436.0,1754022599999,919.0705,44,185.9,392.054,0
1754022600000,2025-08-01 04:30:00,2.109,2.117,2.106,2.11,5213.6,1754023499999,11006.8985,135,1063.0,2244.5782,0
1754023500000,2025-08-01 04:45:00,2.112,2.112,2.106,2.107,7491.1,1754024399999,15789.4191,198,3889.1,8194.3568,0
1754024400000,2025-08-01 05:00:00,2.106,2.113,2.106,2.111,12161.3,1754025299999,25657.4134,147,7644.7,16128.5489,0
