openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.01397,0.01407,0.01394,0.01402,2417942.9,1753975799999,33869.697553,313,1195958.6,16752.527976,0
1753975800000,2025-07-31 15:30:00,0.01403,0.01425,0.01403,0.01414,3653824.2,1753976699999,51726.565305,394,1771559.6,25060.737737,0
1753976700000,2025-07-31 15:45:00,0.01414,0.01419,0.01401,0.01406,2202089.7,1753977599999,31032.747802,282,1343005.4,18943.492996,0
1753977600000,2025-07-31 16:00:00,0.01406,0.01411,0.01398,0.01407,4426291.9,1753978499999,62096.847314,457,2704458.9,37941.787102,0
1753978500000,2025-07-31 16:15:00,0.01407,0.01424,0.01404,0.0142,2094426.5,1753979399999,29572.789955,324,1476576.2,20854.699371,0
1753979400000,2025-07-31 16:30:00,0.0142,0.01449,0.0142,0.01442,8331973.4,1753980299999,119821.254521,733,6353663.8,91393.547368,0
1753980300000,2025-07-31 16:45:00,0.01439,0.01449,0.01424,0.01425,8629896.9,1753981199999,123726.563385,608,4850767.2,69549.25622,0
1753981200000,2025-07-31 17:00:00,0.01426,0.01428,0.01413,0.01421,4715379.2,1753982099999,66928.956962,437,2395791.9,34024.411779,0
1753982100000,2025-07-31 17:15:00,0.01421,0.01435,0.0141,0.01415,4404590.1,1753982999999,62567.243626,609,2705429.0,38444.684585,0
1753983000000,2025-07-31 17:30:00,0.01417,0.01417,0.01405,0.0141,5612478.3,1753983899999,79230.996614,344,2361909.9,33339.149109,0
1753983900000,2025-07-31 17:45:00,0.0141,0.01413,0.01388,0.01391,6074130.2,1753984799999,84694.786647,417,3721334.9,51866.244191,0
1753984800000,2025-07-31 18:00:00,0.01391,0.01393,0.01374,0.01379,5653675.1,1753985699999,77991.464532,426,2179257.3,30102.287695,0
1753985700000,2025-07-31 18:15:00,0.01377,0.01392,0.01372,0.01388,5499516.2,1753986599999,75938.643791,462,3249708.1,44952.619552,0
1753986600000,2025-07-31 18:30:00,0.01388,0.0139,0.01381,0.01383,3863523.0,1753987499999,53525.515912,265,3048630.0,42238.931962,0
1753987500000,2025-07-31 18:45:00,0.01383,0.01385,0.01372,0.01375,1063968.3,1753988399999,14671.320139,185,777107.4,10719.375656,0
1753988400000,2025-07-31 19:00:00,0.01375,0.01379,0.01359,0.01359,5838320.0,1753989299999,79830.408192,433,3171017.7,43389.434651,0
1753989300000,2025-07-31 19:15:00,0.0136,0.01382,0.0136,0.01371,3788051.7,1753990199999,51973.209422,312,3360862.5,46121.876834,0
1753990200000,2025-07-31 19:30:00,0.01371,0.01374,0.01367,0.01371,1355192.9,1753991099999,18578.450777,216,977902.3,13406.925445,0
