openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.539,0.541,0.538,0.541,30455.96,1753975799999,16433.42462,333,12737.49,6873.3267,0
1753975800000,2025-07-31 15:30:00,0.541,0.544,0.541,0.543,35222.56,1753976699999,19104.88083,188,25150.23,13640.84206,0
1753976700000,2025-07-31 15:45:00,0.542,0.544,0.541,0.543,22659.28,1753977599999,12279.18378,99,7727.54,4190.11158,0
1753977600000,2025-07-31 16:00:00,0.542,0.544,0.541,0.543,20864.61,1753978499999,11326.99013,125,12235.94,6644.07825,0
1753978500000,2025-07-31 16:15:00,0.544,0.545,0.542,0.544,39281.61,1753979399999,21368.2003,142,19728.21,10732.38027,0
1753979400000,2025-07-31 16:30:00,0.544,0.548,0.544,0.546,55188.27,1753980299999,30166.60929,150,25092.22,13714.32647,0
1753980300000,2025-07-31 16:45:00,0.546,0.547,0.544,0.545,7812.99,1753981199999,4264.85808,67,2952.57,1611.46451,0
1753981200000,2025-07-31 17:00:00,0.546,0.546,0.543,0.544,5067.25,1753982099999,2758.61835,57,1353.22,736.4666,0
1753982100000,2025-07-31 17:15:00,0.545,0.546,0.541,0.541,14969.89,1753982999999,8129.93077,83,6181.16,3360.04512,0
1753983000000,2025-07-31 17:30:00,0.541,0.543,0.541,0.541,4310.43,1753983899999,2337.73724,39,1469.39,797.82331,0
1753983900000,2025-07-31 17:45:00,0.542,0.543,0.538,0.54,28512.15,1753984799999,15402.48529,81,15170.07,8193.36778,0
1753984800000,2025-07-31 18:00:00,0.54,0.54,0.536,0.536,51292.25,1753985699999,27554.69151,116,30010.06,16125.43786,0
1753985700000,2025-07-31 18:15:00,0.536,0.54,0.535,0.54,19805.47,1753986599999,10644.26065,102,13046.38,7015.96968,0
1753986600000,2025-07-31 18:30:00,0.54,0.541,0.539,0.54,10324.11,1753987499999,5578.77369,31,7027.49,3798.61072,0
1753987500000,2025-07-31 18:45:00,0.541,0.541,0.537,0.539,11355.04,1753988399999,6135.50878,35,3700.48,2001.70825,0
1753988400000,2025-07-31 19:00:00,0.539,0.54,0.535,0.535,13674.66,1753989299999,7343.54905,60,6935.2,3726.01697,0
1753989300000,2025-07-31 19:15:00,0.535,0.537,0.535,0.536,2180.4,1753990199999,1168.72878,39,1209.34,648.33764,0
1753990200000,2025-07-31 19:30:00,0.536,0.537,0.534,0.536,59432.14,1753991099999,31829.10936,112,34198.1,18314.20029,0
1753991100000,2025-07-31 19:45:00,0.535,0.536,0.533,0.533,36161.39,1753991999999,19323.73109,70,21950.74,11734.42594,0
1753992000000,2025-07-31 20:00:00,0.533,0.534,0.531,0.533,75258.1,1753992899999,40083.52855,129,46687.72,24870.53192,0
1753992900000,2025-07-31 20:15:00,0.533,0.535,0.532,0.534,17160.59,1753993799999,9153.09086,59,9250.0,4936.14973,0
1753993800000,2025-07-31 20:30:00,0.534,0.535,0.532,0.533,34592.0,1753994699999,18470.052,75,23850.92,12746.06607,0
1753994700000,2025-07-31 20:45:00,0.533,0.534,0.531,0.532,10557.28,1753995599999,5623.23038,38,7388.69,3935.17667,0
1753995600000,2025-07-31 21:00:00,0.532,0.534,0.531,0.532,44498.43,1753996499999,23684.33286,84,24747.88,13175.32374,0
1753996500000,2025-07-31 21:15:00,0.532,0.533,0.531,0.531,15113.26,1753997399999,8037.22484,38,6774.61,3604.15629,0
1753997400000,2025-07-31 21:30:00,0.533,0.535,0.531,0.533,18050.37,1753998299999,9616.07397,81,7592.16,4048.83638,0
1753998300000,2025-07-31 21:45:00,0.532,0.533,0.527,0.529,63341.42,1753999199999,33527.8253,602,37193.01,19684.30497,0
1753999200000,2025-07-31 22:00:00,0.53,0.53,0.527,0.528,21882.44,1754000099999,11562.29284,399,14327.38,7568.8874,0
1754000100000,2025-07-31 22:15:00,0.528,0.53,0.526,0.527,27756.55,1754000999999,14634.49628,310,15395.2,8120.66493,0
1754001000000,2025-07-31 22:30:00,0.527,0.527,0.525,0.527,52723.21,1754001899999,27753.75964,402,30649.98,16140.11971,0
1754001900000,2025-07-31 22:45:00,0.527,0.527,0.524,0.525,70402.96,1754002799999,36964.4558,283,28243.41,14842.23021,0
1754002800000,2025-07-31 23:00:00,0.525,0.529,0.525,0.527,65824.34,1754003699999,34674.03602,239,47510.62,25032.99586,0
1754003700000,2025-07-31 23:15:00,0.527,0.528,0.525,0.525,22791.77,1754004599999,11993.70291,101,7733.8,4072.98164,0
1754004600000,2025-07-31 23:30:00,0.524,0.525,0.521,0.523,90698.35,1754005499999,47451.11712,437,48160.37,25199.70437,0
1754005500000,2025-07-31 23:45:00,0.524,0.524,0.522,0.522,27175.54,1754006399999,14217.77346,114,12587.66,6585.45868,0
