openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,1.362,1.369,1.361,1.368,83773.2,1753975799999,114377.4946,971,55398.7,75641.8971,0
1753975800000,2025-07-31 15:30:00,1.368,1.377,1.368,1.372,166388.7,1753976699999,228534.2268,1136,112819.5,154983.6206,0
1753976700000,2025-07-31 15:45:00,1.372,1.374,1.366,1.37,99111.6,1753977599999,135630.0012,916,38284.6,52412.2997,0
1753977600000,2025-07-31 16:00:00,1.37,1.377,1.369,1.377,124089.4,1753978499999,170554.893,882,81569.4,112127.4134,0
1753978500000,2025-07-31 16:15:00,1.378,1.386,1.378,1.384,114261.0,1753979399999,157916.8988,732,78752.8,108881.043,0
1753979400000,2025-07-31 16:30:00,1.385,1.4,1.385,1.394,290859.9,1753980299999,405638.88,1382,170222.4,237376.1456,0
1753980300000,2025-07-31 16:45:00,1.394,1.395,1.387,1.392,77118.7,1753981199999,107237.0625,588,47473.0,66019.965,0
1753981200000,2025-07-31 17:00:00,1.391,1.391,1.381,1.385,112818.4,1753982099999,156307.0262,1019,47188.1,65376.3706,0
1753982100000,2025-07-31 17:15:00,1.385,1.387,1.372,1.375,164439.9,1753982999999,226720.5026,1534,61022.6,84071.9109,0
1753983000000,2025-07-31 17:30:00,1.376,1.382,1.371,1.374,70884.3,1753983899999,97739.1953,985,25400.7,35031.9931,0
1753983900000,2025-07-31 17:45:00,1.375,1.377,1.366,1.368,224651.5,1753984799999,307717.7858,1184,120599.0,165240.7298,0
1753984800000,2025-07-31 18:00:00,1.369,1.37,1.359,1.362,148058.6,1753985699999,201890.3875,1377,58684.8,80079.1385,0
1753985700000,2025-07-31 18:15:00,1.361,1.371,1.358,1.371,146291.6,1753986599999,199801.5054,968,92896.2,126941.8786,0
1753986600000,2025-07-31 18:30:00,1.371,1.375,1.37,1.37,46039.1,1753987499999,63179.3829,598,33056.7,45366.5034,0
1753987500000,2025-07-31 18:45:00,1.371,1.374,1.363,1.366,90702.7,1753988399999,124027.6674,666,42016.1,57467.7175,0
1753988400000,2025-07-31 19:00:00,1.366,1.368,1.357,1.358,90958.9,1753989299999,123894.1604,1066,46149.3,62881.5984,0
1753989300000,2025-07-31 19:15:00,1.358,1.362,1.357,1.36,61789.7,1753990199999,83982.8745,718,37023.5,50315.9803,0
1753990200000,2025-07-31 19:30:00,1.36,1.361,1.357,1.36,44517.9,1753991099999,60538.8745,460,15581.9,21198.791,0
1753991100000,2025-07-31 19:45:00,1.36,1.362,1.354,1.358,117937.6,1753991999999,160169.9596,748,55908.7,75942.6798,0
1753992000000,2025-07-31 20:00:00,1.357,1.359,1.344,1.349,424501.2,1753992899999,572986.1944,1930,178001.8,240121.3678,0
1753992900000,2025-07-31 20:15:00,1.35,1.356,1.347,1.352,104234.6,1753993799999,140908.1698,822,57797.5,78160.7725,0
1753993800000,2025-07-31 20:30:00,1.352,1.354,1.346,1.349,102301.5,1753994699999,138073.731,866,52171.9,70408.7848,0
1753994700000,2025-07-31 20:45:00,1.349,1.351,1.345,1.348,96802.2,1753995599999,130475.8601,603,32494.9,43787.5636,0
1753995600000,2025-07-31 21:00:00,1.347,1.351,1.344,1.344,80379.1,1753996499999,108231.1995,735,41769.3,56259.0153,0
1753996500000,2025-07-31 21:15:00,1.344,1.348,1.343,1.348,69272.6,1753997399999,93184.8383,747,32629.7,43902.1689,0
1753997400000,2025-07-31 21:30:00,1.348,1.353,1.346,1.347,85980.9,1753998299999,115968.089,492,40278.1,54351.36,0
1753998300000,2025-07-31 21:45:00,1.347,1.349,1.33,1.342,237694.4,1753999199999,318281.8461,2096,118993.4,159260.479,0
1753999200000,2025-07-31 22:00:00,1.342,1.342,1.333,1.336,86613.1,1754000099999,115755.7096,1010,52927.1,70760.2182,0
1754000100000,2025-07-31 22:15:00,1.336,1.34,1.333,1.336,81247.6,1754000999999,108531.7199,965,44182.6,59030.3203,0
1754001000000,2025-07-31 22:30:00,1.336,1.336,1.328,1.332,158080.4,1754001899999,210581.8083,1383,88808.7,118365.285,0
1754001900000,2025-07-31 22:45:00,1.332,1.332,1.326,1.329,101914.5,1754002799999,135380.3269,671,27524.4,36585.0687,0
1754002800000,2025-07-31 23:00:00,1.33,1.337,1.329,1.336,89049.0,1754003699999,118792.7483,895,58757.1,78373.6956,0
1754003700000,2025-07-31 23:15:00,1.335,1.335,1.33,1.331,60608.8,1754004599999,80810.2831,842,34627.3,46175.0261,0
1754004600000,2025-07-31 23:30:00,1.33,1.33,1.315,1.319,406502.7,1754005499999,537514.4636,2938,175319.4,231860.0661,0
1754005500000,2025-07-31 23:45:00,1.32,1.321,1.314,1.317,161253.4,1754006399999,212386.6169,2204,73890.8,97358.7942,0
1754006400000,2025-08-01 00:00:00,1.318,1.318,1.303,1.306,203979.8,1754007299999,267242.89,1904,88972.5,116546.1561,0
1754007300000,2025-08-01 00:15:00,1.307,1.32,1.306,1.313,272405.7,1754008199999,358032.8232,2072,179778.1,236329.026,0
1754008200000,2025-08-01 00:30:00,1.313,1.313,1.303,1.305,153411.8,1754009099999,200910.0834,1945,85270.7,111667.2381,0
1754009100000,2025-08-01 00:45:00,1.306,1.314,1.285,1.313,457455.8,1754009999999,593505.715,7517,284441.8,369154.2813,0
1754010000000,2025-08-01 01:00:00,1.313,1.319,1.301,1.303,436964.4,1754010899999,572321.8023,3281,154474.8,202436.8389,0
1754010900000,2025-08-01 01:15:00,1.303,1.315,1.3,1.312,310586.0,1754011799999,406336.2458,2534,151202.2,197898.4485,0
1754011800000,2025-08-01 01:30:00,1.312,1.317,1.306,1.314,198364.9,1754012699999,260213.4279,1850,59602.5,78172.953,0
1754012700000,2025-08-01 01:45:00,1.314,1.315,1.306,1.313,149004.4,1754013599999,195312.4293,1277,69404.8,90947.0251,0
1754013600000,2025-08-01 02:00:00,1.313,1.322,1.309,1.322,217746.2,1754014499999,286458.5733,1649,109111.5,143626.2106,0
