openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.02063,0.02073,0.02061,0.02073,469630.0,1753975799999,9715.56474,224,381437.0,7891.57093,0
1753975800000,2025-07-31 15:30:00,0.02072,0.02087,0.02072,0.02082,558465.0,1753976699999,11619.3489,215,403173.0,8387.63413,0
1753976700000,2025-07-31 15:45:00,0.02081,0.02086,0.02069,0.02075,345066.0,1753977599999,7158.38455,165,117331.0,2434.83136,0
1753977600000,2025-07-31 16:00:00,0.02074,0.02083,0.02072,0.02078,713797.0,1753978499999,14827.79913,250,324137.0,6732.95432,0
1753978500000,2025-07-31 16:15:00,0.0208,0.02094,0.02078,0.02093,445599.0,1753979399999,9298.9752,232,324275.0,6767.28556,0
1753979400000,2025-07-31 16:30:00,0.02091,0.02121,0.02091,0.02113,833296.0,1753980299999,17591.30168,468,615228.0,12984.64225,0
1753980300000,2025-07-31 16:45:00,0.02114,0.02115,0.02098,0.02105,323848.0,1753981199999,6815.94258,188,170252.0,3583.00631,0
1753981200000,2025-07-31 17:00:00,0.02104,0.02104,0.02089,0.02094,378958.0,1753982099999,7944.03932,215,236438.0,4955.44968,0
1753982100000,2025-07-31 17:15:00,0.02095,0.02104,0.02077,0.02084,364794.0,1753982999999,7621.87099,210,202322.0,4228.34213,0
1753983000000,2025-07-31 17:30:00,0.02085,0.02095,0.02082,0.02085,289025.0,1753983899999,6035.56591,168,205632.0,4294.25987,0
1753983900000,2025-07-31 17:45:00,0.02086,0.0209,0.02068,0.02073,465513.0,1753984799999,9670.12799,233,246454.0,5115.39882,0
1753984800000,2025-07-31 18:00:00,0.02074,0.02076,0.02058,0.02061,554382.0,1753985699999,11438.4333,224,145372.0,3000.91069,0
1753985700000,2025-07-31 18:15:00,0.0206,0.02077,0.0205,0.02076,2101157.0,1753986599999,43302.41086,434,1529454.0,31531.339,0
1753986600000,2025-07-31 18:30:00,0.02076,0.02088,0.02076,0.02083,420435.0,1753987499999,8751.32188,145,186609.0,3886.23031,0
1753987500000,2025-07-31 18:45:00,0.02083,0.02087,0.02069,0.02073,281478.0,1753988399999,5842.95083,132,83979.0,1746.5059,0
1753988400000,2025-07-31 19:00:00,0.02074,0.02076,0.02058,0.02059,324738.0,1753989299999,6720.05583,159,210830.0,4362.94217,0
1753989300000,2025-07-31 19:15:00,0.02059,0.02068,0.02057,0.02065,336237.0,1753990199999,6937.00598,142,237189.0,4894.22066,0
1753990200000,2025-07-31 19:30:00,0.02064,0.02072,0.02062,0.02066,435615.0,1753991099999,9006.22863,171,279351.0,5775.22583,0
1753991100000,2025-07-31 19:45:00,0.02067,0.0207,0.02055,0.02058,361593.0,1753991999999,7456.10503,148,275100.0,5673.46764,0
1753992000000,2025-07-31 20:00:00,0.02058,0.02063,0.02044,0.02053,841534.0,1753992899999,17278.58217,307,494263.0,10154.40974,0
1753992900000,2025-07-31 20:15:00,0.02053,0.02062,0.02047,0.02052,633758.0,1753993799999,13032.35386,187,345108.0,7099.06756,0
1753993800000,2025-07-31 20:30:00,0.02053,0.02056,0.02042,0.02049,287362.0,1753994699999,5888.80132,154,134004.0,2747.23803,0
1753994700000,2025-07-31 20:45:00,0.02048,0.02051,0.02041,0.02045,75884.0,1753995599999,1552.25192,80,29065.0,594.47944,0
1753995600000,2025-07-31 21:00:00,0.02044,0.02053,0.02042,0.02042,261416.0,1753996499999,5349.13577,151,163614.0,3348.24576,0
1753996500000,2025-07-31 21:15:00,0.02041,0.02044,0.02033,0.02038,173723.0,1753997399999,3542.15393,89,42551.0,867.05268,0
1753997400000,2025-07-31 21:30:00,0.02038,0.02044,0.02032,0.02032,227065.0,1753998299999,4631.1993,191,168511.0,3437.43273,0
1753998300000,2025-07-31 21:45:00,0.02032,0.02034,0.02004,0.02024,832940.0,1753999199999,16782.67954,367,396112.0,7980.08419,0
1753999200000,2025-07-31 22:00:00,0.02024,0.02024,0.02009,0.02016,169795.0,1754000099999,3420.58678,153,123575.0,2488.71984,0
1754000100000,2025-07-31 22:15:00,0.02014,0.02022,0.02009,0.02016,216429.0,1754000999999,4365.04292,154,138174.0,2786.54951,0
1754001000000,2025-07-31 22:30:00,0.02015,0.02015,0.02,0.0201,340213.0,1754001899999,6831.48129,203,243930.0,4898.30034,0
1754001900000,2025-07-31 22:45:00,0.0201,0.02011,0.02003,0.02007,123433.0,1754002799999,2477.31659,123,86965.0,1745.63198,0
1754002800000,2025-07-31 23:00:00,0.02007,0.02013,0.01999,0.02007,1684030.0,1754003699999,33768.1593,431,917219.0,18413.05641,0
1754003700000,2025-07-31 23:15:00,0.02006,0.02007,0.01994,0.01994,406954.0,1754004599999,8144.50378,171,185853.0,3718.1138,0
1754004600000,2025-07-31 23:30:00,0.01994,0.01994,0.01973,0.01983,1404918.0,1754005499999,27853.8048,822,975076.0,19339.5184,0
1754005500000,2025-07-31 23:45:00,0.01984,0.01989,0.01978,0.01983,541843.0,1754006399999,10750.61954,258,396990.0,7877.79496,0
1754006400000,2025-08-01 00:00:00,0.01984,0.0199,0.01956,0.01961,1060584.0,1754007299999,20889.32425,561,644774.0,12706.23029,0
1754007300000,2025-08-01 00:15:00,0.01962,0.01988,0.0196,0.01972,783821.0,1754008199999,15471.01025,444,597934.0,11800.09854,0
1754008200000,2025-08-01 00:30:00,0.01973,0.01975,0.01956,0.01961,477126.0,1754009099999,9384.00397,297,337236.0,6633.33674,0
