openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.04431,0.04472,0.04431,0.04466,631657.0,1753975799999,28145.02642,383,450999.0,20106.2469,0
1753975800000,2025-07-31 15:30:00,0.04465,0.04492,0.04465,0.04482,281914.0,1753976699999,12630.5672,332,116705.0,5227.6802,0
1753976700000,2025-07-31 15:45:00,0.04484,0.045,0.04462,0.04474,898894.0,1753977599999,40284.24303,634,272867.0,12235.92866,0
1753977600000,2025-07-31 16:00:00,0.04471,0.04483,0.0446,0.0447,531707.0,1753978499999,23781.57796,542,331414.0,14823.82562,0
1753978500000,2025-07-31 16:15:00,0.04471,0.04475,0.04459,0.04469,164593.0,1753979399999,7350.80233,271,100583.0,4492.43381,0
1753979400000,2025-07-31 16:30:00,0.0447,0.04519,0.04467,0.04517,606723.0,1753980299999,27248.53028,430,376479.0,16899.15878,0
1753980300000,2025-07-31 16:45:00,0.0452,0.0452,0.04487,0.04494,579897.0,1753981199999,26119.4734,462,316030.0,14233.14931,0
1753981200000,2025-07-31 17:00:00,0.04495,0.04502,0.04471,0.04496,553574.0,1753982099999,24836.04229,594,255289.0,11456.25895,0
1753982100000,2025-07-31 17:15:00,0.04498,0.04507,0.04469,0.04479,541749.0,1753982999999,24281.26065,592,238684.0,10700.00194,0
1753983000000,2025-07-31 17:30:00,0.04481,0.04483,0.04466,0.04468,457448.0,1753983899999,20469.66989,287,222649.0,9964.81184,0
1753983900000,2025-07-31 17:45:00,0.04471,0.04475,0.04438,0.0446,1011363.0,1753984799999,45004.55832,964,614406.0,27338.5493,0
1753984800000,2025-07-31 18:00:00,0.04463,0.04464,0.04432,0.04449,597687.0,1753985699999,26547.82314,589,250272.0,11113.52296,0
1753985700000,2025-07-31 18:15:00,0.04449,0.04473,0.04443,0.04471,419762.0,1753986599999,18728.01141,426,252761.0,11279.12518,0
1753986600000,2025-07-31 18:30:00,0.0447,0.04501,0.0447,0.04485,501500.0,1753987499999,22504.62758,390,237843.0,10673.78821,0
1753987500000,2025-07-31 18:45:00,0.04487,0.04493,0.0447,0.04478,429373.0,1753988399999,19244.61968,321,149584.0,6705.94077,0
1753988400000,2025-07-31 19:00:00,0.04479,0.04482,0.0446,0.04463,473059.0,1753989299999,21145.37599,371,241319.0,10786.80082,0
1753989300000,2025-07-31 19:15:00,0.04464,0.04479,0.0445,0.04451,394850.0,1753990199999,17637.99595,338,200028.0,8936.51957,0
1753990200000,2025-07-31 19:30:00,0.04453,0.04468,0.04424,0.04463,864301.0,1753991099999,38404.78153,828,485121.0,21553.70224,0
1753991100000,2025-07-31 19:45:00,0.04465,0.0447,0.04441,0.04446,618294.0,1753991999999,27522.96599,536,223819.0,9960.9104,0
1753992000000,2025-07-31 20:00:00,0.04445,0.04446,0.04405,0.04417,896085.0,1753992899999,39580.54555,707,294150.0,12995.53519,0
1753992900000,2025-07-31 20:15:00,0.04415,0.0445,0.04414,0.04436,427774.0,1753993799999,18977.54422,586,250403.0,11108.64444,0
1753993800000,2025-07-31 20:30:00,0.04438,0.04452,0.0443,0.04447,225789.0,1753994699999,10028.32406,400,132730.0,5894.1242,0
1753994700000,2025-07-31 20:45:00,0.04448,0.04461,0.04446,0.0446,208028.0,1753995599999,9266.67874,188,156928.0,6991.10026,0
1753995600000,2025-07-31 21:00:00,0.04458,0.0446,0.0444,0.04441,477583.0,1753996499999,21241.41223,433,239830.0,10670.25392,0
1753996500000,2025-07-31 21:15:00,0.04443,0.04468,0.04442,0.04468,456628.0,1753997399999,20340.46778,329,261741.0,11668.0876,0
1753997400000,2025-07-31 21:30:00,0.04465,0.04478,0.04463,0.04469,120915.0,1753998299999,5406.1013,163,51277.0,2293.19369,0
1753998300000,2025-07-31 21:45:00,0.04469,0.04471,0.04409,0.04432,542923.0,1753999199999,24040.71361,573,166323.0,7357.86944,0
1753999200000,2025-07-31 22:00:00,0.04433,0.04448,0.04409,0.04428,254278.0,1754000099999,11250.8743,332,115476.0,5108.4224,0
1754000100000,2025-07-31 22:15:00,0.04429,0.04437,0.04411,0.04426,466893.0,1754000999999,20648.24903,482,250511.0,11078.86623,0
1754001000000,2025-07-31 22:30:00,0.04425,0.04426,0.04407,0.04418,203658.0,1754001899999,8993.61475,321,139732.0,6171.45566,0
