openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.1631,0.1636,0.1629,0.1635,15111.4,1753975799999,2469.00929,72,5322.4,869.69949,0
1753975800000,2025-07-31 15:30:00,0.1635,0.1642,0.1635,0.1642,35490.7,1753976699999,5817.58597,117,16636.3,2727.96973,0
1753976700000,2025-07-31 15:45:00,0.164,0.1644,0.1636,0.164,10361.6,1753977599999,1697.89351,61,6907.3,1131.94647,0
1753977600000,2025-07-31 16:00:00,0.1638,0.1644,0.1637,0.1643,30727.7,1753978499999,5039.84864,82,22072.4,3620.18139,0
1753978500000,2025-07-31 16:15:00,0.1642,0.1649,0.1642,0.1647,55181.1,1753979399999,9086.5301,132,16869.6,2777.93748,0
1753979400000,2025-07-31 16:30:00,0.1647,0.1661,0.1647,0.1656,94634.1,1753980299999,15678.01485,159,23584.6,3906.2367,0
1753980300000,2025-07-31 16:45:00,0.1657,0.1657,0.1648,0.1648,49505.1,1753981199999,8174.40077,116,23148.0,3821.65558,0
1753981200000,2025-07-31 17:00:00,0.1648,0.1648,0.1642,0.1645,40647.0,1753982099999,6687.31324,88,34584.3,5690.26633,0
1753982100000,2025-07-31 17:15:00,0.1644,0.165,0.1637,0.1639,50783.3,1753982999999,8362.01246,151,45864.8,7553.47436,0
1753983000000,2025-07-31 17:30:00,0.1641,0.1644,0.1631,0.1635,146361.7,1753983899999,23959.37071,166,60588.0,9913.42135,0
1753983900000,2025-07-31 17:45:00,0.1636,0.1636,0.1627,0.163,40655.1,1753984799999,6625.23615,80,36602.0,5964.86591,0
1753984800000,2025-07-31 18:00:00,0.163,0.1631,0.1622,0.1624,72535.2,1753985699999,11785.21333,120,55200.7,8969.43748,0
1753985700000,2025-07-31 18:15:00,0.1623,0.1639,0.1623,0.1638,119879.5,1753986599999,19578.55802,200,74384.4,12139.514,0
1753986600000,2025-07-31 18:30:00,0.1639,0.1643,0.1639,0.1641,36654.7,1753987499999,6013.74582,99,7346.6,1205.31224,0
1753987500000,2025-07-31 18:45:00,0.1641,0.1645,0.1635,0.1636,24545.9,1753988399999,4029.40957,92,4710.5,773.22174,0
1753988400000,2025-07-31 19:00:00,0.1638,0.1639,0.1625,0.1625,10389.3,1753989299999,1694.67086,74,4815.2,785.0463,0
1753989300000,2025-07-31 19:15:00,0.1626,0.1631,0.1625,0.1631,15565.7,1753990199999,2535.96238,69,6804.0,1108.55213,0
1753990200000,2025-07-31 19:30:00,0.1632,0.1634,0.1628,0.1629,19787.1,1753991099999,3228.11223,62,4728.6,770.76817,0
1753991100000,2025-07-31 19:45:00,0.1629,0.1632,0.1626,0.163,5067.3,1753991999999,825.50109,53,1017.1,165.6122,0
1753992000000,2025-07-31 20:00:00,0.1628,0.1632,0.1622,0.1625,42409.0,1753992899999,6901.1523,109,11818.3,1922.63861,0
1753992900000,2025-07-31 20:15:00,0.1624,0.1631,0.1622,0.1624,11545.0,1753993799999,1880.28025,56,4148.0,675.70266,0
1753993800000,2025-07-31 20:30:00,0.1625,0.1626,0.162,0.1622,11533.9,1753994699999,1871.97717,63,6159.0,999.54895,0
1753994700000,2025-07-31 20:45:00,0.1622,0.1623,0.1617,0.1619,27067.6,1753995599999,4381.98297,60,2042.6,330.89771,0
1753995600000,2025-07-31 21:00:00,0.1619,0.1621,0.1616,0.1617,28057.9,1753996499999,4539.6041,57,1756.9,284.51303,0
1753996500000,2025-07-31 21:15:00,0.1615,0.1621,0.1615,0.162,51318.4,1753997399999,8302.19526,67,24788.7,4010.36183,0
1753997400000,2025-07-31 21:30:00,0.1621,0.1623,0.1618,0.1618,31690.5,1753998299999,5139.14778,52,21978.4,3564.34326,0
1753998300000,2025-07-31 21:45:00,0.1618,0.1618,0.16,0.1612,152648.8,1753999199999,24550.72465,179,93706.0,15071.6307,0
1753999200000,2025-07-31 22:00:00,0.1613,0.1613,0.1601,0.1603,28904.0,1754000099999,4638.41198,84,19949.0,3200.58294,0
1754000100000,2025-07-31 22:15:00,0.1603,0.1609,0.1602,0.1605,34576.8,1754000999999,5551.76755,68,25822.1,4146.82362,0
1754001000000,2025-07-31 22:30:00,0.1606,0.1606,0.1598,0.1604,113241.4,1754001899999,18145.72653,130,77482.5,12414.51959,0
1754001900000,2025-07-31 22:45:00,0.1603,0.1606,0.16,0.1606,8171.2,1754002799999,1310.0405,48,5277.3,846.34341,0
1754002800000,2025-07-31 23:00:00,0.1604,0.161,0.1601,0.1609,52448.6,1754003699999,8427.48062,89,31650.4,5085.73919,0
1754003700000,2025-07-31 23:15:00,0.1606,0.1606,0.1599,0.1599,11370.9,1754004599999,1822.9006,47,4045.8,648.31887,0
1754004600000,2025-07-31 23:30:00,0.1598,0.1598,0.1591,0.1594,189043.5,1754005499999,30139.49206,209,134453.7,21435.62535,0
1754005500000,2025-07-31 23:45:00,0.1595,0.1599,0.1593,0.1596,35113.0,1754006399999,5602.12974,96,10766.5,1718.53915,0
1754006400000,2025-08-01 00:00:00,0.1597,0.1601,0.1587,0.1589,132006.0,1754007299999,21018.01113,180,82016.6,13049.74963,0
1754007300000,2025-08-01 00:15:00,0.159,0.1602,0.1588,0.1601,100617.9,1754008199999,16064.24641,177,61070.2,9750.69148,0
1754008200000,2025-08-01 00:30:00,0.16,0.16,0.1592,0.1593,47604.2,1754009099999,7600.02058,164,16655.8,2659.57679,0
1754009100000,2025-08-01 00:45:00,0.1593,0.1604,0.1576,0.1603,264123.2,1754009999999,41847.88842,371,182581.6,28927.06922,0
1754010000000,2025-08-01 01:00:00,0.1602,0.1606,0.1586,0.1587,67277.7,1754010899999,10746.93011,163,26247.8,4192.60087,0
1754010900000,2025-08-01 01:15:00,0.1588,0.1598,0.1585,0.1595,89873.3,1754011799999,14308.49993,122,62804.0,10000.4624,0
1754011800000,2025-08-01 01:30:00,0.1594,0.1603,0.1591,0.1602,24836.6,1754012699999,3973.5672,53,9524.1,1523.36976,0
1754012700000,2025-08-01 01:45:00,0.1603,0.1603,0.1594,0.1599,23295.0,1754013599999,3727.84871,51,10591.9,1694.15527,0
1754013600000,2025-08-01 02:00:00,0.1599,0.1608,0.1599,0.1607,19319.7,1754014499999,3098.31593,51,4652.0,744.794,0
1754014500000,2025-08-01 02:15:00,0.1606,0.1609,0.1602,0.1602,47241.9,1754015399999,7584.03486,76,3042.1,488.51562,0
1754015400000,2025-08-01 02:30:00,0.1601,0.1605,0.1601,0.1602,10960.5,1754016299999,1757.2257,40,9934.9,1592.84532,0
1754016300000,2025-08-01 02:45:00,0.1602,0.1604,0.1601,0.1603,4066.4,1754017199999,651.62462,23,1082.9,173.64343,0
1754017200000,2025-08-01 03:00:00,0.1603,0.1607,0.1603,0.1605,11566.4,1754018099999,1856.55453,39,6548.0,1050.91601,0
1754018100000,2025-08-01 03:15:00,0.1605,0.161,0.1603,0.1607,45956.1,1754018999999,7383.46886,80,9136.9,1468.57453,0
1754019000000,2025-08-01 03:30:00,0.1608,0.1611,0.1606,0.1608,15707.3,1754019899999,2526.07109,33,5274.5,848.48764,0
1754019900000,2025-08-01 03:45:00,0.1608,0.1608,0.1604,0.1605,7325.3,1754020799999,1175.57834,30,5124.4,822.13503,0
1754020800000,2025-08-01 04:00:00,0.1604,0.1604,0.1599,0.16,8886.3,1754021699999,1422.93577,21,1678.7,268.7817,0
1754021700000,2025-08-01 04:15:00,0.16,0.16,0.1595,0.1597,13941.2,1754022599999,2226.50655,28,1301.9,207.96064,0
1754022600000,2025-08-01 04:30:00,0.1597,0.1599,0.1596,0.1597,8812.1,1754023499999,1407.5922,29,2412.6,385.46866,0
1754023500000,2025-08-01 04:45:00,0.1598,0.1598,0.1595,0.1595,4488.5,1754024399999,716.14947,20,3289.4,524.73357,0
1754024400000,2025-08-01 05:00:00,0.1594,0.1596,0.1593,0.1594,7934.7,1754025299999,1264.90377,23,6164.6,982.75803,0
1754025300000,2025-08-01 05:15:00,0.1591,0.1591,0.1589,0.1591,18771.6,1754026199999,2985.18737,33,8652.5,1376.01436,0
1754026200000,2025-08-01 05:30:00,0.159,0.1592,0.1584,0.159,66686.2,1754027099999,10599.48783,79,32369.2,5144.33242,0
1754027100000,2025-08-01 05:45:00,0.1584,0.1587,0.1582,0.1586,23045.0,1754027999999,3650.2047,53,18339.0,2904.87182,0
1754028000000,2025-08-01 06:00:00,0.1585,0.1585,0.1577,0.1583,112670.8,1754028899999,17794.4451,89,31908.5,5040.34139,0
1754028900000,2025-08-01 06:15:00,0.1582,0.1583,0.1578,0.1579,27865.7,1754029799999,4406.22782,41,17809.0,2816.70684,0
1754029800000,2025-08-01 06:30:00,0.1579,0.1584,0.1577,0.1578,29739.2,1754030699999,4696.99747,59,20440.7,3229.51008,0
1754030700000,2025-08-01 06:45:00,0.1577,0.1587,0.1576,0.1586,12014.3,1754031599999,1899.63212,45,3731.6,589.95107,0
1754031600000,2025-08-01 07:00:00,0.1588,0.1589,0.1583,0.1583,23893.1,1754032499999,3790.48555,35,14922.4,2367.48002,0
1754032500000,2025-08-01 07:15:00,0.1586,0.1589,0.1585,0.1585,4328.7,1754033399999,686.79857,15,397.0,63.02332,0
1754033400000,2025-08-01 07:30:00,0.1584,0.1584,0.1582,0.1584,13935.3,1754034299999,2206.416,28,6606.6,1046.15765,0
