openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.1211,0.1217,0.1209,0.1215,145098.68,1753975799999,17614.803038,232,42538.93,5167.154631,0
1753975800000,2025-07-31 15:30:00,0.1215,0.1231,0.1215,0.1224,722817.72,1753976699999,88566.758272,440,139107.93,17024.29698,0
1753976700000,2025-07-31 15:45:00,0.1224,0.1228,0.1215,0.122,193957.06,1753977599999,23679.155121,256,95804.23,11702.013697,0
1753977600000,2025-07-31 16:00:00,0.122,0.1226,0.1214,0.1226,455578.1,1753978499999,55545.612568,366,252295.82,30772.186637,0
1753978500000,2025-07-31 16:15:00,0.1226,0.1237,0.1224,0.1235,373698.63,1753979399999,45967.230306,295,279807.05,34412.174749,0
1753979400000,2025-07-31 16:30:00,0.1235,0.1251,0.1234,0.1247,702417.42,1753980299999,87492.300886,450,430688.44,53615.188338,0
1753980300000,2025-07-31 16:45:00,0.1248,0.1248,0.1238,0.124,233438.48,1753981199999,28978.581166,252,80459.88,9991.55937,0
1753981200000,2025-07-31 17:00:00,0.1241,0.1241,0.123,0.1234,227451.32,1753982099999,28085.314295,167,29997.32,3701.126906,0
1753982100000,2025-07-31 17:15:00,0.1235,0.1242,0.1222,0.1228,279212.79,1753982999999,34305.519206,334,141202.74,17310.283836,0
1753983000000,2025-07-31 17:30:00,0.1228,0.1234,0.1221,0.1225,183168.39,1753983899999,22507.04902,250,88337.22,10858.957243,0
1753983900000,2025-07-31 17:45:00,0.1226,0.1228,0.1215,0.1219,166712.52,1753984799999,20315.970459,241,74325.1,9067.186835,0
1753984800000,2025-07-31 18:00:00,0.1219,0.122,0.1204,0.121,261994.39,1753985699999,31706.210128,343,104177.94,12600.926453,0
1753985700000,2025-07-31 18:15:00,0.1209,0.122,0.1205,0.1219,197108.45,1753986599999,23895.011089,293,116667.62,14150.65709,0
1753986600000,2025-07-31 18:30:00,0.1219,0.1224,0.1216,0.1218,259327.8,1753987499999,31665.596924,227,71689.08,8757.015797,0
1753987500000,2025-07-31 18:45:00,0.1218,0.1222,0.1209,0.1214,148704.25,1753988399999,18070.450933,228,72176.69,8777.427651,0
1753988400000,2025-07-31 19:00:00,0.1214,0.1217,0.1202,0.1202,237445.97,1753989299999,28733.04517,264,148675.05,17998.110322,0
1753989300000,2025-07-31 19:15:00,0.1204,0.121,0.1202,0.1207,159887.51,1753990199999,19289.476825,246,66964.72,8080.75919,0
1753990200000,2025-07-31 19:30:00,0.1207,0.1208,0.1203,0.1207,141673.01,1753991099999,17087.935921,240,50093.41,6044.033595,0
1753991100000,2025-07-31 19:45:00,0.1208,0.121,0.1198,0.1204,604552.19,1753991999999,72628.070813,372,247179.81,29706.653142,0
1753992000000,2025-07-31 20:00:00,0.1203,0.1204,0.1188,0.1194,676383.74,1753992899999,80746.017535,641,135352.57,16184.139536,0
1753992900000,2025-07-31 20:15:00,0.1195,0.1203,0.1191,0.1196,207013.15,1753993799999,24761.781859,253,115885.65,13870.323242,0
1753993800000,2025-07-31 20:30:00,0.1197,0.1199,0.1191,0.1195,298264.08,1753994699999,35622.241965,300,137639.92,16440.042726,0
1753994700000,2025-07-31 20:45:00,0.1195,0.1198,0.119,0.1195,303041.6,1753995599999,36194.692569,270,183242.39,21896.150144,0
1753995600000,2025-07-31 21:00:00,0.1194,0.1199,0.119,0.1191,354311.65,1753996499999,42304.047509,335,203802.07,24325.212194,0
1753996500000,2025-07-31 21:15:00,0.1192,0.1194,0.1183,0.1192,304710.63,1753997399999,36199.574546,398,138341.04,16445.741966,0
1753997400000,2025-07-31 21:30:00,0.1193,0.1201,0.119,0.1191,241352.2,1753998299999,28842.375381,207,108022.07,12910.569521,0
1753998300000,2025-07-31 21:45:00,0.119,0.1192,0.1172,0.1185,501874.7,1753999199999,59227.318575,646,187971.83,22186.955128,0
1753999200000,2025-07-31 22:00:00,0.1185,0.1186,0.117,0.1175,626674.22,1754000099999,73660.218648,469,276789.53,32520.210637,0
1754000100000,2025-07-31 22:15:00,0.1175,0.1182,0.1174,0.1176,853362.25,1754000999999,100425.767351,385,460339.49,54177.869621,0
1754001000000,2025-07-31 22:30:00,0.1177,0.1177,0.1166,0.117,372080.73,1754001899999,43548.862911,299,108732.4,12740.527905,0
1754001900000,2025-07-31 22:45:00,0.117,0.1174,0.1165,0.1171,771103.52,1754002799999,90197.965307,413,402038.3,47066.418548,0
1754002800000,2025-07-31 23:00:00,0.1171,0.1181,0.1171,0.1178,856749.48,1754003699999,100861.06928,494,645625.47,76007.833958,0
1754003700000,2025-07-31 23:15:00,0.1179,0.1179,0.1168,0.1168,227701.97,1754004599999,26714.003632,236,58277.33,6845.861464,0
1754004600000,2025-07-31 23:30:00,0.1168,0.1168,0.1153,0.1161,916369.25,1754005499999,106263.571033,565,365922.75,42422.041721,0
1754005500000,2025-07-31 23:45:00,0.1161,0.1164,0.1157,0.1159,428879.29,1754006399999,49777.888529,333,182900.97,21237.95427,0
1754006400000,2025-08-01 00:00:00,0.1159,0.1161,0.1138,0.1141,1578271.51,1754007299999,181092.639978,982,593512.08,68076.274001,0
1754007300000,2025-08-01 00:15:00,0.1142,0.1158,0.1141,0.1149,995090.85,1754008199999,114567.54821,787,427551.06,49199.172448,0
1754008200000,2025-08-01 00:30:00,0.1148,0.1153,0.114,0.1143,412937.89,1754009099999,47350.813381,451,172882.07,19835.074018,0
1754009100000,2025-08-01 00:45:00,0.1143,0.115,0.1119,0.1146,2959959.63,1754009999999,335454.069894,1845,1029835.89,116665.529487,0
1754010000000,2025-08-01 01:00:00,0.1146,0.1154,0.1136,0.1137,694349.56,1754010899999,79513.535551,516,289545.42,33167.551003,0
1754010900000,2025-08-01 01:15:00,0.1138,0.1148,0.1136,0.1143,792495.43,1754011799999,90579.036897,598,484978.3,55456.46448,0
1754011800000,2025-08-01 01:30:00,0.1144,0.1155,0.1139,0.1149,345659.47,1754012699999,39675.987788,399,193632.0,22237.841719,0
1754012700000,2025-08-01 01:45:00,0.115,0.1151,0.1141,0.115,382957.32,1754013599999,43907.863144,405,207872.72,23851.754229,0
1754013600000,2025-08-01 02:00:00,0.1149,0.1158,0.1145,0.1157,2155611.26,1754014499999,248133.21102,796,964088.86,111050.292236,0
1754014500000,2025-08-01 02:15:00,0.1156,0.1158,0.1148,0.1149,610889.85,1754015399999,70515.438135,385,162378.67,18739.771705,0
1754015400000,2025-08-01 02:30:00,0.1149,0.1159,0.1147,0.1153,257799.93,1754016299999,29719.611529,253,185719.73,21413.580443,0
1754016300000,2025-08-01 02:45:00,0.1152,0.1157,0.1151,0.1156,154083.08,1754017199999,17785.21531,174,84196.8,9721.850095,0
1754017200000,2025-08-01 03:00:00,0.1156,0.1159,0.1152,0.1153,260637.68,1754018099999,30131.848932,236,168452.35,19480.360687,0
1754018100000,2025-08-01 03:15:00,0.1153,0.1163,0.1151,0.116,289773.46,1754018999999,33597.252549,312,199376.73,23119.17946,0
1754019000000,2025-08-01 03:30:00,0.1161,0.1161,0.1156,0.1156,178914.61,1754019899999,20720.918603,208,50465.42,5844.112146,0
1754019900000,2025-08-01 03:45:00,0.1157,0.1159,0.1151,0.1155,254391.62,1754020799999,29406.908853,191,153695.04,17771.179568,0
1754020800000,2025-08-01 04:00:00,0.1155,0.1156,0.1144,0.1151,269498.48,1754021699999,31022.541714,285,94452.44,10874.267383,0
1754021700000,2025-08-01 04:15:00,0.115,0.1151,0.1145,0.1148,191534.82,1754022599999,21967.288804,221,107655.9,12349.044712,0
1754022600000,2025-08-01 04:30:00,0.1148,0.1154,0.1147,0.1151,210884.25,1754023499999,24262.208827,225,158364.77,18219.548557,0
1754023500000,2025-08-01 04:45:00,0.1151,0.1151,0.1145,0.1145,144733.95,1754024399999,16617.802652,216,53237.93,6114.894598,0
1754024400000,2025-08-01 05:00:00,0.1145,0.115,0.1145,0.115,271672.98,1754025299999,31168.463517,238,130432.53,14972.015456,0
1754025300000,2025-08-01 05:15:00,0.115,0.115,0.1138,0.1143,433322.81,1754026199999,49476.900504,281,234211.52,26735.43144,0
1754026200000,2025-08-01 05:30:00,0.1143,0.1149,0.1137,0.114,470216.5,1754027099999,53649.350847,352,186070.92,21237.56624,0
1754027100000,2025-08-01 05:45:00,0.1139,0.114,0.1132,0.1139,633272.57,1754027999999,71999.37964,411,338137.57,38478.831399,0
1754028000000,2025-08-01 06:00:00,0.1139,0.114,0.1128,0.1131,805882.14,1754028899999,91442.865895,613,338777.66,38447.536652,0
1754028900000,2025-08-01 06:15:00,0.1133,0.1137,0.1129,0.1131,276333.3,1754029799999,31293.102275,257,118291.5,13402.082355,0
1754029800000,2025-08-01 06:30:00,0.1131,0.1137,0.1127,0.1127,466811.68,1754030699999,52897.883103,306,192467.85,21826.643949,0
