openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,3.7641,3.7846,3.7601,3.7716,457418.3,1753975799999,1725552.69517,6359,248799.2,938593.14894,0
1753975800000,2025-07-31 15:30:00,3.7714,3.7812,3.759,3.7643,437847.5,1753976699999,1649510.29789,5639,215961.1,813482.72619,0
1753976700000,2025-07-31 15:45:00,3.764,3.7702,3.744,3.7628,407016.1,1753977599999,1529965.52876,5892,266923.6,1003348.17708,0
1753977600000,2025-07-31 16:00:00,3.7627,3.7801,3.7561,3.7755,376437.7,1753978499999,1418948.66903,5956,199566.2,752209.14373,0
1753978500000,2025-07-31 16:15:00,3.7754,3.7915,3.7748,3.7843,600718.9,1753979399999,2273912.45448,6344,375398.9,1421143.80154,0
1753979400000,2025-07-31 16:30:00,3.7845,3.8359,3.7845,3.8117,998265.5,1753980299999,3808511.32613,10435,465250.4,1775066.92426,0
1753980300000,2025-07-31 16:45:00,3.8117,3.817,3.7835,3.7952,541317.9,1753981199999,2056334.93269,6871,274230.2,1041516.31359,0
1753981200000,2025-07-31 17:00:00,3.7952,3.7956,3.759,3.7651,683079.9,1753982099999,2576004.27245,8051,354956.8,1338751.31799,0
1753982100000,2025-07-31 17:15:00,3.765,3.7754,3.7405,3.755,705145.1,1753982999999,2646131.46004,9564,359769.7,1350098.24611,0
1753983000000,2025-07-31 17:30:00,3.7552,3.7704,3.7478,3.7628,399684.7,1753983899999,1502531.28066,6223,239467.7,900349.70114,0
1753983900000,2025-07-31 17:45:00,3.7628,3.7683,3.7341,3.7483,503459.8,1753984799999,1885318.85134,6760,279276.7,1045900.85528,0
1753984800000,2025-07-31 18:00:00,3.7487,3.7531,3.7082,3.72,944344.2,1753985699999,3516634.75315,10960,345744.3,1288012.93034,0
1753985700000,2025-07-31 18:15:00,3.7201,3.749,3.71,3.7478,514538.4,1753986599999,1918716.06072,6820,296230.2,1104910.09053,0
1753986600000,2025-07-31 18:30:00,3.7477,3.7548,3.7409,3.7471,266268.6,1753987499999,998204.12225,4045,139038.6,521176.29203,0
1753987500000,2025-07-31 18:45:00,3.7472,3.7548,3.7281,3.737,388996.5,1753988399999,1456318.88144,5018,120148.8,449825.17565,0
