openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.7825,0.7868,0.782,0.7841,61028.0,1753975799999,47906.5933,676,26903.0,21124.9549,0
1753975800000,2025-07-31 15:30:00,0.784,0.7906,0.7835,0.7893,233770.0,1753976699999,183976.7418,2282,61095.0,48129.9333,0
1753976700000,2025-07-31 15:45:00,0.7888,0.7904,0.7854,0.7887,52087.0,1753977599999,41074.8516,403,34351.0,27098.0866,0
1753977600000,2025-07-31 16:00:00,0.7881,0.7909,0.7874,0.7897,51235.0,1753978499999,40429.7188,450,23277.0,18364.2326,0
1753978500000,2025-07-31 16:15:00,0.79,0.7979,0.79,0.7969,31552.0,1753979399999,25075.9844,426,27588.0,21928.0832,0
1753979400000,2025-07-31 16:30:00,0.7967,0.8072,0.7965,0.8043,123520.0,1753980299999,99199.9181,1327,100914.0,81033.7261,0
1753980300000,2025-07-31 16:45:00,0.8046,0.807,0.7992,0.8024,20244.0,1753981199999,16274.1275,355,13597.0,10932.8781,0
1753981200000,2025-07-31 17:00:00,0.8029,0.8029,0.7968,0.7976,10250.0,1753982099999,8194.0026,140,4016.0,3210.0626,0
1753982100000,2025-07-31 17:15:00,0.7979,0.8005,0.7905,0.7939,8218.0,1753982999999,6530.8796,229,3683.0,2926.7235,0
1753983000000,2025-07-31 17:30:00,0.7941,0.797,0.7886,0.7924,42648.0,1753983899999,33771.768,360,8060.0,6392.119,0
1753983900000,2025-07-31 17:45:00,0.7924,0.7946,0.7867,0.7905,71648.0,1753984799999,56567.3549,659,13845.0,10939.6093,0
1753984800000,2025-07-31 18:00:00,0.7909,0.7918,0.7822,0.7833,34798.0,1753985699999,27349.0375,487,11395.0,8962.4394,0
1753985700000,2025-07-31 18:15:00,0.783,0.7926,0.7809,0.7922,66512.0,1753986599999,52336.0921,464,53595.0,42193.8454,0
1753986600000,2025-07-31 18:30:00,0.7917,0.7943,0.7904,0.791,6697.0,1753987499999,5301.2757,134,2745.0,2173.9531,0
1753987500000,2025-07-31 18:45:00,0.7908,0.7923,0.7866,0.7881,5723.0,1753988399999,4522.9334,104,3269.0,2584.4879,0
1753988400000,2025-07-31 19:00:00,0.7882,0.7895,0.7812,0.7812,11789.0,1753989299999,9266.4817,187,5882.0,4628.3482,0
1753989300000,2025-07-31 19:15:00,0.7817,0.7844,0.7812,0.783,21277.0,1753990199999,16657.6135,188,8848.0,6928.073,0
1753990200000,2025-07-31 19:30:00,0.7832,0.7853,0.7808,0.7835,36794.0,1753991099999,28804.8409,283,4673.0,3660.1103,0
1753991100000,2025-07-31 19:45:00,0.7837,0.785,0.7797,0.7819,38542.0,1753991999999,30108.6797,277,5217.0,4080.4605,0
1753992000000,2025-07-31 20:00:00,0.7815,0.7835,0.7727,0.7754,70362.0,1753992899999,54591.3014,523,37091.0,28776.1475,0
1753992900000,2025-07-31 20:15:00,0.7757,0.7817,0.7742,0.7772,6840.0,1753993799999,5319.6729,167,3568.0,2773.875,0
1753993800000,2025-07-31 20:30:00,0.7775,0.7798,0.7695,0.7721,41111.0,1753994699999,31744.6988,489,10794.0,8337.7796,0
1753994700000,2025-07-31 20:45:00,0.7715,0.7736,0.769,0.7721,16402.0,1753995599999,12649.6511,208,6343.0,4892.6913,0
1753995600000,2025-07-31 21:00:00,0.7709,0.7742,0.7671,0.7677,30288.0,1753996499999,23323.7558,364,9480.0,7310.1908,0
1753996500000,2025-07-31 21:15:00,0.7681,0.7722,0.7641,0.7722,47794.0,1753997399999,36630.7559,495,12328.0,9456.9302,0
1753997400000,2025-07-31 21:30:00,0.7723,0.7748,0.7688,0.769,69953.0,1753998299999,53933.4778,551,4934.0,3807.6062,0
1753998300000,2025-07-31 21:45:00,0.769,0.769,0.7562,0.7646,146566.0,1753999199999,111933.0465,1642,17764.0,13528.9639,0
1753999200000,2025-07-31 22:00:00,0.7646,0.7651,0.759,0.7602,62329.0,1754000099999,47384.5991,849,3852.0,2932.457,0
1754000100000,2025-07-31 22:15:00,0.7599,0.7638,0.7598,0.7615,50685.0,1754000999999,38602.0375,595,12476.0,9499.7193,0
1754001000000,2025-07-31 22:30:00,0.7603,0.7604,0.7553,0.7567,78835.0,1754001899999,59742.7833,646,19317.0,14636.8912,0
1754001900000,2025-07-31 22:45:00,0.7563,0.7598,0.7547,0.7574,30090.0,1754002799999,22745.8653,244,11968.0,9054.1083,0
1754002800000,2025-07-31 23:00:00,0.7568,0.7632,0.7565,0.759,28290.0,1754003699999,21472.6762,248,22842.0,17329.3497,0
1754003700000,2025-07-31 23:15:00,0.7585,0.7585,0.7517,0.7518,41454.0,1754004599999,31288.374,833,16814.0,12689.7907,0
1754004600000,2025-07-31 23:30:00,0.7516,0.7531,0.7485,0.752,78618.0,1754005499999,59022.2592,1549,50763.0,38123.4553,0
1754005500000,2025-07-31 23:45:00,0.7522,0.7565,0.7505,0.7522,43343.0,1754006399999,32679.6975,617,28323.0,21371.7682,0
1754006400000,2025-08-01 00:00:00,0.7517,0.7524,0.7423,0.7435,146528.0,1754007299999,109452.115,1100,37187.0,27810.9044,0
1754007300000,2025-08-01 00:15:00,0.7439,0.7534,0.7435,0.7507,56689.0,1754008199999,42378.3743,578,21848.0,16351.8489,0
1754008200000,2025-08-01 00:30:00,0.75,0.75,0.7377,0.7408,134832.0,1754009099999,100093.5828,802,38310.0,28450.7366,0
1754009100000,2025-08-01 00:45:00,0.7407,0.7553,0.7344,0.7523,336019.0,1754009999999,249256.4494,2252,185884.0,138194.4776,0
1754010000000,2025-08-01 01:00:00,0.7521,0.7583,0.7421,0.7427,125414.0,1754010899999,94201.7937,547,69864.0,52469.6181,0
1754010900000,2025-08-01 01:15:00,0.7435,0.7511,0.7421,0.7479,27607.0,1754011799999,20613.9455,448,16222.0,12111.6346,0
1754011800000,2025-08-01 01:30:00,0.7483,0.7521,0.7452,0.7521,13219.0,1754012699999,9891.5096,266,8098.0,6064.1021,0
1754012700000,2025-08-01 01:45:00,0.7516,0.7538,0.7486,0.7512,15051.0,1754013599999,11301.64,270,9317.0,6996.8558,0
1754013600000,2025-08-01 02:00:00,0.7511,0.7598,0.75,0.7589,64132.0,1754014499999,48436.5549,621,48277.0,36467.6338,0
1754014500000,2025-08-01 02:15:00,0.7581,0.7591,0.7544,0.7551,17731.0,1754015399999,13433.3869,355,9967.0,7553.2925,0
1754015400000,2025-08-01 02:30:00,0.7546,0.759,0.7542,0.7574,102186.0,1754016299999,77521.9281,602,89123.0,67619.9137,0
1754016300000,2025-08-01 02:45:00,0.7567,0.7632,0.7567,0.7629,73364.0,1754017199999,55769.2168,636,52286.0,39742.5144,0
1754017200000,2025-08-01 03:00:00,0.7625,0.7643,0.7587,0.7589,55054.0,1754018099999,41970.1001,551,33973.0,25914.8245,0
1754018100000,2025-08-01 03:15:00,0.7589,0.7655,0.7576,0.7644,23026.0,1754018999999,17565.227,280,15347.0,11709.9811,0
1754019000000,2025-08-01 03:30:00,0.7645,0.7647,0.7581,0.7588,23742.0,1754019899999,18065.0682,333,8180.0,6225.6115,0
1754019900000,2025-08-01 03:45:00,0.7592,0.7601,0.7547,0.7564,19346.0,1754020799999,14635.3442,327,9865.0,7468.31,0
1754020800000,2025-08-01 04:00:00,0.7564,0.7569,0.7481,0.7502,22994.0,1754021699999,17274.8449,338,9063.0,6814.6179,0
1754021700000,2025-08-01 04:15:00,0.7499,0.7526,0.7484,0.7508,17853.0,1754022599999,13401.1416,307,6501.0,4880.2093,0
1754022600000,2025-08-01 04:30:00,0.7504,0.7534,0.7483,0.7508,11330.0,1754023499999,8503.5234,263,5308.0,3985.1452,0
1754023500000,2025-08-01 04:45:00,0.7499,0.7511,0.7478,0.7488,8442.0,1754024399999,6327.1699,162,4030.0,3020.4889,0
1754024400000,2025-08-01 05:00:00,0.7485,0.7514,0.7477,0.7492,19369.0,1754025299999,14501.3196,326,4057.0,3040.4862,0
1754025300000,2025-08-01 05:15:00,0.7495,0.7495,0.743,0.7436,36459.0,1754026199999,27152.8888,545,17451.0,12992.3618,0
1754026200000,2025-08-01 05:30:00,0.7443,0.7489,0.7413,0.7423,19761.0,1754027099999,14701.2459,365,7984.0,5942.7907,0
1754027100000,2025-08-01 05:45:00,0.7418,0.7424,0.739,0.7408,53255.0,1754027999999,39406.0826,445,25547.0,18902.9259,0
1754028000000,2025-08-01 06:00:00,0.7403,0.7421,0.7352,0.7373,42801.0,1754028899999,31582.4949,824,15717.0,11601.2997,0
1754028900000,2025-08-01 06:15:00,0.7368,0.7392,0.7343,0.7356,26242.0,1754029799999,19323.6153,431,11089.0,8171.1538,0
1754029800000,2025-08-01 06:30:00,0.7359,0.7385,0.7303,0.7313,66916.0,1754030699999,49148.9673,631,25742.0,18922.5875,0
1754030700000,2025-08-01 06:45:00,0.7309,0.7392,0.7309,0.7377,29083.0,1754031599999,21400.6395,369,18305.0,13468.7352,0
1754031600000,2025-08-01 07:00:00,0.7378,0.7421,0.7318,0.7343,44765.0,1754032499999,32969.6549,409,14616.0,10750.6817,0
1754032500000,2025-08-01 07:15:00,0.7342,0.7373,0.7306,0.7309,16503.0,1754033399999,12108.4852,215,5521.0,4055.193,0
1754033400000,2025-08-01 07:30:00,0.731,0.7336,0.7301,0.7314,21727.0,1754034299999,15896.0606,215,8386.0,6138.9224,0
1754034300000,2025-08-01 07:45:00,0.7325,0.7338,0.7288,0.7321,72556.0,1754035199999,53027.718,822,12035.0,8799.8574,0
1754035200000,2025-08-01 08:00:00,0.7321,0.7321,0.7184,0.723,162404.0,1754036099999,117711.8865,1465,54434.0,39472.4534,0
1754036100000,2025-08-01 08:15:00,0.7243,0.7308,0.7209,0.7246,128296.0,1754036999999,93183.6228,986,61263.0,44560.8388,0
1754037000000,2025-08-01 08:30:00,0.7257,0.732,0.723,0.7285,27128.0,1754037899999,19751.7363,246,11010.0,8019.3389,0
1754037900000,2025-08-01 08:45:00,0.7286,0.7352,0.7254,0.7254,25980.0,1754038799999,18963.4852,238,11984.0,8768.1808,0
1754038800000,2025-08-01 09:00:00,0.7251,0.7361,0.7247,0.7275,26015.0,1754039699999,19035.0455,212,13254.0,9697.3761,0
1754039700000,2025-08-01 09:15:00,0.7275,0.7321,0.7273,0.7305,8840.0,1754040599999,6451.7775,125,4552.0,3322.1171,0
1754040600000,2025-08-01 09:30:00,0.7308,0.7318,0.7271,0.7318,7843.0,1754041499999,5719.1862,105,2782.0,2030.3351,0
1754041500000,2025-08-01 09:45:00,0.7315,0.7318,0.7248,0.7257,21893.0,1754042399999,15915.3611,199,8008.0,5828.1134,0
1754042400000,2025-08-01 10:00:00,0.7259,0.7309,0.7257,0.7307,6761.0,1754043299999,4931.1013,77,2396.0,1746.2313,0
1754043300000,2025-08-01 10:15:00,0.7314,0.7318,0.7278,0.7314,23308.0,1754044199999,17022.5213,206,4967.0,3626.2481,0
1754044200000,2025-08-01 10:30:00,0.7315,0.7338,0.7295,0.7334,21455.0,1754045099999,15689.5313,208,12299.0,8991.5161,0
1754045100000,2025-08-01 10:45:00,0.7335,0.7344,0.728,0.73,26266.0,1754045999999,19176.8355,222,19929.0,14548.3696,0
1754046000000,2025-08-01 11:00:00,0.7308,0.7318,0.7269,0.7288,9681.0,1754046899999,7047.2413,105,3412.0,2484.8816,0
1754046900000,2025-08-01 11:15:00,0.7293,0.7293,0.7267,0.7277,4590.0,1754047799999,3341.2493,59,3690.0,2685.9856,0
1754047800000,2025-08-01 11:30:00,0.7278,0.7323,0.7273,0.7312,13722.0,1754048699999,10012.6047,137,7295.0,5322.7356,0
1754048700000,2025-08-01 11:45:00,0.7313,0.7408,0.7313,0.7374,35235.0,1754049599999,26018.3799,344,23624.0,17449.4897,0
1754049600000,2025-08-01 12:00:00,0.7373,0.742,0.734,0.7392,31924.0,1754050499999,23607.8347,241,18045.0,13358.0924,0
1754050500000,2025-08-01 12:15:00,0.739,0.739,0.7337,0.7356,3262.0,1754051399999,2397.5598,41,1257.0,924.5048,0
1754051400000,2025-08-01 12:30:00,0.7359,0.7452,0.7325,0.7418,37865.0,1754052299999,28010.5906,367,18527.0,13719.7789,0
1754052300000,2025-08-01 12:45:00,0.7421,0.7425,0.735,0.7383,27269.0,1754053199999,20167.8569,368,13103.0,9700.7202,0
1754053200000,2025-08-01 13:00:00,0.7385,0.7417,0.7379,0.7405,33070.0,1754054099999,24484.3284,288,13401.0,9923.5964,0
