openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.3261,0.3311,0.3238,0.3244,5317368.3,1753975799999,1731732.51949,7177,2935597.7,957390.14611,0
1753975800000,2025-07-31 15:30:00,0.3244,0.3282,0.3243,0.3268,828674.3,1753976699999,270601.37132,1499,543720.5,177477.96515,0
1753976700000,2025-07-31 15:45:00,0.3268,0.3282,0.3233,0.3251,1168839.8,1753977599999,379965.3559,1859,396081.2,128823.21688,0
1753977600000,2025-07-31 16:00:00,0.3251,0.327,0.3247,0.3265,798761.2,1753978499999,260244.7809,1556,496822.9,161914.34211,0
1753978500000,2025-07-31 16:15:00,0.3266,0.3292,0.3265,0.3284,1404444.0,1753979399999,460742.7563,2010,841562.3,276175.14921,0
1753979400000,2025-07-31 16:30:00,0.3284,0.3349,0.3284,0.3348,2882787.5,1753980299999,958400.26878,3562,1875768.7,623229.24937,0
1753980300000,2025-07-31 16:45:00,0.3347,0.3351,0.3319,0.3341,1149528.1,1753981199999,383383.67321,1594,513480.9,171340.83206,0
1753981200000,2025-07-31 17:00:00,0.3342,0.3342,0.3314,0.3326,680851.5,1753982099999,226144.00207,1242,211463.7,70256.82063,0
1753982100000,2025-07-31 17:15:00,0.3326,0.3342,0.3288,0.3296,1645948.5,1753982999999,544728.04542,2512,617226.9,204471.29105,0
1753983000000,2025-07-31 17:30:00,0.3297,0.333,0.3294,0.3322,826805.0,1753983899999,274148.80576,1882,593940.9,196964.54918,0
1753983900000,2025-07-31 17:45:00,0.3322,0.3328,0.3281,0.3291,1031716.4,1753984799999,340130.54513,2060,413736.3,136428.13574,0
1753984800000,2025-07-31 18:00:00,0.3292,0.3298,0.3261,0.3277,1559998.0,1753985699999,510758.7192,2957,774968.8,253810.72753,0
1753985700000,2025-07-31 18:15:00,0.3276,0.3296,0.3267,0.3293,864928.9,1753986599999,283725.00723,1364,467747.0,153532.53907,0
1753986600000,2025-07-31 18:30:00,0.3292,0.33,0.3277,0.3286,605998.9,1753987499999,199159.06083,1086,273819.3,90036.20824,0
1753987500000,2025-07-31 18:45:00,0.3286,0.329,0.3255,0.3262,748818.4,1753988399999,244745.54461,1423,268000.9,87610.3366,0
1753988400000,2025-07-31 19:00:00,0.3262,0.3267,0.3215,0.322,1974084.8,1753989299999,637764.56659,2526,801874.7,258965.5851,0
1753989300000,2025-07-31 19:15:00,0.3221,0.3239,0.3217,0.3224,742376.4,1753990199999,239637.65556,1038,441623.5,142601.4673,0
1753990200000,2025-07-31 19:30:00,0.3224,0.3237,0.3215,0.3228,643094.4,1753991099999,207447.69461,959,330709.5,106723.49963,0
1753991100000,2025-07-31 19:45:00,0.3229,0.3231,0.3205,0.3227,752591.3,1753991999999,242190.73211,1065,337579.2,108604.5762,0
1753992000000,2025-07-31 20:00:00,0.3225,0.3239,0.3173,0.3193,2786880.0,1753992899999,891707.59358,4309,1050330.8,336208.36003,0
1753992900000,2025-07-31 20:15:00,0.3194,0.3223,0.3191,0.3205,830591.3,1753993799999,266235.29514,1476,404809.7,129830.68555,0
1753993800000,2025-07-31 20:30:00,0.3206,0.3223,0.3202,0.3205,718726.7,1753994699999,230814.84894,1411,403928.0,129731.37521,0
1753994700000,2025-07-31 20:45:00,0.3206,0.3209,0.3177,0.3178,732671.2,1753995599999,233664.542,1489,260538.2,83055.61056,0
1753995600000,2025-07-31 21:00:00,0.3177,0.3192,0.3168,0.3174,700634.1,1753996499999,222784.68347,1214,350406.1,111415.09417,0
1753996500000,2025-07-31 21:15:00,0.3173,0.3184,0.3153,0.318,536340.6,1753997399999,169999.99704,1025,287776.1,91264.32118,0
1753997400000,2025-07-31 21:30:00,0.318,0.3198,0.3166,0.3172,566838.8,1753998299999,180543.66145,1180,345303.6,110070.06543,0
1753998300000,2025-07-31 21:45:00,0.3172,0.3179,0.3124,0.3156,1672046.9,1753999199999,525891.00475,2009,653488.7,205768.19636,0
1753999200000,2025-07-31 22:00:00,0.3155,0.3155,0.3115,0.3125,961644.1,1754000099999,300927.65631,1210,440256.6,137720.80731,0
1754000100000,2025-07-31 22:15:00,0.3124,0.3143,0.3122,0.3135,521639.2,1754000999999,163544.72735,926,308561.1,96789.14373,0
1754001000000,2025-07-31 22:30:00,0.3136,0.3136,0.3111,0.3117,658559.8,1754001899999,205386.04085,884,190195.1,59349.43721,0
1754001900000,2025-07-31 22:45:00,0.3117,0.3123,0.31,0.3117,792665.5,1754002799999,246663.16399,978,405387.1,126221.40087,0
1754002800000,2025-07-31 23:00:00,0.3117,0.3148,0.3116,0.3142,741249.6,1754003699999,232620.54103,1198,424040.3,133041.40406,0
1754003700000,2025-07-31 23:15:00,0.3142,0.3145,0.3123,0.3132,341482.6,1754004599999,107045.12749,773,155174.3,48680.48558,0
1754004600000,2025-07-31 23:30:00,0.3133,0.3133,0.3105,0.312,964072.8,1754005499999,300305.3817,2111,395361.7,123108.77076,0
1754005500000,2025-07-31 23:45:00,0.3121,0.3124,0.3062,0.3076,6725431.6,1754006399999,2071286.94053,3634,4564810.3,1405302.24502,0
1754006400000,2025-08-01 00:00:00,0.3075,0.3078,0.3028,0.3032,2389361.1,1754007299999,729103.58767,2701,987032.1,301346.86855,0
1754007300000,2025-08-01 00:15:00,0.3032,0.3079,0.3028,0.3047,1679779.8,1754008199999,513644.84092,2329,708972.0,216910.58392,0
1754008200000,2025-08-01 00:30:00,0.3046,0.3046,0.3006,0.302,1506777.3,1754009099999,455799.2081,2272,615405.7,186237.98271,0
1754009100000,2025-08-01 00:45:00,0.3019,0.307,0.2984,0.3055,3910029.9,1754009999999,1179583.40339,5944,2128962.1,642259.47404,0
1754010000000,2025-08-01 01:00:00,0.3055,0.3074,0.3024,0.3029,1504576.3,1754010899999,458521.42434,2221,769649.1,234634.70332,0
1754010900000,2025-08-01 01:15:00,0.3029,0.3043,0.3008,0.3039,2440713.6,1754011799999,737260.09408,2737,1048959.7,316926.68917,0
1754011800000,2025-08-01 01:30:00,0.3039,0.3064,0.3026,0.3062,1077204.5,1754012699999,328468.67443,1578,679230.3,207412.28288,0
1754012700000,2025-08-01 01:45:00,0.3063,0.3076,0.3043,0.3074,922680.9,1754013599999,282600.06141,1607,570336.1,174777.35838,0
1754013600000,2025-08-01 02:00:00,0.3073,0.3093,0.3064,0.3089,1455767.3,1754014499999,448896.49698,2155,797270.1,245944.51494,0
1754014500000,2025-08-01 02:15:00,0.3088,0.3099,0.307,0.3075,848437.4,1754015399999,261881.28356,1400,383358.9,118466.91689,0
1754015400000,2025-08-01 02:30:00,0.3076,0.3089,0.3074,0.3077,528241.2,1754016299999,162750.58014,856,216024.7,66585.32456,0
