openTime,open,high,low,close,volumn,closeTime,quote_volumn,count,taker_buy_volumn,taker_buy_quote_volumn,ignore
2025-08-24 11:30:00,0.2516,0.2537,0.243,0.2469,1951727.5,1756035899999,484659.71871,3821,1037643.80000000,257810.16212000,0
2025-08-24 11:45:00,0.2469,0.2497,0.2404,0.2473,955181.9,1756036799999,232851.69251,1992,503093.60000000,122536.74343000,0
2025-08-24 12:00:00,0.2472,0.256,0.2462,0.2535,2383916.1,1756037699999,602633.90566,3905,1324070.00000000,335169.79431000,0
2025-08-24 12:15:00,0.2536,0.2682,0.2534,0.2608,4313767.2,1756038599999,1127704.93222,6245,2220156.50000000,579156.52464000,0
2025-08-24 12:30:00,0.2609,0.2609,0.2515,0.2566,1391809.0,1756039499999,356045.40974,2571,760253.20000000,194472.22788000,0
2025-08-24 12:45:00,0.2563,0.2609,0.2441,0.2457,1611843.9,1756040399999,403192.46873,2559,705133.20000000,176410.45147000,0
2025-08-24 13:00:00,0.2457,0.2485,0.237,0.2444,1708868.3,1756041299999,414424.89316,2483,587097.30000000,142489.96186000,0
2025-08-24 13:15:00,0.2439,0.2463,0.2401,0.2448,902925.6,1756042199999,219629.02516,1179,499862.60000000,121861.55261000,0
2025-08-24 13:30:00,0.2446,0.2459,0.2381,0.2409,722709.9,1756043099999,174318.12733,1167,199675.90000000,48229.90392000,0
2025-08-24 13:45:00,0.2412,0.2462,0.2386,0.2425,1040667.5,1756043999999,252727.23474,1258,548602.60000000,133531.87714000,0
2025-08-24 14:00:00,0.2425,0.2434,0.238,0.2381,441190.3,1756044899999,105818.02225,967,145877.80000000,35025.17245000,0
2025-08-24 14:15:00,0.2381,0.243,0.237,0.2392,276926.1,1756045799999,66662.8456,565,138541.60000000,33454.29287000,0
2025-08-24 14:30:00,0.2392,0.24,0.2363,0.2374,218909.7,1756046699999,52099.36501,469,77779.20000000,18537.77384000,0
2025-08-24 14:45:00,0.2376,0.239,0.2333,0.234,440383.7,1756047599999,104102.31776,896,166623.90000000,39443.24537000,0
2025-08-24 15:00:00,0.2338,0.2341,0.2291,0.2303,594453.2,1756048499999,137417.85839,1084,197307.20000000,45624.87153000,0
2025-08-24 15:15:00,0.2303,0.2369,0.2291,0.2369,283517.3,1756049399999,66121.26617,620,201292.90000000,46992.12971000,0
2025-08-24 15:30:00,0.2368,0.2373,0.2348,0.2368,215269.6,1756050299999,50838.80968,462,59469.70000000,14043.31206000,0
2025-08-24 15:45:00,0.2367,0.2375,0.2339,0.2359,188453.4,1756051199999,44445.81264,424,87926.60000000,20702.40851000,0
2025-08-24 16:00:00,0.2359,0.2366,0.2327,0.2331,165043.6,1756052099999,38821.26358,388,31144.70000000,7333.44423000,0
2025-08-24 16:15:00,0.2328,0.2365,0.2314,0.2351,285895.6,1756052999999,66735.79238,481,173125.60000000,40334.18910000,0
2025-08-24 16:30:00,0.2355,0.242,0.2355,0.2376,604984.3,1756053899999,144629.52933,1112,374788.30000000,89617.21723000,0
2025-08-24 16:45:00,0.2375,0.2378,0.2309,0.231,501831.0,1756054799999,117661.67932,778,210597.40000000,49350.42535000,0
2025-08-24 17:00:00,0.231,0.233,0.2279,0.2296,468930.7,1756055699999,107944.98073,743,211396.50000000,48686.29630000,0
2025-08-24 17:15:00,0.2295,0.2306,0.2276,0.2292,227339.5,1756056599999,52009.11427,451,98508.50000000,22611.35141000,0
2025-08-24 17:30:00,0.229,0.2304,0.2276,0.2281,266719.2,1756057499999,60925.32236,460,93998.20000000,21484.77900000,0
2025-08-24 17:45:00,0.228,0.2328,0.228,0.2322,222225.4,1756058399999,51350.53881,514,136686.80000000,31534.08626000,0
2025-08-24 18:00:00,0.2321,0.2333,0.23,0.2301,284807.6,1756059299999,65931.24833,714,52414.90000000,12147.67537000,0
2025-08-24 18:15:00,0.23,0.2314,0.2276,0.2306,409586.5,1756060199999,94061.41911,795,125446.30000000,28875.26140000,0
2025-08-24 18:30:00,0.2309,0.2328,0.2287,0.2323,181558.5,1756061099999,41835.76735,674,90923.10000000,20986.60433000,0
