openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,38.46,38.66,38.42,38.63,449.476,1753975799999,17333.38363,382,230.717,8895.25174,0
1753975800000,2025-07-31 15:30:00,38.62,38.96,38.61,38.76,1651.763,1753976699999,64065.07829,684,616.133,23905.1842,0
1753976700000,2025-07-31 15:45:00,38.77,38.86,38.61,38.67,823.8,1753977599999,31923.78686,531,525.795,20378.1317,0
1753977600000,2025-07-31 16:00:00,38.65,38.81,38.59,38.77,740.915,1753978499999,28660.46858,459,343.733,13296.8814,0
1753978500000,2025-07-31 16:15:00,38.78,39.02,38.76,38.97,562.019,1753979399999,21845.01963,454,265.372,10326.71195,0
1753979400000,2025-07-31 16:30:00,38.99,39.29,38.99,39.19,827.314,1753980299999,32434.05899,593,529.873,20767.16396,0
1753980300000,2025-07-31 16:45:00,39.19,39.22,39.02,39.07,665.923,1753981199999,26028.01203,307,462.246,18059.85156,0
1753981200000,2025-07-31 17:00:00,39.07,39.07,38.81,38.96,446.534,1753982099999,17385.36589,323,191.172,7448.05981,0
1753982100000,2025-07-31 17:15:00,38.97,39.11,38.68,38.81,640.817,1753982999999,24908.12711,600,349.639,13597.94925,0
1753983000000,2025-07-31 17:30:00,38.82,38.96,38.69,38.77,264.117,1753983899999,10247.9993,270,186.944,7252.29763,0
1753983900000,2025-07-31 17:45:00,38.78,38.84,38.46,38.57,901.72,1753984799999,34753.94671,494,260.969,10060.69071,0
1753984800000,2025-07-31 18:00:00,38.57,38.61,38.17,38.3,782.326,1753985699999,29969.89357,555,215.176,8237.87549,0
1753985700000,2025-07-31 18:15:00,38.29,38.66,38.21,38.64,751.116,1753986599999,28870.7582,506,498.04,19156.24651,0
1753986600000,2025-07-31 18:30:00,38.63,38.76,38.6,38.62,209.072,1753987499999,8086.14765,268,119.085,4605.64168,0
1753987500000,2025-07-31 18:45:00,38.62,38.69,38.43,38.52,139.465,1753988399999,5381.28279,236,90.447,3490.72528,0
1753988400000,2025-07-31 19:00:00,38.53,38.58,38.19,38.2,664.281,1753989299999,25520.5607,392,95.736,3678.05716,0
1753989300000,2025-07-31 19:15:00,38.22,38.4,38.18,38.31,334.315,1753990199999,12801.12709,322,171.008,6546.62098,0
1753990200000,2025-07-31 19:30:00,38.3,38.36,38.21,38.34,319.404,1753991099999,12231.89015,312,161.047,6166.40793,0
1753991100000,2025-07-31 19:45:00,38.35,38.41,38.14,38.22,507.427,1753991999999,19404.75833,384,227.058,8684.45516,0
