openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.4922,0.4937,0.4845,0.4911,352175.2,1753975799999,172368.56432,2128,149796.3,73408.99167,0
1753975800000,2025-07-31 15:30:00,0.4911,0.4922,0.4853,0.4879,318356.6,1753976699999,155646.85714,2048,136544.1,66774.05366,0
1753976700000,2025-07-31 15:45:00,0.4878,0.4911,0.4817,0.4909,454159.5,1753977599999,220931.14643,3112,209262.2,101837.97631,0
1753977600000,2025-07-31 16:00:00,0.491,0.4928,0.4864,0.49,316787.2,1753978499999,155005.78796,2315,137377.0,67246.72059,0
1753978500000,2025-07-31 16:15:00,0.4899,0.4968,0.4899,0.4947,489711.5,1753979399999,241404.18867,3929,282557.4,139249.64521,0
1753979400000,2025-07-31 16:30:00,0.4947,0.5002,0.4921,0.4973,292034.6,1753980299999,145083.34785,2492,135979.2,67588.48519,0
1753980300000,2025-07-31 16:45:00,0.4974,0.4992,0.4921,0.4944,287230.2,1753981199999,141938.37567,2339,124207.8,61375.10064,0
1753981200000,2025-07-31 17:00:00,0.4944,0.4953,0.492,0.492,148043.3,1753982099999,73069.8051,1248,55501.4,27384.92665,0
1753982100000,2025-07-31 17:15:00,0.492,0.4929,0.4884,0.4894,291553.9,1753982999999,142940.16542,1953,106264.1,52124.27814,0
1753983000000,2025-07-31 17:30:00,0.4896,0.4907,0.4856,0.4861,289286.6,1753983899999,141149.77101,1676,159432.7,77812.98205,0
1753983900000,2025-07-31 17:45:00,0.4859,0.4865,0.475,0.4797,739821.1,1753984799999,354553.83884,3532,296848.9,142242.34747,0
1753984800000,2025-07-31 18:00:00,0.4797,0.4822,0.4746,0.4812,474400.0,1753985699999,227267.67158,2501,202018.8,96772.46645,0
1753985700000,2025-07-31 18:15:00,0.4808,0.4832,0.4788,0.4796,176432.8,1753986599999,84891.43107,1292,63527.8,30584.23622,0
1753986600000,2025-07-31 18:30:00,0.4795,0.4825,0.4763,0.4816,230044.4,1753987499999,110196.85635,1455,91637.0,43927.17729,0
1753987500000,2025-07-31 18:45:00,0.4818,0.4923,0.4811,0.4915,550380.0,1753988399999,268663.65153,3748,308436.3,150579.09136,0
