openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.9967,0.9967,0.9964,0.9965,22563.0,1753975799999,22482.024,57,1269.0,1264.478,0
1753975800000,2025-07-31 15:30:00,0.9966,0.997,0.9966,0.9969,52565.0,1753976699999,52402.3578,87,39044.0,38922.9269,0
1753976700000,2025-07-31 15:45:00,0.9969,0.9971,0.9967,0.9967,30130.0,1753977599999,30040.1975,62,14836.0,14791.3584,0
1753977600000,2025-07-31 16:00:00,0.9968,0.9968,0.9967,0.9968,623.0,1753978499999,620.9802,78,361.0,359.8448,0
1753978500000,2025-07-31 16:15:00,0.9968,0.9968,0.9967,0.9968,144.0,1753979399999,143.5374,3,126.0,125.5968,0
1753979400000,2025-07-31 16:30:00,0.9968,0.9971,0.9966,0.9968,31610.0,1753980299999,31508.1621,99,20531.0,20465.4459,0
1753980300000,2025-07-31 16:45:00,0.9968,0.9968,0.9966,0.9966,2779.0,1753981199999,2769.8566,45,863.0,860.2384,0
1753981200000,2025-07-31 17:00:00,0.9966,0.9967,0.9965,0.9965,29414.0,1753982099999,29311.8462,50,18420.0,18355.5703,0
1753982100000,2025-07-31 17:15:00,0.9965,0.9966,0.9964,0.9964,4488.0,1753982999999,4472.2947,42,287.0,286.0242,0
1753983000000,2025-07-31 17:30:00,0.9965,0.9968,0.9965,0.9967,2609.0,1753983899999,2600.2683,19,1611.0,1605.7177,0
1753983900000,2025-07-31 17:45:00,0.9968,0.9968,0.9967,0.9967,10744.0,1753984799999,10708.562,35,172.0,171.4496,0
1753984800000,2025-07-31 18:00:00,0.9968,0.9968,0.9967,0.9967,3474.0,1753985699999,3462.5913,16,555.0,553.224,0
1753985700000,2025-07-31 18:15:00,0.9968,0.9968,0.9967,0.9967,7184.0,1753986599999,7160.3568,20,640.0,637.952,0
1753986600000,2025-07-31 18:30:00,0.9967,0.9968,0.9967,0.9967,1399.0,1753987499999,1394.3893,9,60.0,59.808,0
1753987500000,2025-07-31 18:45:00,0.9968,0.9968,0.9967,0.9967,250.0,1753988399999,249.1875,5,125.0,124.6,0
1753988400000,2025-07-31 19:00:00,0.9967,0.9968,0.9967,0.9967,1018.0,1753989299999,1014.6424,23,18.0,17.9424,0
1753989300000,2025-07-31 19:15:00,0.9968,0.9968,0.9967,0.9967,63.0,1753990199999,62.7935,5,14.0,13.9552,0
1753990200000,2025-07-31 19:30:00,0.9967,0.9968,0.9965,0.9966,3081.0,1753991099999,3070.4416,29,605.0,603.004,0
1753991100000,2025-07-31 19:45:00,0.9965,0.9966,0.9965,0.9965,1305.0,1753991999999,1300.4349,8,24.0,23.9184,0
1753992000000,2025-07-31 20:00:00,0.9965,0.9965,0.9964,0.9965,2662.0,1753992899999,2652.5856,24,1688.0,1682.092,0
1753992900000,2025-07-31 20:15:00,0.9964,0.9966,0.9964,0.9965,921.0,1753993799999,917.7996,10,887.0,883.9202,0
1753993800000,2025-07-31 20:30:00,0.9966,0.9966,0.9964,0.9964,1864.0,1753994699999,1857.4422,28,93.0,92.682,0
1753994700000,2025-07-31 20:45:00,0.9964,0.9964,0.9963,0.9963,115.0,1753995599999,114.5763,6,0.0,0.0,0
1753995600000,2025-07-31 21:00:00,0.9963,0.9965,0.9963,0.9965,117.0,1753996499999,116.5707,4,18.0,17.937,0
1753996500000,2025-07-31 21:15:00,0.9964,0.9964,0.9963,0.9963,27.0,1753997399999,26.9007,4,0.0,0.0,0
1753997400000,2025-07-31 21:30:00,0.9964,0.9964,0.9964,0.9964,38.0,1753998299999,37.8632,3,38.0,37.8632,0
1753998300000,2025-07-31 21:45:00,0.9963,0.9965,0.9963,0.9965,9601.0,1753999199999,9565.9546,40,1786.0,1779.6547,0
1753999200000,2025-07-31 22:00:00,0.9964,0.9964,0.9963,0.9964,137.0,1754000099999,136.4981,5,50.0,49.82,0
