openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.06066,0.06069,0.06031,0.06054,823894.0,1753975799999,49839.44192,758,274716.0,16621.64529,0
1753975800000,2025-07-31 15:30:00,0.06054,0.06076,0.0602,0.06061,1963083.0,1753976699999,118934.20714,1237,768691.0,46519.47551,0
1753976700000,2025-07-31 15:45:00,0.06059,0.0606,0.0599,0.0601,1862210.0,1753977599999,111926.98584,1300,434157.0,26116.00594,0
1753977600000,2025-07-31 16:00:00,0.06009,0.06138,0.06,0.06128,3430754.0,1753978499999,207822.83917,2564,2107934.0,127706.75439,0
1753978500000,2025-07-31 16:15:00,0.06131,0.0614,0.05998,0.06002,2831680.0,1753979399999,171710.77493,2909,1081922.0,65542.34609,0
1753979400000,2025-07-31 16:30:00,0.06002,0.06006,0.05982,0.05991,522192.0,1753980299999,31302.53797,412,268391.0,16089.30572,0
1753980300000,2025-07-31 16:45:00,0.05989,0.06007,0.05985,0.05995,166472.0,1753981199999,9986.16644,176,104270.0,6254.34652,0
1753981200000,2025-07-31 17:00:00,0.05996,0.0608,0.05996,0.06063,3564845.0,1753982099999,215328.29907,1763,2268808.0,136990.03894,0
1753982100000,2025-07-31 17:15:00,0.06063,0.061,0.06035,0.06035,2322870.0,1753982999999,141016.59251,1676,1633117.0,99105.64227,0
1753983000000,2025-07-31 17:30:00,0.06035,0.06037,0.06001,0.06023,809215.0,1753983899999,48669.26049,754,367698.0,22104.03597,0
1753983900000,2025-07-31 17:45:00,0.06022,0.061,0.06018,0.06024,2184178.0,1753984799999,132284.00598,1637,1360154.0,82381.44673,0
1753984800000,2025-07-31 18:00:00,0.06026,0.06026,0.05995,0.05997,609885.0,1753985699999,36635.60492,707,198581.0,11929.11602,0
1753985700000,2025-07-31 18:15:00,0.05997,0.06004,0.05992,0.05997,328185.0,1753986599999,19682.25492,283,196242.0,11769.53673,0
