openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,1.272,1.28,1.272,1.277,16357.6,1753975799999,20886.4398,125,10122.1,12928.5923,0
1753975800000,2025-07-31 15:30:00,1.277,1.29,1.277,1.286,47052.9,1753976699999,60484.5779,180,23185.8,29753.1239,0
1753976700000,2025-07-31 15:45:00,1.286,1.287,1.276,1.28,41293.3,1753977599999,52877.8702,134,3506.9,4492.4128,0
1753977600000,2025-07-31 16:00:00,1.279,1.282,1.278,1.282,4863.7,1753978499999,6227.1436,37,2201.0,2818.6616,0
1753978500000,2025-07-31 16:15:00,1.283,1.289,1.282,1.289,5204.7,1753979399999,6700.1395,42,4864.3,6262.6912,0
1753979400000,2025-07-31 16:30:00,1.292,1.301,1.292,1.298,5480.1,1753980299999,7114.524,169,4235.9,5498.0486,0
1753980300000,2025-07-31 16:45:00,1.297,1.297,1.29,1.291,3437.3,1753981199999,4442.2983,47,1084.0,1400.6824,0
1753981200000,2025-07-31 17:00:00,1.291,1.291,1.285,1.288,7558.1,1753982099999,9741.7327,61,2279.5,2934.5943,0
1753982100000,2025-07-31 17:15:00,1.289,1.293,1.281,1.282,12876.4,1753982999999,16543.9854,87,6950.6,8926.04,0
1753983000000,2025-07-31 17:30:00,1.283,1.287,1.279,1.282,6629.8,1753983899999,8507.5217,50,5957.4,7645.2424,0
1753983900000,2025-07-31 17:45:00,1.283,1.283,1.272,1.274,22978.0,1753984799999,29257.2464,78,1221.0,1556.7111,0
1753984800000,2025-07-31 18:00:00,1.275,1.276,1.262,1.269,7999.9,1753985699999,10130.4435,131,2661.6,3370.9001,0
1753985700000,2025-07-31 18:15:00,1.269,1.28,1.266,1.28,2934.1,1753986599999,3732.8943,53,2064.0,2628.7826,0
1753986600000,2025-07-31 18:30:00,1.28,1.286,1.28,1.282,4155.3,1753987499999,5334.1701,69,3378.5,4337.9092,0
1753987500000,2025-07-31 18:45:00,1.284,1.285,1.276,1.276,9510.5,1753988399999,12213.2954,77,2146.2,2756.3611,0
1753988400000,2025-07-31 19:00:00,1.278,1.278,1.267,1.267,11099.8,1753989299999,14150.4378,57,6107.0,7788.8959,0
1753989300000,2025-07-31 19:15:00,1.268,1.272,1.265,1.268,53427.7,1753990199999,67717.9852,201,19160.2,24302.1332,0
1753990200000,2025-07-31 19:30:00,1.268,1.273,1.268,1.273,58493.2,1753991099999,74337.6511,182,25539.4,32458.6493,0
1753991100000,2025-07-31 19:45:00,1.274,1.274,1.266,1.271,7073.9,1753991999999,8985.8733,57,6064.0,7705.4345,0
1753992000000,2025-07-31 20:00:00,1.27,1.271,1.257,1.264,25054.3,1753992899999,31644.7543,216,12938.6,16360.7903,0
1753992900000,2025-07-31 20:15:00,1.263,1.272,1.259,1.262,5994.3,1753993799999,7564.6554,60,519.6,658.5319,0
1753993800000,2025-07-31 20:30:00,1.264,1.267,1.259,1.264,16963.2,1753994699999,21449.2352,182,7791.4,9856.3776,0
1753994700000,2025-07-31 20:45:00,1.264,1.266,1.261,1.264,3716.9,1753995599999,4696.7287,75,1424.2,1799.7208,0
1753995600000,2025-07-31 21:00:00,1.263,1.267,1.259,1.261,27562.2,1753996499999,34794.1282,176,4938.2,6230.4638,0
1753996500000,2025-07-31 21:15:00,1.262,1.264,1.258,1.262,9853.9,1753997399999,12415.44,58,5357.6,6756.1548,0
