openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,9.624,9.652,9.597,9.638,104885.88,1753975799999,1009234.66019,3021,60096.73,578407.53107,0
1753975800000,2025-07-31 15:30:00,9.637,9.703,9.636,9.692,89260.34,1753976699999,863605.22319,2673,54533.97,527435.36759,0
1753976700000,2025-07-31 15:45:00,9.691,9.718,9.619,9.664,81264.06,1753977599999,786071.42727,2852,43644.59,422072.99537,0
1753977600000,2025-07-31 16:00:00,9.664,9.723,9.656,9.71,50734.59,1753978499999,491119.50605,2993,32084.38,310580.57138,0
1753978500000,2025-07-31 16:15:00,9.709,9.755,9.686,9.738,64817.58,1753979399999,630373.71307,2691,31811.35,309357.75727,0
1753979400000,2025-07-31 16:30:00,9.74,9.877,9.699,9.772,451845.23,1753980299999,4424581.1615,9137,239103.11,2339901.62816,0
1753980300000,2025-07-31 16:45:00,9.772,9.782,9.699,9.741,78422.78,1753981199999,763295.66046,3805,39946.7,388916.48347,0
1753981200000,2025-07-31 17:00:00,9.741,9.746,9.654,9.668,80336.96,1753982099999,778026.00836,4273,41203.1,398921.35326,0
1753982100000,2025-07-31 17:15:00,9.669,9.7,9.596,9.63,105441.07,1753982999999,1015353.86061,4699,61504.15,592377.75939,0
1753983000000,2025-07-31 17:30:00,9.631,9.687,9.619,9.646,68742.23,1753983899999,662920.23659,3625,32259.48,311174.39073,0
1753983900000,2025-07-31 17:45:00,9.647,9.663,9.589,9.621,60395.42,1753984799999,580551.08377,2787,25966.87,249595.09465,0
1753984800000,2025-07-31 18:00:00,9.618,9.632,9.534,9.574,84977.81,1753985699999,813560.0054,3566,37334.88,357647.58592,0
1753985700000,2025-07-31 18:15:00,9.573,9.647,9.538,9.64,110498.91,1753986599999,1062175.98013,3356,87150.13,837697.32939,0
1753986600000,2025-07-31 18:30:00,9.639,9.681,9.637,9.652,42879.68,1753987499999,414234.18515,1818,25938.34,250544.81183,0
1753987500000,2025-07-31 18:45:00,9.65,9.671,9.596,9.619,26703.81,1753988399999,257344.38169,2195,11978.05,115468.20959,0
1753988400000,2025-07-31 19:00:00,9.62,9.637,9.561,9.564,49754.57,1753989299999,477484.73732,2101,22439.08,215406.19836,0
1753989300000,2025-07-31 19:15:00,9.565,9.598,9.561,9.589,30382.07,1753990199999,291023.90276,1759,16819.1,161121.50084,0
1753990200000,2025-07-31 19:30:00,9.589,9.619,9.561,9.601,83502.52,1753991099999,800782.74449,2792,58528.62,561287.99877,0
1753991100000,2025-07-31 19:45:00,9.6,9.613,9.542,9.548,39910.02,1753991999999,381651.94966,2056,13307.03,127258.81828,0
1753992000000,2025-07-31 20:00:00,9.547,9.566,9.462,9.507,116268.56,1753992899999,1105504.39891,4574,33430.81,317957.06684,0
1753992900000,2025-07-31 20:15:00,9.509,9.563,9.485,9.532,48008.89,1753993799999,457067.18682,2218,31804.76,302859.16091,0
1753993800000,2025-07-31 20:30:00,9.532,9.554,9.486,9.5,20703.29,1753994699999,197095.2093,1541,11118.59,105904.3617,0
1753994700000,2025-07-31 20:45:00,9.5,9.519,9.477,9.489,16497.54,1753995599999,156679.73638,1300,6116.21,58085.08123,0
1753995600000,2025-07-31 21:00:00,9.488,9.538,9.481,9.492,58328.0,1753996499999,554526.76216,1883,27281.99,259348.2751,0
1753996500000,2025-07-31 21:15:00,9.494,9.528,9.477,9.526,35868.78,1753997399999,340539.04799,1718,17565.06,166739.58252,0
1753997400000,2025-07-31 21:30:00,9.527,9.57,9.484,9.484,22312.03,1753998299999,212603.83682,1192,7402.09,70568.87021,0
1753998300000,2025-07-31 21:45:00,9.485,9.492,9.39,9.472,80565.21,1753999199999,760025.79747,3522,25228.83,238097.92068,0
1753999200000,2025-07-31 22:00:00,9.471,9.471,9.395,9.436,84175.92,1754000099999,793009.79164,3489,28194.46,265590.0995,0
1754000100000,2025-07-31 22:15:00,9.436,9.457,9.395,9.428,48178.02,1754000999999,454285.79199,2228,19955.08,188116.43178,0
1754001000000,2025-07-31 22:30:00,9.429,9.43,9.349,9.374,148993.59,1754001899999,1396633.90721,3037,63887.83,598542.48821,0
1754001900000,2025-07-31 22:45:00,9.372,9.41,9.347,9.397,47027.45,1754002799999,440712.29195,2260,21881.51,205007.73334,0
1754002800000,2025-07-31 23:00:00,9.396,9.465,9.39,9.448,47192.58,1754003699999,445447.51164,2331,23039.32,217566.92216,0
1754003700000,2025-07-31 23:15:00,9.447,9.447,9.387,9.387,32459.72,1754004599999,305470.69665,1701,16098.53,151497.8877,0
1754004600000,2025-07-31 23:30:00,9.388,9.39,9.295,9.349,207106.5,1754005499999,1933653.89604,5857,91524.77,854402.99137,0
1754005500000,2025-07-31 23:45:00,9.35,9.369,9.327,9.344,73394.77,1754006399999,686322.19614,2822,32553.52,304524.17954,0
1754006400000,2025-08-01 00:00:00,9.341,9.366,9.238,9.261,201246.42,1754007299999,1869548.23432,6512,75676.63,703642.56161,0
1754007300000,2025-08-01 00:15:00,9.261,9.398,9.252,9.316,240686.98,1754008199999,2243755.72879,6741,96174.36,896897.75318,0
1754008200000,2025-08-01 00:30:00,9.315,9.328,9.239,9.261,181131.49,1754009099999,1683344.14385,5305,90616.37,842276.89429,0
1754009100000,2025-08-01 00:45:00,9.26,9.392,9.133,9.373,380587.63,1754009999999,3510973.67325,14769,160886.29,1484916.06388,0
1754010000000,2025-08-01 01:00:00,9.373,9.43,9.24,9.263,206231.45,1754010899999,1924358.1906,6766,103873.39,970518.04488,0
1754010900000,2025-08-01 01:15:00,9.262,9.367,9.252,9.321,143376.19,1754011799999,1333117.77904,5722,76067.53,707458.24209,0
1754011800000,2025-08-01 01:30:00,9.322,9.39,9.286,9.332,55371.0,1754012699999,517048.6391,3242,28082.94,262329.0804,0
1754012700000,2025-08-01 01:45:00,9.334,9.358,9.285,9.325,56370.93,1754013599999,524895.17188,3139,22601.8,210442.5836,0
1754013600000,2025-08-01 02:00:00,9.324,9.391,9.283,9.386,58235.96,1754014499999,544030.01423,3264,40171.51,375398.83414,0
1754014500000,2025-08-01 02:15:00,9.385,9.43,9.359,9.365,49226.74,1754015399999,462998.83947,2794,33353.04,313784.13945,0
1754015400000,2025-08-01 02:30:00,9.366,9.467,9.353,9.383,109888.92,1754016299999,1034721.16855,3287,71251.53,671305.80559,0
1754016300000,2025-08-01 02:45:00,9.383,9.409,9.362,9.379,67770.31,1754017199999,635336.50487,1835,38680.47,362609.2392,0
1754017200000,2025-08-01 03:00:00,9.381,9.399,9.347,9.352,33377.95,1754018099999,312594.64365,1676,16516.24,154720.33779,0
1754018100000,2025-08-01 03:15:00,9.353,9.432,9.346,9.412,39634.72,1754018999999,373213.27898,1973,32098.16,302278.28718,0
1754019000000,2025-08-01 03:30:00,9.412,9.422,9.378,9.4,38033.94,1754019899999,357759.1149,1704,19864.64,186843.18426,0
1754019900000,2025-08-01 03:45:00,9.401,9.408,9.357,9.38,23264.34,1754020799999,218213.74981,1439,7583.74,71148.74817,0
1754020800000,2025-08-01 04:00:00,9.38,9.38,9.331,9.358,44622.66,1754021699999,417461.43113,2173,14484.69,135522.50561,0
1754021700000,2025-08-01 04:15:00,9.356,9.387,9.323,9.38,57041.52,1754022599999,533314.98978,2089,34095.41,319026.86417,0
1754022600000,2025-08-01 04:30:00,9.379,9.407,9.355,9.373,33482.46,1754023499999,313979.17393,1520,11590.56,108677.48908,0
1754023500000,2025-08-01 04:45:00,9.371,9.376,9.335,9.338,29549.31,1754024399999,276369.69581,1245,9958.84,93196.06803,0
1754024400000,2025-08-01 05:00:00,9.338,9.355,9.321,9.339,33899.41,1754025299999,316582.49234,1293,20924.51,195428.81551,0
1754025300000,2025-08-01 05:15:00,9.339,9.339,9.273,9.29,91925.9,1754026199999,854326.49098,2493,41874.56,389186.75484,0
1754026200000,2025-08-01 05:30:00,9.291,9.36,9.265,9.3,41988.35,1754027099999,390722.41439,2143,24318.47,226243.14451,0
1754027100000,2025-08-01 05:45:00,9.3,9.324,9.26,9.304,40753.89,1754027999999,378817.83318,1823,15056.46,139947.51357,0
1754028000000,2025-08-01 06:00:00,9.305,9.314,9.228,9.262,86717.81,1754028899999,803615.31945,3140,38153.25,353658.01237,0
1754028900000,2025-08-01 06:15:00,9.263,9.285,9.232,9.255,70505.38,1754029799999,652662.05879,2547,28343.11,262608.92997,0
1754029800000,2025-08-01 06:30:00,9.256,9.279,9.174,9.191,114150.77,1754030699999,1052615.9592,3291,48992.81,451818.13645,0
1754030700000,2025-08-01 06:45:00,9.19,9.268,9.183,9.259,98830.84,1754031599999,911461.0449,2967,53803.05,495791.36929,0
1754031600000,2025-08-01 07:00:00,9.259,9.289,9.202,9.236,79941.34,1754032499999,739029.65407,2988,35769.64,330585.83358,0
1754032500000,2025-08-01 07:15:00,9.236,9.27,9.204,9.207,64132.72,1754033399999,592816.1896,2652,34827.46,321946.92207,0
1754033400000,2025-08-01 07:30:00,9.208,9.238,9.184,9.223,57993.97,1754034299999,534007.62346,2708,29276.89,269631.24404,0
1754034300000,2025-08-01 07:45:00,9.223,9.236,9.18,9.23,49035.15,1754035199999,451677.76077,2440,22585.54,208131.85026,0
1754035200000,2025-08-01 08:00:00,9.229,9.229,9.026,9.118,435494.32,1754036099999,3971958.71893,12309,183399.55,1671898.58447,0
1754036100000,2025-08-01 08:15:00,9.117,9.164,9.078,9.11,202283.58,1754036999999,1843890.97611,7991,91627.01,835526.60449,0
1754037000000,2025-08-01 08:30:00,9.111,9.186,9.067,9.163,126197.9,1754037899999,1151845.06386,7058,66483.98,606914.8355,0
1754037900000,2025-08-01 08:45:00,9.163,9.197,9.118,9.118,78058.53,1754038799999,715747.01691,4268,34141.91,312952.90625,0
1754038800000,2025-08-01 09:00:00,9.117,9.241,9.111,9.152,181074.84,1754039699999,1660045.7611,5523,110791.1,1014853.16232,0
1754039700000,2025-08-01 09:15:00,9.153,9.196,9.14,9.167,76732.47,1754040599999,703503.36385,2402,51379.08,471189.32361,0
1754040600000,2025-08-01 09:30:00,9.168,9.189,9.146,9.168,77938.34,1754041499999,714507.10366,1971,62247.73,570593.97812,0
