openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.0768,0.0773,0.0767,0.0773,1821055.1,1753975799999,140448.9354,730,680755.2,52472.50539,0
1753975800000,2025-07-31 15:30:00,0.0772,0.0782,0.0772,0.0779,1260384.2,1753976699999,98002.8235,558,784975.1,60998.59343,0
1753976700000,2025-07-31 15:45:00,0.0778,0.0782,0.0771,0.0774,650610.6,1753977599999,50420.22841,457,409321.0,31739.75988,0
1753977600000,2025-07-31 16:00:00,0.0774,0.078,0.0773,0.0779,678376.5,1753978499999,52616.99273,427,433083.1,33611.3175,0
1753978500000,2025-07-31 16:15:00,0.0778,0.0791,0.0778,0.0788,938815.3,1753979399999,73863.57699,437,741335.3,58408.04682,0
1753979400000,2025-07-31 16:30:00,0.0788,0.0807,0.0787,0.08,2723271.7,1753980299999,218159.75036,1085,1583097.3,126764.09435,0
1753980300000,2025-07-31 16:45:00,0.08,0.0802,0.0794,0.0798,426002.9,1753981199999,33983.88009,333,306260.9,24424.94356,0
1753981200000,2025-07-31 17:00:00,0.0797,0.0797,0.0789,0.079,507128.7,1753982099999,40168.27887,374,176409.7,13950.59847,0
1753982100000,2025-07-31 17:15:00,0.079,0.0795,0.0784,0.0788,371386.5,1753982999999,29287.05261,426,215389.0,16977.7992,0
1753983000000,2025-07-31 17:30:00,0.0789,0.0793,0.0785,0.0788,395621.7,1753983899999,31171.2879,322,116817.2,9226.48098,0
1753983900000,2025-07-31 17:45:00,0.0788,0.0789,0.0781,0.0783,289518.7,1753984799999,22666.1703,323,58074.3,4549.94649,0
1753984800000,2025-07-31 18:00:00,0.0782,0.0784,0.0774,0.0778,655804.1,1753985699999,51038.24951,379,175754.5,13674.93308,0
1753985700000,2025-07-31 18:15:00,0.0778,0.0786,0.0776,0.0786,455991.5,1753986599999,35588.71682,295,283491.1,22139.89266,0
1753986600000,2025-07-31 18:30:00,0.0785,0.0789,0.0785,0.0787,166679.0,1753987499999,13106.5378,227,107241.1,8433.67485,0
1753987500000,2025-07-31 18:45:00,0.0786,0.0788,0.0781,0.0782,101358.0,1753988399999,7952.95041,155,32254.4,2531.91715,0
1753988400000,2025-07-31 19:00:00,0.0783,0.0785,0.0776,0.0776,187271.5,1753989299999,14608.73966,216,59299.1,4632.57795,0
1753989300000,2025-07-31 19:15:00,0.0777,0.0781,0.0776,0.0779,110495.1,1753990199999,8602.52513,177,65940.2,5137.51843,0
1753990200000,2025-07-31 19:30:00,0.0778,0.078,0.0776,0.0778,286806.8,1753991099999,22328.58091,219,189669.6,14770.89139,0
1753991100000,2025-07-31 19:45:00,0.0778,0.078,0.0772,0.0777,355313.9,1753991999999,27570.20937,316,130888.5,10149.05224,0
1753992000000,2025-07-31 20:00:00,0.0776,0.0777,0.0767,0.0771,982873.4,1753992899999,75801.90806,602,523502.7,40393.71202,0
1753992900000,2025-07-31 20:15:00,0.0771,0.0775,0.0768,0.077,359500.4,1753993799999,27703.03989,300,89850.9,6929.23205,0
1753993800000,2025-07-31 20:30:00,0.077,0.0772,0.0765,0.0769,314038.4,1753994699999,24108.0788,275,97088.7,7456.95655,0
1753994700000,2025-07-31 20:45:00,0.0769,0.077,0.0765,0.0769,490521.0,1753995599999,37667.39619,190,272186.2,20919.26213,0
1753995600000,2025-07-31 21:00:00,0.0768,0.077,0.0765,0.0765,552826.4,1753996499999,42334.63184,223,198583.2,15218.96633,0
1753996500000,2025-07-31 21:15:00,0.0766,0.0766,0.0759,0.0764,1245257.0,1753997399999,94968.61049,804,516574.3,39406.7786,0
1753997400000,2025-07-31 21:30:00,0.0764,0.0769,0.0763,0.0765,275423.5,1753998299999,21125.60527,279,182787.7,14024.84435,0
1753998300000,2025-07-31 21:45:00,0.0764,0.0765,0.075,0.0762,1537630.1,1753999199999,116348.41797,981,779592.1,58966.0178,0
1753999200000,2025-07-31 22:00:00,0.0761,0.0762,0.0752,0.0756,358320.1,1754000099999,27047.13522,436,68121.8,5144.10086,0
1754000100000,2025-07-31 22:15:00,0.0755,0.0759,0.0752,0.0755,214151.0,1754000999999,16190.13126,275,109840.8,8310.10321,0
1754001000000,2025-07-31 22:30:00,0.0755,0.0755,0.0748,0.0753,563362.3,1754001899999,42304.80091,561,251231.7,18891.80398,0
1754001900000,2025-07-31 22:45:00,0.0753,0.0754,0.0749,0.0752,494865.8,1754002799999,37185.10375,288,245395.2,18431.67837,0
1754002800000,2025-07-31 23:00:00,0.0751,0.0759,0.0751,0.0757,236577.1,1754003699999,17860.00171,254,162785.6,12283.53477,0
1754003700000,2025-07-31 23:15:00,0.0756,0.0756,0.075,0.0752,247050.7,1754004599999,18574.66497,297,39945.6,3006.60085,0
1754004600000,2025-07-31 23:30:00,0.0752,0.0752,0.0733,0.0739,3416253.7,1754005499999,252601.06157,1176,1375644.0,101662.70049,0
1754005500000,2025-07-31 23:45:00,0.0739,0.0741,0.0734,0.0737,540632.8,1754006399999,39875.10981,394,179912.9,13281.64304,0
1754006400000,2025-08-01 00:00:00,0.0737,0.0742,0.0726,0.0728,1737664.4,1754007299999,127286.87895,903,684311.1,50290.05742,0
1754007300000,2025-08-01 00:15:00,0.0728,0.0744,0.0727,0.0738,2418498.3,1754008199999,178379.48853,822,1027657.8,75608.06337,0
1754008200000,2025-08-01 00:30:00,0.0738,0.0738,0.0727,0.0731,939427.3,1754009099999,68814.73691,578,272533.0,19995.14161,0
1754009100000,2025-08-01 00:45:00,0.073,0.0739,0.0717,0.0737,2283879.3,1754009999999,165652.11677,1520,883162.3,64058.55424,0
1754010000000,2025-08-01 01:00:00,0.0738,0.0742,0.0727,0.0728,733315.9,1754010899999,53889.94188,613,229901.5,16868.85293,0
1754010900000,2025-08-01 01:15:00,0.0728,0.0735,0.0727,0.0732,800636.0,1754011799999,58572.57372,713,367603.8,26899.62099,0
1754011800000,2025-08-01 01:30:00,0.0732,0.074,0.0729,0.0736,325514.2,1754012699999,23909.99372,408,164837.7,12118.4513,0
1754012700000,2025-08-01 01:45:00,0.0736,0.0738,0.0729,0.0734,676641.5,1754013599999,49513.86652,371,156729.2,11487.20491,0
1754013600000,2025-08-01 02:00:00,0.0733,0.0742,0.0732,0.0741,387990.0,1754014499999,28549.30937,351,280622.8,20653.69252,0
1754014500000,2025-08-01 02:15:00,0.074,0.0743,0.0736,0.0737,148150.8,1754015399999,10971.6931,270,84642.6,6271.63326,0
1754015400000,2025-08-01 02:30:00,0.0737,0.0742,0.0736,0.0739,141413.4,1754016299999,10447.833,217,101161.1,7473.07531,0
1754016300000,2025-08-01 02:45:00,0.0739,0.0742,0.0739,0.0741,131350.2,1754017199999,9718.28855,169,101342.1,7499.29288,0
1754017200000,2025-08-01 03:00:00,0.074,0.0743,0.0738,0.0739,144797.8,1754018099999,10724.44382,194,86785.0,6435.56967,0
1754018100000,2025-08-01 03:15:00,0.0739,0.0746,0.0738,0.0745,320403.4,1754018999999,23771.01124,283,170118.6,12656.14062,0
1754019000000,2025-08-01 03:30:00,0.0745,0.0745,0.0742,0.0744,173658.5,1754019899999,12918.16284,237,64111.5,4769.72115,0
1754019900000,2025-08-01 03:45:00,0.0744,0.0745,0.0739,0.0741,239516.4,1754020799999,17727.94195,164,79936.0,5924.11922,0
1754020800000,2025-08-01 04:00:00,0.0741,0.0741,0.0735,0.0739,217991.0,1754021699999,16074.52096,195,128681.6,9487.27397,0
1754021700000,2025-08-01 04:15:00,0.0739,0.0739,0.0734,0.0736,446560.0,1754022599999,32835.97657,259,234436.0,17232.60798,0
1754022600000,2025-08-01 04:30:00,0.0735,0.0739,0.0733,0.0736,228685.0,1754023499999,16843.96026,215,131253.4,9663.71514,0
1754023500000,2025-08-01 04:45:00,0.0735,0.0737,0.0732,0.0732,578993.6,1754024399999,42529.05502,244,274173.1,20163.65539,0
1754024400000,2025-08-01 05:00:00,0.0731,0.0736,0.0731,0.0735,514707.4,1754025299999,37753.18588,224,143381.9,10524.40058,0
1754025300000,2025-08-01 05:15:00,0.0734,0.0734,0.0728,0.073,519200.6,1754026199999,37907.34484,293,251076.0,18341.63185,0
1754026200000,2025-08-01 05:30:00,0.073,0.0733,0.0726,0.0728,774534.4,1754027099999,56460.10945,328,426191.5,31065.4701,0
1754027100000,2025-08-01 05:45:00,0.0727,0.0728,0.0723,0.0727,530336.7,1754027999999,38475.9667,413,133215.2,9661.52714,0
1754028000000,2025-08-01 06:00:00,0.0727,0.0729,0.0722,0.0724,418867.7,1754028899999,30394.37245,318,127462.4,9247.7048,0
1754028900000,2025-08-01 06:15:00,0.0724,0.0727,0.072,0.0721,648268.9,1754029799999,46847.62051,495,311359.2,22504.72256,0
1754029800000,2025-08-01 06:30:00,0.0722,0.0725,0.0717,0.0719,822633.3,1754030699999,59293.13954,406,261677.2,18883.68752,0
1754030700000,2025-08-01 06:45:00,0.072,0.0728,0.0719,0.0726,683319.7,1754031599999,49469.19099,344,506730.4,36671.4525,0
1754031600000,2025-08-01 07:00:00,0.0726,0.0729,0.0723,0.0725,663842.7,1754032499999,48214.00633,391,376550.4,27357.71661,0
1754032500000,2025-08-01 07:15:00,0.0725,0.073,0.0723,0.0723,430154.1,1754033399999,31313.11697,271,338164.4,24624.27759,0
1754033400000,2025-08-01 07:30:00,0.0724,0.0726,0.0722,0.0725,163363.1,1754034299999,11834.10408,153,75769.6,5488.80147,0
1754034300000,2025-08-01 07:45:00,0.0725,0.0725,0.0721,0.0724,312131.4,1754035199999,22574.12307,252,205968.1,14899.30143,0
1754035200000,2025-08-01 08:00:00,0.0724,0.0724,0.0709,0.0717,3148684.1,1754036099999,225093.51212,1448,1760744.5,126007.56946,0
1754036100000,2025-08-01 08:15:00,0.0717,0.0721,0.0714,0.0718,873852.4,1754036999999,62727.46596,619,353637.0,25401.50856,0
1754037000000,2025-08-01 08:30:00,0.0719,0.0726,0.0716,0.0726,1077310.5,1754037899999,77503.73566,589,708662.2,50997.66162,0
1754037900000,2025-08-01 08:45:00,0.0726,0.0728,0.0721,0.0721,1557135.7,1754038799999,113050.87345,570,768035.2,55798.27846,0
1754038800000,2025-08-01 09:00:00,0.0721,0.0733,0.072,0.0725,2117245.7,1754039699999,154082.99907,654,884994.9,64408.06182,0
1754039700000,2025-08-01 09:15:00,0.0724,0.0728,0.0723,0.0725,428738.6,1754040599999,31090.99035,250,215697.9,15652.34802,0
1754040600000,2025-08-01 09:30:00,0.0725,0.0727,0.0722,0.0727,407534.6,1754041499999,29543.31603,227,238331.8,17289.27597,0
1754041500000,2025-08-01 09:45:00,0.0726,0.0727,0.072,0.0722,272498.4,1754042399999,19695.89327,181,100223.7,7248.50831,0
