openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,4.447,4.47,4.443,4.463,5951.71,1753975799999,26505.32013,815,4963.97,22101.98001,0
1753975800000,2025-07-31 15:30:00,4.462,4.496,4.461,4.484,3886.28,1753976699999,17409.76828,506,2333.42,10446.41861,0
1753976700000,2025-07-31 15:45:00,4.483,4.492,4.462,4.479,1920.62,1753977599999,8601.19973,412,893.8,4003.79874,0
1753977600000,2025-07-31 16:00:00,4.479,4.491,4.467,4.485,2898.25,1753978499999,12983.93643,465,1417.78,6349.64773,0
1753978500000,2025-07-31 16:15:00,4.485,4.517,4.485,4.511,4069.71,1753979399999,18317.17356,446,1969.7,8855.52335,0
1753979400000,2025-07-31 16:30:00,4.512,4.557,4.512,4.543,4717.72,1753980299999,21427.64935,429,3016.22,13695.29893,0
1753980300000,2025-07-31 16:45:00,4.543,4.546,4.515,4.529,2332.84,1753981199999,10568.37219,361,1252.8,5673.29784,0
1753981200000,2025-07-31 17:00:00,4.529,4.529,4.496,4.507,2320.34,1753982099999,10457.91034,346,1063.75,4791.51244,0
1753982100000,2025-07-31 17:15:00,4.508,4.522,4.47,4.483,3679.97,1753982999999,16532.07396,653,1942.01,8726.16497,0
1753983000000,2025-07-31 17:30:00,4.484,4.508,4.474,4.488,2936.71,1753983899999,13185.76908,485,1749.15,7852.49695,0
1753983900000,2025-07-31 17:45:00,4.488,4.494,4.457,4.467,6082.64,1753984799999,27187.13048,598,2997.56,13384.9137,0
1753984800000,2025-07-31 18:00:00,4.468,4.471,4.426,4.441,2869.04,1753985699999,12750.08897,585,1380.45,6132.05238,0
1753985700000,2025-07-31 18:15:00,4.44,4.473,4.425,4.472,3198.86,1753986599999,14233.80719,569,1595.28,7101.5689,0
1753986600000,2025-07-31 18:30:00,4.471,4.49,4.47,4.473,2502.83,1753987499999,11213.65223,427,1554.45,6966.85065,0
1753987500000,2025-07-31 18:45:00,4.474,4.484,4.45,4.46,1719.93,1753988399999,7690.33487,334,890.61,3982.5946,0
1753988400000,2025-07-31 19:00:00,4.46,4.468,4.422,4.423,2894.71,1753989299999,12878.3873,376,571.77,2541.75426,0
1753989300000,2025-07-31 19:15:00,4.424,4.444,4.422,4.437,1545.94,1753990199999,6854.59213,364,879.5,3898.51806,0
1753990200000,2025-07-31 19:30:00,4.437,4.443,4.428,4.437,1988.36,1753991099999,8818.7193,351,1120.3,4967.35444,0
1753991100000,2025-07-31 19:45:00,4.437,4.445,4.414,4.433,3019.58,1753991999999,13371.26305,474,1890.87,8377.07205,0
1753992000000,2025-07-31 20:00:00,4.433,4.433,4.39,4.409,14020.68,1753992899999,61802.72205,953,8537.21,37636.54965,0
1753992900000,2025-07-31 20:15:00,4.409,4.436,4.406,4.417,3484.45,1753993799999,15395.68156,564,2048.31,9047.20732,0
1753993800000,2025-07-31 20:30:00,4.418,4.441,4.401,4.41,12385.67,1753994699999,54769.56924,1031,10283.98,45485.55079,0
1753994700000,2025-07-31 20:45:00,4.409,4.417,4.39,4.399,3243.37,1753995599999,14282.47042,402,2039.17,8981.14451,0
1753995600000,2025-07-31 21:00:00,4.398,4.41,4.385,4.387,3565.61,1753996499999,15672.35423,469,2570.17,11295.01783,0
1753996500000,2025-07-31 21:15:00,4.386,4.4,4.376,4.4,3713.21,1753997399999,16285.68433,308,2545.46,11167.4006,0
1753997400000,2025-07-31 21:30:00,4.4,4.419,4.395,4.395,1551.16,1753998299999,6836.23132,217,927.38,4087.91694,0
