openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.0319,0.0322,0.0319,0.0322,357803.0,1753975799999,11466.119,98,280751.0,8994.6084,0
1753975800000,2025-07-31 15:30:00,0.0322,0.0324,0.032,0.0322,1438157.0,1753976699999,46275.3184,858,397534.0,12820.2754,0
1753976700000,2025-07-31 15:45:00,0.0322,0.0324,0.0319,0.0321,1060822.0,1753977599999,34040.8191,1186,198196.0,6376.9266,0
1753977600000,2025-07-31 16:00:00,0.032,0.0322,0.0319,0.0321,767843.0,1753978499999,24580.5405,155,519616.0,16637.7642,0
1753978500000,2025-07-31 16:15:00,0.0321,0.0325,0.0321,0.0324,299912.0,1753979399999,9689.5685,126,195821.0,6326.8104,0
1753979400000,2025-07-31 16:30:00,0.0323,0.0329,0.0323,0.0327,2177731.0,1753980299999,71265.7953,310,1158931.0,37910.4242,0
1753980300000,2025-07-31 16:45:00,0.0327,0.0327,0.0322,0.0324,575970.0,1753981199999,18684.507,148,269401.0,8733.2488,0
1753981200000,2025-07-31 17:00:00,0.0324,0.0324,0.0322,0.0322,268289.0,1753982099999,8663.7058,87,138469.0,4473.2696,0
1753982100000,2025-07-31 17:15:00,0.0323,0.0323,0.0319,0.0321,1219235.0,1753982999999,39083.1666,202,682110.0,21874.8585,0
1753983000000,2025-07-31 17:30:00,0.0321,0.0322,0.0319,0.032,645454.0,1753983899999,20699.5304,143,337365.0,10831.7331,0
1753983900000,2025-07-31 17:45:00,0.032,0.0321,0.0316,0.0317,888326.0,1753984799999,28215.4667,260,238695.0,7597.6573,0
1753984800000,2025-07-31 18:00:00,0.0318,0.0318,0.0314,0.0316,1346865.0,1753985699999,42558.539,261,850900.0,26881.5965,0
1753985700000,2025-07-31 18:15:00,0.0317,0.032,0.0315,0.032,560203.0,1753986599999,17767.8783,161,183530.0,5824.7297,0
1753986600000,2025-07-31 18:30:00,0.0319,0.0321,0.0318,0.032,245591.0,1753987499999,7854.6525,79,125376.0,4011.7754,0
1753987500000,2025-07-31 18:45:00,0.032,0.0321,0.0317,0.0318,422952.0,1753988399999,13471.2048,85,222716.0,7097.3253,0
1753988400000,2025-07-31 19:00:00,0.0318,0.0319,0.0315,0.0316,328923.0,1753989299999,10435.6853,91,149671.0,4752.1172,0
1753989300000,2025-07-31 19:15:00,0.0316,0.0318,0.0315,0.0317,237634.0,1753990199999,7526.4871,81,92194.0,2921.087,0
1753990200000,2025-07-31 19:30:00,0.0317,0.0318,0.0316,0.0317,377693.0,1753991099999,11991.977,69,226666.0,7204.9312,0
1753991100000,2025-07-31 19:45:00,0.0318,0.0319,0.0315,0.0317,628938.0,1753991999999,19908.5973,157,183617.0,5818.229,0
1753992000000,2025-07-31 20:00:00,0.0316,0.0317,0.0313,0.0315,385497.0,1753992899999,12149.7726,104,189632.0,5979.1236,0
1753992900000,2025-07-31 20:15:00,0.0314,0.0316,0.0313,0.0315,615845.0,1753993799999,19418.3077,114,345990.0,10925.2536,0
1753993800000,2025-07-31 20:30:00,0.0315,0.0316,0.0313,0.0314,265562.0,1753994699999,8351.6216,60,160195.0,5039.1166,0
1753994700000,2025-07-31 20:45:00,0.0314,0.0315,0.0312,0.0313,368526.0,1753995599999,11555.8839,90,95226.0,2981.5259,0
1753995600000,2025-07-31 21:00:00,0.0313,0.0315,0.0312,0.0313,412954.0,1753996499999,12941.2145,76,187629.0,5884.2004,0
1753996500000,2025-07-31 21:15:00,0.0313,0.0313,0.0311,0.0312,300225.0,1753997399999,9366.8546,87,202576.0,6324.8762,0
1753997400000,2025-07-31 21:30:00,0.0314,0.0314,0.0312,0.0314,158575.0,1753998299999,4974.0019,47,113445.0,3561.2924,0
1753998300000,2025-07-31 21:45:00,0.0313,0.0314,0.0306,0.031,1389080.0,1753999199999,43015.473,270,490272.0,15168.3993,0
1753999200000,2025-07-31 22:00:00,0.0311,0.0311,0.0307,0.0309,519711.0,1754000099999,16053.6355,279,339528.0,10502.0511,0
1754000100000,2025-07-31 22:15:00,0.0309,0.0311,0.0307,0.0309,723668.0,1754000999999,22329.7811,179,209366.0,6484.5108,0
1754001000000,2025-07-31 22:30:00,0.0309,0.0309,0.0305,0.0307,1375879.0,1754001899999,42234.8163,243,454703.0,14001.83,0
1754001900000,2025-07-31 22:45:00,0.0307,0.0307,0.0305,0.0306,640275.0,1754002799999,19575.4833,164,309971.0,9485.7797,0
1754002800000,2025-07-31 23:00:00,0.0306,0.0309,0.0306,0.0307,629162.0,1754003699999,19367.398,163,351246.0,10823.4214,0
1754003700000,2025-07-31 23:15:00,0.0308,0.0308,0.0305,0.0305,599728.0,1754004599999,18385.3217,119,281585.0,8640.3616,0
1754004600000,2025-07-31 23:30:00,0.0305,0.0306,0.03,0.0302,3488312.0,1754005499999,105103.6037,446,777536.0,23485.5689,0
1754005500000,2025-07-31 23:45:00,0.0302,0.0304,0.0301,0.0303,583261.0,1754006399999,17618.2208,230,242026.0,7313.7226,0
1754006400000,2025-08-01 00:00:00,0.0303,0.0304,0.0297,0.0299,1358864.0,1754007299999,40800.1886,442,453751.0,13604.277,0
1754007300000,2025-08-01 00:15:00,0.0298,0.0303,0.0298,0.0301,1678886.0,1754008199999,50454.8458,736,1068506.0,32099.4761,0
1754008200000,2025-08-01 00:30:00,0.03,0.0301,0.0297,0.0299,681391.0,1754009099999,20380.2792,309,371499.0,11117.5504,0
1754009100000,2025-08-01 00:45:00,0.0299,0.0303,0.0293,0.0301,2098529.0,1754009999999,62263.3534,753,1101705.0,32645.0048,0
1754010000000,2025-08-01 01:00:00,0.0301,0.0303,0.0298,0.0299,1341739.0,1754010899999,40302.3622,218,618159.0,18569.0133,0
1754010900000,2025-08-01 01:15:00,0.0299,0.0302,0.0298,0.03,683090.0,1754011799999,20505.3886,121,522429.0,15682.1069,0
1754011800000,2025-08-01 01:30:00,0.0301,0.0304,0.0299,0.0302,997114.0,1754012699999,30053.6115,209,455855.0,13763.3791,0
1754012700000,2025-08-01 01:45:00,0.0302,0.0303,0.0299,0.0303,739683.0,1754013599999,22256.2495,151,533305.0,16044.5121,0
1754013600000,2025-08-01 02:00:00,0.0302,0.0306,0.0302,0.0305,687743.0,1754014499999,20886.3924,189,529266.0,16079.2994,0
1754014500000,2025-08-01 02:15:00,0.0305,0.0306,0.0305,0.0305,607677.0,1754015399999,18573.2693,84,256171.0,7837.0501,0
1754015400000,2025-08-01 02:30:00,0.0305,0.0308,0.0305,0.0305,422044.0,1754016299999,12911.3734,105,294332.0,9009.0285,0
1754016300000,2025-08-01 02:45:00,0.0306,0.0307,0.0306,0.0307,153083.0,1754017199999,4696.4614,56,136648.0,4192.8969,0
1754017200000,2025-08-01 03:00:00,0.0307,0.0307,0.0305,0.0305,372237.0,1754018099999,11392.2958,89,210613.0,6450.522,0
1754018100000,2025-08-01 03:15:00,0.0305,0.0308,0.0305,0.0307,198177.0,1754018999999,6077.9081,76,157331.0,4826.8153,0
1754019000000,2025-08-01 03:30:00,0.0307,0.0308,0.0306,0.0306,295677.0,1754019899999,9077.3358,44,44780.0,1375.0213,0
1754019900000,2025-08-01 03:45:00,0.0307,0.0308,0.0305,0.0305,409208.0,1754020799999,12514.1363,123,144223.0,4420.1586,0
1754020800000,2025-08-01 04:00:00,0.0305,0.0305,0.0304,0.0305,333182.0,1754021699999,10149.3973,74,108554.0,3308.4868,0
1754021700000,2025-08-01 04:15:00,0.0305,0.0305,0.0303,0.0303,108259.0,1754022599999,3289.5165,35,33975.0,1032.8913,0
1754022600000,2025-08-01 04:30:00,0.0304,0.0306,0.0303,0.0304,465236.0,1754023499999,14158.0892,80,282174.0,8590.0349,0
1754023500000,2025-08-01 04:45:00,0.0304,0.0305,0.0303,0.0303,152295.0,1754024399999,4623.6195,67,68238.0,2074.532,0
1754024400000,2025-08-01 05:00:00,0.0303,0.0304,0.0303,0.0303,82835.0,1754025299999,2509.9991,49,49413.0,1497.3125,0
1754025300000,2025-08-01 05:15:00,0.0303,0.0303,0.0301,0.0302,525833.0,1754026199999,15857.4412,95,175066.0,5286.5773,0
1754026200000,2025-08-01 05:30:00,0.0302,0.0304,0.03,0.0302,754970.0,1754027099999,22744.3395,112,204802.0,6184.9972,0
1754027100000,2025-08-01 05:45:00,0.0301,0.0302,0.03,0.0302,571241.0,1754027999999,17201.1141,83,425373.0,12809.5403,0
1754028000000,2025-08-01 06:00:00,0.0302,0.0302,0.0299,0.0299,1087602.0,1754028899999,32712.1133,524,410579.0,12360.7356,0
1754028900000,2025-08-01 06:15:00,0.03,0.03,0.0298,0.0298,704451.0,1754029799999,21059.541,227,137616.0,4120.4116,0
1754029800000,2025-08-01 06:30:00,0.0299,0.03,0.0297,0.0297,697621.0,1754030699999,20824.4935,186,223010.0,6667.2388,0
1754030700000,2025-08-01 06:45:00,0.0298,0.0302,0.0297,0.03,756352.0,1754031599999,22674.3065,219,181919.0,5445.8593,0
1754031600000,2025-08-01 07:00:00,0.0301,0.0302,0.0298,0.03,788662.0,1754032499999,23654.131,204,227076.0,6824.5372,0
1754032500000,2025-08-01 07:15:00,0.03,0.0302,0.0299,0.03,749826.0,1754033399999,22507.7698,91,533084.0,15997.1325,0
1754033400000,2025-08-01 07:30:00,0.03,0.0301,0.0298,0.0301,311874.0,1754034299999,9349.793,58,202658.0,6082.9312,0
1754034300000,2025-08-01 07:45:00,0.0301,0.0301,0.0299,0.03,404041.0,1754035199999,12112.6425,69,248489.0,7454.7021,0
1754035200000,2025-08-01 08:00:00,0.0299,0.03,0.0292,0.0295,1700756.0,1754036099999,50177.6034,323,902582.0,26640.2296,0
1754036100000,2025-08-01 08:15:00,0.0295,0.0297,0.0293,0.0295,887810.0,1754036999999,26123.0187,208,361071.0,10646.3912,0
1754037000000,2025-08-01 08:30:00,0.0295,0.0299,0.0293,0.0299,1205896.0,1754037899999,35549.2854,284,532978.0,15754.735,0
1754037900000,2025-08-01 08:45:00,0.0298,0.03,0.0295,0.0295,495008.0,1754038799999,14723.4241,168,235465.0,7009.2104,0
1754038800000,2025-08-01 09:00:00,0.0295,0.0299,0.0295,0.0297,892515.0,1754039699999,26519.5271,215,670284.0,19912.7288,0
1754039700000,2025-08-01 09:15:00,0.0296,0.0299,0.0296,0.0296,432360.0,1754040599999,12825.7016,112,194891.0,5788.0915,0
1754040600000,2025-08-01 09:30:00,0.0297,0.0298,0.0296,0.0297,452826.0,1754041499999,13433.056,196,255349.0,7580.0314,0
1754041500000,2025-08-01 09:45:00,0.0297,0.0297,0.0295,0.0296,428741.0,1754042399999,12698.0194,127,177715.0,5268.7483,0
1754042400000,2025-08-01 10:00:00,0.0296,0.0298,0.0295,0.0297,185119.0,1754043299999,5490.8752,68,102418.0,3039.0427,0
1754043300000,2025-08-01 10:15:00,0.0298,0.0298,0.0295,0.0297,1384239.0,1754044199999,41126.135,229,869234.0,25831.0563,0
1754044200000,2025-08-01 10:30:00,0.0298,0.0299,0.0297,0.0298,549499.0,1754045099999,16384.5738,109,426932.0,12730.7455,0
1754045100000,2025-08-01 10:45:00,0.0298,0.0299,0.0297,0.0298,531194.0,1754045999999,15795.6483,115,289639.0,8617.7901,0
1754046000000,2025-08-01 11:00:00,0.0298,0.0298,0.0295,0.0297,1098537.0,1754046899999,32577.7396,137,261600.0,7771.6218,0
1754046900000,2025-08-01 11:15:00,0.0297,0.0297,0.0294,0.0296,1060081.0,1754047799999,31310.9407,210,453325.0,13418.2937,0
1754047800000,2025-08-01 11:30:00,0.0295,0.0299,0.0295,0.0297,275920.0,1754048699999,8183.1782,105,190206.0,5641.4822,0
1754048700000,2025-08-01 11:45:00,0.0298,0.03,0.0298,0.03,297870.0,1754049599999,8919.6911,122,192788.0,5773.6195,0
1754049600000,2025-08-01 12:00:00,0.03,0.0302,0.0299,0.0301,424077.0,1754050499999,12762.2687,96,240358.0,7238.8358,0
1754050500000,2025-08-01 12:15:00,0.03,0.0301,0.0298,0.0299,492070.0,1754051399999,14727.6278,73,173053.0,5183.5276,0
1754051400000,2025-08-01 12:30:00,0.0299,0.0305,0.0298,0.0303,1244441.0,1754052299999,37602.9629,276,795379.0,24033.1269,0
1754052300000,2025-08-01 12:45:00,0.0303,0.0304,0.03,0.0302,370808.0,1754053199999,11212.1288,102,172875.0,5225.0578,0
1754053200000,2025-08-01 13:00:00,0.0302,0.0303,0.0302,0.0303,117202.0,1754054099999,3549.9081,36,95927.0,2906.5081,0
1754054100000,2025-08-01 13:15:00,0.0303,0.0305,0.0301,0.0301,908700.0,1754054999999,27547.3312,122,448475.0,13615.6257,0
1754055000000,2025-08-01 13:30:00,0.0302,0.0303,0.0299,0.0299,1903471.0,1754055899999,57373.2693,233,1243304.0,37515.2427,0
1754055900000,2025-08-01 13:45:00,0.0299,0.0299,0.0292,0.0295,2534674.0,1754056799999,74678.7851,515,715898.0,21152.9647,0
1754056800000,2025-08-01 14:00:00,0.0295,0.0301,0.0293,0.03,1275118.0,1754057699999,37795.2075,359,873162.0,25879.0337,0
1754057700000,2025-08-01 14:15:00,0.03,0.0308,0.03,0.0306,5120692.0,1754058599999,156297.8605,471,3768195.0,115009.7249,0
1754058600000,2025-08-01 14:30:00,0.0307,0.0309,0.0305,0.0306,844574.0,1754059499999,25912.4287,207,346287.0,10639.1303,0
1754059500000,2025-08-01 14:45:00,0.0306,0.0308,0.0306,0.0306,447909.0,1754060399999,13743.3408,163,299074.0,9180.2223,0
1754060400000,2025-08-01 15:00:00,0.0307,0.0307,0.0303,0.0304,723922.0,1754061299999,22036.5488,160,249994.0,7605.6667,0
1754061300000,2025-08-01 15:15:00,0.0303,0.0304,0.03,0.0302,1392178.0,1754062199999,42046.1666,225,611502.0,18493.754,0
1754062200000,2025-08-01 15:30:00,0.0303,0.0307,0.0301,0.0306,997410.0,1754063099999,30334.0211,218,659987.0,20093.1189,0
1754063100000,2025-08-01 15:45:00,0.0307,0.0308,0.0304,0.0307,439573.0,1754063999999,13460.5639,140,184601.0,5662.4261,0
1754064000000,2025-08-01 16:00:00,0.0307,0.0307,0.0305,0.0307,694337.0,1754064899999,21243.4573,179,323734.0,9912.2713,0
1754064900000,2025-08-01 16:15:00,0.0307,0.0307,0.0306,0.0306,419876.0,1754065799999,12881.2762,136,225120.0,6907.1602,0
1754065800000,2025-08-01 16:30:00,0.0305,0.0305,0.0303,0.0305,457310.0,1754066699999,13906.0963,122,278164.0,8458.4152,0
1754066700000,2025-08-01 16:45:00,0.0305,0.0305,0.03,0.0301,552866.0,1754067599999,16730.4753,195,235436.0,7123.1046,0
1754067600000,2025-08-01 17:00:00,0.0302,0.0302,0.0298,0.03,575234.0,1754068499999,17223.5741,161,239840.0,7181.9353,0
1754068500000,2025-08-01 17:15:00,0.03,0.0302,0.0299,0.03,687772.0,1754069399999,20667.5912,217,280136.0,8427.4991,0
1754069400000,2025-08-01 17:30:00,0.0301,0.0303,0.0299,0.03,1404219.0,1754070299999,42240.8674,244,701197.0,21113.6901,0
1754070300000,2025-08-01 17:45:00,0.03,0.0301,0.0298,0.0299,389732.0,1754071199999,11661.8485,129,212690.0,6362.5598,0
1754071200000,2025-08-01 18:00:00,0.0299,0.03,0.0297,0.0299,625435.0,1754072099999,18700.6437,156,373902.0,11181.8334,0
1754072100000,2025-08-01 18:15:00,0.0299,0.0301,0.0295,0.0301,683468.0,1754072999999,20348.8895,184,234774.0,7003.5955,0
1754073000000,2025-08-01 18:30:00,0.0301,0.0302,0.0301,0.0301,513771.0,1754073899999,15477.4936,92,291182.0,8777.1172,0
1754073900000,2025-08-01 18:45:00,0.03,0.0302,0.0298,0.0299,843262.0,1754074799999,25237.3096,329,282508.0,8471.3664,0
1754074800000,2025-08-01 19:00:00,0.0299,0.0301,0.0299,0.0299,338329.0,1754075699999,10126.6505,110,95519.0,2860.9123,0
1754075700000,2025-08-01 19:15:00,0.03,0.0301,0.0299,0.0301,792985.0,1754076599999,23803.7074,206,580903.0,17449.0937,0
1754076600000,2025-08-01 19:30:00,0.0301,0.0304,0.0301,0.0302,623459.0,1754077499999,18861.17,117,294154.0,8900.9864,0
1754077500000,2025-08-01 19:45:00,0.0303,0.0304,0.0302,0.0304,259490.0,1754078399999,7873.8479,91,144555.0,4386.2827,0
1754078400000,2025-08-01 20:00:00,0.0304,0.0305,0.0299,0.0299,633462.0,1754079299999,19091.6797,206,198080.0,5982.5796,0
1754079300000,2025-08-01 20:15:00,0.0299,0.0301,0.0297,0.0299,673079.0,1754080199999,20114.3808,195,305644.0,9146.7751,0
1754080200000,2025-08-01 20:30:00,0.0299,0.0299,0.0295,0.0297,1035737.0,1754081099999,30739.9187,223,295179.0,8748.9172,0
1754081100000,2025-08-01 20:45:00,0.0297,0.0302,0.0296,0.0302,1450988.0,1754081999999,43302.3994,215,982515.0,29335.1935,0
1754082000000,2025-08-01 21:00:00,0.0302,0.0304,0.0301,0.0303,813531.0,1754082899999,24581.3376,168,286634.0,8676.0491,0
1754082900000,2025-08-01 21:15:00,0.0304,0.0304,0.0302,0.0303,393228.0,1754083799999,11936.9284,100,206925.0,6280.9057,0
1754083800000,2025-08-01 21:30:00,0.0304,0.0305,0.03,0.0303,2050846.0,1754084699999,61955.193,283,123915.0,3756.3004,0
1754084700000,2025-08-01 21:45:00,0.0303,0.0303,0.0299,0.0299,471867.0,1754085599999,14171.4105,278,150594.0,4531.9643,0
1754085600000,2025-08-01 22:00:00,0.0299,0.03,0.0294,0.0296,807290.0,1754086499999,23960.0712,403,301518.0,8957.7301,0
1754086500000,2025-08-01 22:15:00,0.0295,0.0297,0.0288,0.029,2511335.0,1754087399999,73459.1782,626,1293065.0,37879.3353,0
1754087400000,2025-08-01 22:30:00,0.029,0.0291,0.0285,0.0291,1915345.0,1754088299999,55177.722,512,1078734.0,31097.6843,0
1754088300000,2025-08-01 22:45:00,0.0291,0.0292,0.0289,0.029,761356.0,1754089199999,22111.9452,182,435457.0,12661.081,0
1754089200000,2025-08-01 23:00:00,0.029,0.0294,0.0289,0.0293,502528.0,1754090099999,14653.136,120,341513.0,9953.545,0
1754090100000,2025-08-01 23:15:00,0.0294,0.0295,0.0293,0.0294,445167.0,1754090999999,13114.2763,83,248845.0,7336.9394,0
1754091000000,2025-08-01 23:30:00,0.0295,0.0295,0.0293,0.0295,225543.0,1754091899999,6627.8944,70,124868.0,3671.9738,0
1754091900000,2025-08-01 23:45:00,0.0295,0.0296,0.0294,0.0294,309799.0,1754092799999,9126.2276,67,100076.0,2950.7532,0
1754092800000,2025-08-02 00:00:00,0.0294,0.0295,0.0293,0.0295,367126.0,1754093699999,10773.1034,76,76015.0,2233.2703,0
1754093700000,2025-08-02 00:15:00,0.0295,0.0297,0.0294,0.0295,242922.0,1754094599999,7182.5016,66,164459.0,4861.327,0
1754094600000,2025-08-02 00:30:00,0.0295,0.0297,0.0295,0.0295,396397.0,1754095499999,11716.4898,79,185027.0,5471.7651,0
1754095500000,2025-08-02 00:45:00,0.0295,0.0297,0.0295,0.0296,145928.0,1754096399999,4321.7797,57,121042.0,3586.5055,0
1754096400000,2025-08-02 01:00:00,0.0297,0.0297,0.0296,0.0296,90202.0,1754097299999,2670.3219,35,42634.0,1262.3091,0
1754097300000,2025-08-02 01:15:00,0.0297,0.0297,0.0294,0.0295,196552.0,1754098199999,5814.7276,55,152071.0,4501.7077,0
1754098200000,2025-08-02 01:30:00,0.0295,0.0297,0.0294,0.0296,171459.0,1754099099999,5064.627,62,90565.0,2677.817,0
1754099100000,2025-08-02 01:45:00,0.0297,0.0298,0.0296,0.0297,88157.0,1754099999999,2618.2149,53,80340.0,2386.136,0
