openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,1.3174,1.3241,1.3153,1.3215,156802.5,1753975799999,207060.95583,3227,61739.1,81528.32849,0
1753975800000,2025-07-31 15:30:00,1.3214,1.3331,1.3208,1.3299,210428.8,1753976699999,279470.14953,3096,113639.0,150897.54169,0
1753976700000,2025-07-31 15:45:00,1.3298,1.3327,1.3189,1.3241,132864.5,1753977599999,176062.72429,2707,58910.9,78049.1503,0
1753977600000,2025-07-31 16:00:00,1.3241,1.3264,1.318,1.3251,129250.8,1753978499999,171031.5296,2499,51288.1,67861.64853,0
1753978500000,2025-07-31 16:15:00,1.3252,1.3388,1.325,1.3359,185250.7,1753979399999,246771.86525,2589,110557.3,147270.75829,0
1753979400000,2025-07-31 16:30:00,1.336,1.3564,1.3359,1.349,297139.9,1753980299999,401038.37821,3195,186351.8,251641.82884,0
1753980300000,2025-07-31 16:45:00,1.3491,1.3506,1.3379,1.3457,134482.3,1753981199999,180627.9515,2000,53324.5,71658.70793,0
1753981200000,2025-07-31 17:00:00,1.3458,1.3459,1.3304,1.3336,145331.8,1753982099999,194076.95121,2885,57236.8,76441.40811,0
1753982100000,2025-07-31 17:15:00,1.3336,1.3397,1.3194,1.3254,190464.6,1753982999999,252816.50619,3604,72877.4,96722.9656,0
1753983000000,2025-07-31 17:30:00,1.3254,1.3336,1.3202,1.3249,235169.3,1753983899999,311927.56853,2617,86558.3,114895.86241,0
1753983900000,2025-07-31 17:45:00,1.325,1.3287,1.3141,1.3184,159677.0,1753984799999,210491.22419,2481,76937.0,101399.28519,0
1753984800000,2025-07-31 18:00:00,1.3183,1.3198,1.3015,1.3073,235093.1,1753985699999,307836.5052,2912,89780.2,117528.14372,0
1753985700000,2025-07-31 18:15:00,1.3072,1.3186,1.302,1.3178,246536.3,1753986599999,323025.32444,2477,150965.3,197757.56429,0
1753986600000,2025-07-31 18:30:00,1.3176,1.323,1.3152,1.3167,107921.0,1753987499999,142289.63013,1641,62469.1,82378.65914,0
1753987500000,2025-07-31 18:45:00,1.3166,1.32,1.3075,1.3103,62285.8,1753988399999,81850.96983,1459,28711.7,37738.31494,0
1753988400000,2025-07-31 19:00:00,1.3104,1.3127,1.2972,1.298,120657.9,1753989299999,157344.02844,2009,39149.2,51096.34195,0
1753989300000,2025-07-31 19:15:00,1.2981,1.306,1.2981,1.302,97141.1,1753990199999,126512.39529,1779,55428.3,72183.29893,0
1753990200000,2025-07-31 19:30:00,1.3022,1.3051,1.2988,1.3019,89619.2,1753991099999,116693.62096,1697,50733.2,66064.60974,0
1753991100000,2025-07-31 19:45:00,1.302,1.3042,1.289,1.2952,253347.8,1753991999999,328316.33949,2855,63222.3,81901.97458,0
1753992000000,2025-07-31 20:00:00,1.2951,1.297,1.2813,1.2899,271509.2,1753992899999,349860.06622,3454,137115.0,176719.33798,0
1753992900000,2025-07-31 20:15:00,1.2901,1.299,1.2879,1.2946,132488.0,1753993799999,171353.1587,2107,72135.4,93325.09346,0
1753993800000,2025-07-31 20:30:00,1.2947,1.2992,1.2896,1.2956,278328.3,1753994699999,360336.13325,2631,137992.6,178626.90981,0
1753994700000,2025-07-31 20:45:00,1.2957,1.2978,1.2899,1.293,114707.5,1753995599999,148501.61296,1450,54176.1,70135.41389,0
1753995600000,2025-07-31 21:00:00,1.2929,1.2994,1.2884,1.2896,108357.9,1753996499999,140096.19926,1677,61631.2,79682.16604,0
1753996500000,2025-07-31 21:15:00,1.2895,1.2934,1.2852,1.2934,71540.3,1753997399999,92184.50664,843,46640.3,60099.44893,0
1753997400000,2025-07-31 21:30:00,1.2933,1.3019,1.2922,1.2938,90763.7,1753998299999,117775.05239,750,54843.6,71201.70917,0
1753998300000,2025-07-31 21:45:00,1.2933,1.2943,1.2726,1.2869,214362.6,1753999199999,274748.08986,1936,82482.8,105764.58731,0
1753999200000,2025-07-31 22:00:00,1.287,1.287,1.2727,1.278,171106.1,1754000099999,218822.37357,2664,79759.1,102039.25562,0
1754000100000,2025-07-31 22:15:00,1.278,1.2836,1.2747,1.2804,205631.1,1754000999999,262876.44837,2476,119904.5,153278.17606,0
1754001000000,2025-07-31 22:30:00,1.2805,1.2806,1.2692,1.2746,187906.2,1754001899999,239356.72483,2269,75999.4,96744.56458,0
1754001900000,2025-07-31 22:45:00,1.2747,1.2785,1.2687,1.2755,93646.7,1754002799999,119250.28781,1777,40030.1,50983.46057,0
1754002800000,2025-07-31 23:00:00,1.2755,1.2859,1.2748,1.2825,95173.6,1754003699999,121946.93687,1919,56230.7,72056.40552,0
1754003700000,2025-07-31 23:15:00,1.2823,1.2824,1.2713,1.2713,116544.4,1754004599999,148725.95269,1862,37090.6,47337.42812,0
1754004600000,2025-07-31 23:30:00,1.2714,1.2714,1.2506,1.2583,462903.0,1754005499999,582779.2732,5631,208154.1,262099.07504,0
1754005500000,2025-07-31 23:45:00,1.2584,1.2626,1.2496,1.253,278404.3,1754006399999,349347.19443,3509,120273.1,150966.78295,0
1754006400000,2025-08-01 00:00:00,1.2531,1.2574,1.2222,1.2279,795424.2,1754007299999,986099.97854,8501,326552.9,404839.61869,0
1754007300000,2025-08-01 00:15:00,1.228,1.2504,1.2264,1.2347,673936.7,1754008199999,834839.21238,6129,342158.5,424145.41231,0
1754008200000,2025-08-01 00:30:00,1.2346,1.2356,1.2207,1.2246,350807.8,1754009099999,431037.85487,4522,147076.2,180712.79638,0
1754009100000,2025-08-01 00:45:00,1.2245,1.2427,1.201,1.2386,1847600.3,1754009999999,2242911.78828,17381,933215.5,1133155.4195,0
1754010000000,2025-08-01 01:00:00,1.2385,1.248,1.2233,1.2261,410126.5,1754010899999,506608.07856,3621,185245.5,228872.33415,0
1754010900000,2025-08-01 01:15:00,1.2264,1.2365,1.2237,1.233,394429.3,1754011799999,485303.938,3509,221704.5,272779.4872,0
1754011800000,2025-08-01 01:30:00,1.2331,1.2418,1.2269,1.2384,227214.1,1754012699999,280353.65967,3382,105555.6,130311.19369,0
1754012700000,2025-08-01 01:45:00,1.2384,1.2412,1.2298,1.236,176989.0,1754013599999,218512.52497,3152,92718.0,114461.45883,0
1754013600000,2025-08-01 02:00:00,1.2359,1.2525,1.2327,1.2519,340734.2,1754014499999,423349.23993,4736,216086.8,268575.09611,0
1754014500000,2025-08-01 02:15:00,1.2516,1.2554,1.2471,1.2486,243454.5,1754015399999,304565.73072,3744,133517.9,167071.29724,0
1754015400000,2025-08-01 02:30:00,1.2488,1.2558,1.2471,1.2503,204225.4,1754016299999,255571.62505,2628,119087.9,149029.38406,0
1754016300000,2025-08-01 02:45:00,1.2503,1.2534,1.2468,1.2479,105146.8,1754017199999,131359.93559,1916,55892.7,69831.34465,0
1754017200000,2025-08-01 03:00:00,1.2478,1.2505,1.2438,1.2444,95041.3,1754018099999,118535.34864,1808,35183.7,43862.38264,0
1754018100000,2025-08-01 03:15:00,1.2445,1.2529,1.2428,1.2502,163857.4,1754018999999,204721.80769,2211,114443.5,143030.53683,0
1754019000000,2025-08-01 03:30:00,1.2501,1.2512,1.2455,1.2464,119197.1,1754019899999,148827.17934,1755,49514.8,61814.88147,0
1754019900000,2025-08-01 03:45:00,1.2465,1.2496,1.2401,1.2431,92739.1,1754020799999,115246.25161,1447,50121.0,62280.75017,0
1754020800000,2025-08-01 04:00:00,1.243,1.243,1.2311,1.2393,146404.0,1754021699999,181167.41504,2065,58504.2,72427.39771,0
1754021700000,2025-08-01 04:15:00,1.2394,1.2402,1.2329,1.2371,109676.7,1754022599999,135537.76768,2064,49154.9,60739.49422,0
1754022600000,2025-08-01 04:30:00,1.237,1.2436,1.2346,1.2399,76038.9,1754023499999,94219.7885,1713,35335.3,43778.91448,0
1754023500000,2025-08-01 04:45:00,1.2398,1.2404,1.2348,1.2366,60599.0,1754024399999,75010.31023,1464,29196.8,36149.36814,0
1754024400000,2025-08-01 05:00:00,1.2365,1.2424,1.2346,1.2409,63999.3,1754025299999,79307.62827,1391,35918.8,44514.28775,0
1754025300000,2025-08-01 05:15:00,1.241,1.241,1.2287,1.2339,119628.1,1754026199999,147585.23746,2036,54912.1,67749.75814,0
1754026200000,2025-08-01 05:30:00,1.234,1.239,1.2259,1.2284,121629.4,1754027099999,149877.98584,2045,54746.4,67449.09669,0
1754027100000,2025-08-01 05:45:00,1.2282,1.2303,1.2213,1.2266,156497.2,1754027999999,191766.01407,2325,72609.8,88981.27578,0
1754028000000,2025-08-01 06:00:00,1.2265,1.23,1.217,1.2224,159415.6,1754028899999,195094.25219,2555,65891.0,80692.48813,0
1754028900000,2025-08-01 06:15:00,1.2225,1.227,1.2166,1.2181,228952.5,1754029799999,279720.52923,2858,110992.0,135654.17846,0
1754029800000,2025-08-01 06:30:00,1.2181,1.2233,1.2134,1.2147,196576.2,1754030699999,239686.37848,2495,92548.7,112856.18971,0
1754030700000,2025-08-01 06:45:00,1.2147,1.2289,1.2135,1.2279,146767.2,1754031599999,179480.4678,2215,55170.9,67433.76361,0
1754031600000,2025-08-01 07:00:00,1.2279,1.2336,1.2231,1.2273,168455.7,1754032499999,206995.13847,2750,95368.8,117233.43769,0
1754032500000,2025-08-01 07:15:00,1.2275,1.2338,1.2236,1.2238,168032.0,1754033399999,206567.34334,2655,97863.9,120291.83719,0
1754033400000,2025-08-01 07:30:00,1.2239,1.2278,1.2205,1.2254,232239.3,1754034299999,284445.14475,2606,156287.4,191453.02293,0
1754034300000,2025-08-01 07:45:00,1.2255,1.2263,1.2172,1.2238,129496.9,1754035199999,158253.15615,2243,59489.2,72705.7745,0
1754035200000,2025-08-01 08:00:00,1.2236,1.2236,1.1884,1.204,946037.1,1754036099999,1138891.06815,7464,466726.6,562317.92544,0
1754036100000,2025-08-01 08:15:00,1.204,1.2135,1.1986,1.2081,403501.2,1754036999999,487198.13946,4342,176088.1,212570.16107,0
1754037000000,2025-08-01 08:30:00,1.2083,1.2184,1.1976,1.2148,1753984.7,1754037899999,2121605.48264,8015,1097519.5,1327968.53486,0
1754037900000,2025-08-01 08:45:00,1.2147,1.2202,1.208,1.208,155140.9,1754038799999,188380.0505,2655,66091.7,80250.49431,0
1754038800000,2025-08-01 09:00:00,1.2079,1.2222,1.2069,1.2128,302402.6,1754039699999,367866.84229,3702,170044.9,206772.10925,0
1754039700000,2025-08-01 09:15:00,1.2128,1.2224,1.2103,1.2173,191836.2,1754040599999,233488.4025,2868,85936.7,104610.37968,0
1754040600000,2025-08-01 09:30:00,1.2174,1.2193,1.21,1.2153,256734.6,1754041499999,311818.28145,3242,138784.3,168558.17844,0
1754041500000,2025-08-01 09:45:00,1.2152,1.2152,1.2054,1.2059,109656.0,1754042399999,132672.29411,1757,59814.9,72353.20514,0
1754042400000,2025-08-01 10:00:00,1.2059,1.2148,1.2046,1.2146,146189.9,1754043299999,176777.41991,1871,99328.3,120089.20453,0
1754043300000,2025-08-01 10:15:00,1.2144,1.2162,1.2035,1.2082,188433.0,1754044199999,228047.62683,1896,68045.9,82353.28303,0
1754044200000,2025-08-01 10:30:00,1.2083,1.2123,1.2059,1.2096,165350.6,1754045099999,199850.42614,1925,69534.4,84047.14271,0
1754045100000,2025-08-01 10:45:00,1.2094,1.2108,1.2026,1.2093,126903.2,1754045999999,153143.01106,1640,70411.1,84958.10262,0
1754046000000,2025-08-01 11:00:00,1.2093,1.2102,1.2039,1.2095,80993.6,1754046899999,97771.1885,1433,42985.5,51886.0571,0
1754046900000,2025-08-01 11:15:00,1.2097,1.2106,1.205,1.2086,106577.1,1754047799999,128716.11454,1545,52188.8,63030.18198,0
1754047800000,2025-08-01 11:30:00,1.2086,1.219,1.2072,1.2147,89147.6,1754048699999,108239.66246,1481,53350.8,64756.67561,0
1754048700000,2025-08-01 11:45:00,1.2146,1.2259,1.2145,1.2227,134416.2,1754049599999,164203.28598,1638,54346.6,66379.61209,0
1754049600000,2025-08-01 12:00:00,1.2225,1.229,1.2179,1.2216,146390.4,1754050499999,179182.25599,2156,91586.5,112157.9725,0
1754050500000,2025-08-01 12:15:00,1.2217,1.2218,1.2102,1.2158,79620.1,1754051399999,96729.43941,1357,38118.4,46288.19888,0
1754051400000,2025-08-01 12:30:00,1.2159,1.2337,1.2086,1.2267,619785.2,1754052299999,757908.52745,5326,345496.4,422609.78652,0
1754052300000,2025-08-01 12:45:00,1.2265,1.2265,1.2144,1.2222,255314.4,1754053199999,312096.61733,2867,130652.3,159730.12525,0
1754053200000,2025-08-01 13:00:00,1.2223,1.2307,1.2207,1.226,185963.5,1754054099999,228102.87955,2349,79766.8,97867.62613,0
1754054100000,2025-08-01 13:15:00,1.2261,1.2322,1.2207,1.2226,149373.5,1754054999999,183113.67269,2413,82746.1,101463.83403,0
1754055000000,2025-08-01 13:30:00,1.2227,1.2279,1.2092,1.2098,364838.5,1754055899999,445215.20209,4089,166554.2,203364.74436,0
1754055900000,2025-08-01 13:45:00,1.2098,1.2103,1.1837,1.1945,827241.4,1754056799999,989566.10161,8076,332799.3,398130.45585,0
1754056800000,2025-08-01 14:00:00,1.1939,1.2206,1.1845,1.2156,782609.1,1754057699999,940728.52507,6317,439946.3,528478.21805,0
1754057700000,2025-08-01 14:15:00,1.2155,1.2369,1.2152,1.2363,451977.8,1754058599999,555834.27799,4644,260769.9,320738.54943,0
1754058600000,2025-08-01 14:30:00,1.2359,1.2443,1.2304,1.2326,452067.2,1754059499999,559356.42852,4052,203476.3,251735.78675,0
1754059500000,2025-08-01 14:45:00,1.2327,1.2421,1.2327,1.2356,316978.5,1754060399999,391869.93338,3385,112239.5,138767.87293,0
1754060400000,2025-08-01 15:00:00,1.2357,1.2371,1.224,1.2282,298318.6,1754061299999,366747.84287,3362,119620.1,147030.06199,0
1754061300000,2025-08-01 15:15:00,1.2281,1.2301,1.2156,1.2236,337183.0,1754062199999,411759.98321,4232,165470.2,202061.8199,0
1754062200000,2025-08-01 15:30:00,1.2235,1.2367,1.2209,1.2356,205907.2,1754063099999,253078.5237,3006,123285.3,151567.16904,0
1754063100000,2025-08-01 15:45:00,1.2357,1.2375,1.2281,1.2308,192592.3,1754063999999,237103.58298,2528,78394.5,96531.22996,0
1754064000000,2025-08-01 16:00:00,1.2307,1.2394,1.227,1.2363,164419.3,1754064899999,202872.49022,2417,100322.0,123815.43831,0
1754064900000,2025-08-01 16:15:00,1.2363,1.2396,1.2334,1.2366,158444.5,1754065799999,195965.96843,2638,81500.4,100808.3157,0
1754065800000,2025-08-01 16:30:00,1.2365,1.2365,1.2175,1.2268,226640.0,1754066699999,277535.72625,2819,74370.6,91103.13434,0
1754066700000,2025-08-01 16:45:00,1.2267,1.2278,1.2065,1.2101,230751.1,1754067599999,280127.56665,3150,115151.4,139799.60269,0
1754067600000,2025-08-01 17:00:00,1.21,1.2111,1.1991,1.2035,290750.1,1754068499999,350084.64397,3788,132463.9,159538.7674,0
1754068500000,2025-08-01 17:15:00,1.2034,1.2134,1.203,1.2109,201963.3,1754069399999,244233.19239,2784,126914.1,153516.39775,0
1754069400000,2025-08-01 17:30:00,1.2108,1.2217,1.2008,1.2084,312278.0,1754070299999,378315.50453,3218,136547.7,165503.99603,0
1754070300000,2025-08-01 17:45:00,1.2085,1.2106,1.2024,1.2056,89154.9,1754071199999,107578.55958,1548,52108.2,62881.69008,0
1754071200000,2025-08-01 18:00:00,1.2055,1.2132,1.1983,1.2089,255649.3,1754072099999,308080.56788,3233,119374.7,143869.75416,0
1754072100000,2025-08-01 18:15:00,1.2088,1.2235,1.1968,1.2173,411580.7,1754072999999,497097.47718,4287,180528.2,218010.64136,0
1754073000000,2025-08-01 18:30:00,1.2171,1.2245,1.2158,1.2206,209636.8,1754073899999,255993.06177,2629,118583.5,144807.80754,0
1754073900000,2025-08-01 18:45:00,1.2204,1.2221,1.2083,1.2137,262533.2,1754074799999,318836.24496,2897,106541.5,129393.45081,0
