openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.0516,0.0519,0.0515,0.0518,902506.9,1753975799999,46679.93129,390,293351.9,15186.90662,0
1753975800000,2025-07-31 15:30:00,0.0518,0.0525,0.0518,0.0522,1275938.9,1753976699999,66655.69919,391,627469.8,32774.79486,0
1753976700000,2025-07-31 15:45:00,0.0522,0.0523,0.0519,0.0521,1063269.1,1753977599999,55384.18143,420,407134.0,21220.05699,0
1753977600000,2025-07-31 16:00:00,0.0521,0.0524,0.0519,0.0522,723467.9,1753978499999,37688.13973,350,469385.5,24447.1302,0
1753978500000,2025-07-31 16:15:00,0.0523,0.0531,0.0523,0.0529,2102486.0,1753979399999,110618.76216,583,1439775.8,75697.80151,0
1753979400000,2025-07-31 16:30:00,0.0529,0.0536,0.0529,0.0534,1731641.9,1753980299999,92436.73016,547,770537.8,41117.6263,0
1753980300000,2025-07-31 16:45:00,0.0533,0.0534,0.0529,0.0531,541454.5,1753981199999,28737.63944,185,242454.6,12864.70497,0
1753981200000,2025-07-31 17:00:00,0.0531,0.0531,0.0527,0.0529,1210060.5,1753982099999,63889.67577,314,622980.6,32907.86098,0
1753982100000,2025-07-31 17:15:00,0.0529,0.0533,0.0525,0.0526,928472.2,1753982999999,49105.52262,234,538571.3,28504.61858,0
1753983000000,2025-07-31 17:30:00,0.0527,0.053,0.0524,0.0526,795160.9,1753983899999,41923.20377,321,419528.3,22124.64099,0
1753983900000,2025-07-31 17:45:00,0.0526,0.0528,0.052,0.0523,1845207.1,1753984799999,96653.13569,429,803808.5,42240.39731,0
1753984800000,2025-07-31 18:00:00,0.0523,0.0523,0.0516,0.0519,934957.8,1753985699999,48505.16371,433,559576.2,29018.85504,0
1753985700000,2025-07-31 18:15:00,0.0518,0.0524,0.0515,0.0524,4356314.3,1753986599999,226265.62175,1061,2361177.9,122777.96025,0
1753986600000,2025-07-31 18:30:00,0.0524,0.0527,0.0523,0.0524,360166.8,1753987499999,18909.0354,230,221103.4,11614.70435,0
1753987500000,2025-07-31 18:45:00,0.0525,0.0526,0.0521,0.0522,257354.4,1753988399999,13437.9526,109,142152.2,7426.97108,0
1753988400000,2025-07-31 19:00:00,0.0522,0.0523,0.0518,0.0518,417253.8,1753989299999,21740.66644,189,300057.6,15636.49412,0
1753989300000,2025-07-31 19:15:00,0.0518,0.0521,0.0518,0.052,664305.5,1753990199999,34562.69717,127,323859.7,16851.3012,0
1753990200000,2025-07-31 19:30:00,0.052,0.0521,0.0519,0.052,318624.8,1753991099999,16574.70513,212,156414.6,8136.68399,0
1753991100000,2025-07-31 19:45:00,0.0521,0.0522,0.0516,0.0517,416874.4,1753991999999,21583.20877,191,164234.8,8509.78628,0
1753992000000,2025-07-31 20:00:00,0.0517,0.0518,0.0512,0.0514,1126460.1,1753992899999,57968.76899,421,488876.0,25176.78917,0
1753992900000,2025-07-31 20:15:00,0.0515,0.0518,0.0514,0.0516,937327.4,1753993799999,48407.69319,283,315234.3,16288.44069,0
1753993800000,2025-07-31 20:30:00,0.0517,0.0518,0.0514,0.0517,656537.9,1753994699999,33871.40184,263,395347.9,20405.89926,0
1753994700000,2025-07-31 20:45:00,0.0516,0.0518,0.0513,0.0515,145423.0,1753995599999,7488.71814,104,50773.1,2615.43873,0
1753995600000,2025-07-31 21:00:00,0.0515,0.0516,0.0512,0.0513,429961.3,1753996499999,22100.28985,247,198995.0,10231.81252,0
