openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.8034,0.8062,0.8019,0.8039,22492.3,1753975799999,18088.49526,832,16867.3,13567.65013,0
1753975800000,2025-07-31 15:30:00,0.8038,0.8091,0.8037,0.8071,26685.9,1753976699999,21534.46928,722,15468.7,12478.3501,0
1753976700000,2025-07-31 15:45:00,0.807,0.8087,0.8034,0.8061,10828.0,1753977599999,8722.64388,599,3704.9,2984.92378,0
1753977600000,2025-07-31 16:00:00,0.806,0.8092,0.8049,0.8089,23050.5,1753978499999,18595.15507,724,13005.6,10493.57964,0
1753978500000,2025-07-31 16:15:00,0.8089,0.8139,0.8089,0.8135,40997.1,1753979399999,33273.73061,868,20676.2,16778.79467,0
1753979400000,2025-07-31 16:30:00,0.8137,0.8256,0.8137,0.8223,129525.6,1753980299999,106302.9753,1499,53290.1,43672.54535,0
1753980300000,2025-07-31 16:45:00,0.8224,0.823,0.8149,0.8168,17649.4,1753981199999,14426.61677,816,9117.1,7450.89532,0
1753981200000,2025-07-31 17:00:00,0.8169,0.8171,0.8102,0.813,49802.2,1753982099999,40428.49467,899,22602.7,18340.91643,0
1753982100000,2025-07-31 17:15:00,0.813,0.8152,0.8069,0.8099,33451.2,1753982999999,27107.81559,1165,14922.2,12087.11047,0
1753983000000,2025-07-31 17:30:00,0.8101,0.8137,0.8084,0.8105,16631.9,1753983899999,13484.57861,745,10918.5,8853.22647,0
1753983900000,2025-07-31 17:45:00,0.8106,0.8119,0.8041,0.8062,26999.7,1753984799999,21768.66814,972,11175.3,9011.17959,0
1753984800000,2025-07-31 18:00:00,0.806,0.8074,0.7999,0.8017,49196.6,1753985699999,39471.13396,993,30617.0,24563.29462,0
1753985700000,2025-07-31 18:15:00,0.8016,0.8076,0.7994,0.8069,19331.8,1753986599999,15517.39912,824,10149.7,8151.72299,0
1753986600000,2025-07-31 18:30:00,0.8069,0.8085,0.8052,0.8069,9942.5,1753987499999,8021.7083,514,7013.3,5658.01585,0
1753987500000,2025-07-31 18:45:00,0.8068,0.809,0.8027,0.8044,16142.3,1753988399999,13019.13809,703,7876.4,6350.22893,0
1753988400000,2025-07-31 19:00:00,0.8045,0.8057,0.7986,0.7986,17816.4,1753989299999,14279.54879,661,8824.2,7070.95874,0
1753989300000,2025-07-31 19:15:00,0.7986,0.8019,0.7986,0.8009,11011.2,1753990199999,8816.03693,478,7119.4,5700.35267,0
1753990200000,2025-07-31 19:30:00,0.801,0.8025,0.7998,0.8021,7994.0,1753991099999,6405.20128,406,5266.3,4220.24488,0
1753991100000,2025-07-31 19:45:00,0.8021,0.8038,0.7971,0.7971,26397.1,1753991999999,21090.12849,797,16119.9,12875.14501,0
1753992000000,2025-07-31 20:00:00,0.7971,0.7992,0.7896,0.7917,241724.1,1753992899999,191711.72123,1794,154133.7,122255.36075,0
1753992900000,2025-07-31 20:15:00,0.7917,0.799,0.7903,0.7943,119658.3,1753993799999,95222.06151,1198,94914.4,75551.97489,0
1753993800000,2025-07-31 20:30:00,0.7943,0.7971,0.7918,0.7945,59391.2,1753994699999,47187.05831,1113,13721.3,10903.12098,0
1753994700000,2025-07-31 20:45:00,0.7946,0.7963,0.7922,0.7936,93325.9,1753995599999,74146.50018,1192,31443.0,24981.2904,0
1753995600000,2025-07-31 21:00:00,0.7935,0.7972,0.7926,0.7945,53637.9,1753996499999,42627.99072,931,30998.2,24637.71605,0
1753996500000,2025-07-31 21:15:00,0.7944,0.7954,0.7905,0.7948,47288.3,1753997399999,37489.10389,561,23310.9,18482.60393,0
1753997400000,2025-07-31 21:30:00,0.7948,0.7985,0.7936,0.795,31675.7,1753998299999,25202.99672,333,19615.6,15605.72629,0
1753998300000,2025-07-31 21:45:00,0.7948,0.7948,0.7825,0.789,95889.3,1753999199999,75457.02717,939,26562.5,20864.56048,0
1753999200000,2025-07-31 22:00:00,0.7892,0.7893,0.7824,0.7856,42805.6,1754000099999,33606.70977,770,21785.0,17095.94262,0
1754000100000,2025-07-31 22:15:00,0.7858,0.7889,0.782,0.785,43788.5,1754000999999,34373.39056,745,20663.5,16214.13892,0
1754001000000,2025-07-31 22:30:00,0.7849,0.7849,0.7766,0.7797,115164.0,1754001899999,89717.8258,1258,44007.2,34284.97138,0
1754001900000,2025-07-31 22:45:00,0.7798,0.7807,0.7759,0.7795,41586.2,1754002799999,32354.06368,892,22037.3,17144.11936,0
1754002800000,2025-07-31 23:00:00,0.7796,0.786,0.7794,0.7821,32525.1,1754003699999,25466.9471,1038,19010.4,14884.95611,0
1754003700000,2025-07-31 23:15:00,0.782,0.783,0.7788,0.7792,33492.3,1754004599999,26147.08346,807,15183.3,11857.2957,0
1754004600000,2025-07-31 23:30:00,0.7791,0.7791,0.7722,0.776,77536.8,1754005499999,60100.39546,1640,39018.1,30242.61661,0
1754005500000,2025-07-31 23:45:00,0.7758,0.7791,0.7737,0.7773,30293.4,1754006399999,23524.22726,901,18059.4,14024.16756,0
1754006400000,2025-08-01 00:00:00,0.7774,0.7787,0.7645,0.7646,240483.5,1754007299999,185484.29648,2963,147755.4,114007.42289,0
1754007300000,2025-08-01 00:15:00,0.7646,0.7753,0.7644,0.7659,94703.1,1754008199999,72838.41631,2160,60796.9,46753.89755,0
1754008200000,2025-08-01 00:30:00,0.7658,0.7683,0.7615,0.763,53269.7,1754009099999,40761.96093,1403,24065.6,18420.39326,0
1754009100000,2025-08-01 00:45:00,0.7629,0.7682,0.7503,0.7661,324075.8,1754009999999,245056.77113,4433,139831.5,105934.83556,0
1754010000000,2025-08-01 01:00:00,0.7661,0.7699,0.7589,0.7598,84244.0,1754010899999,64341.25088,1722,46165.8,35252.2975,0
1754010900000,2025-08-01 01:15:00,0.7598,0.7651,0.758,0.7631,81484.0,1754011799999,62111.05422,1890,43900.0,33454.05353,0
1754011800000,2025-08-01 01:30:00,0.763,0.7681,0.7601,0.7671,58764.1,1754012699999,44935.31243,1538,22720.5,17377.15467,0
1754012700000,2025-08-01 01:45:00,0.7672,0.768,0.761,0.765,41730.7,1754013599999,31885.91505,1389,21861.1,16701.28166,0
1754013600000,2025-08-01 02:00:00,0.7649,0.7732,0.7628,0.7725,48220.6,1754014499999,37085.27461,1382,27417.0,21093.30995,0
1754014500000,2025-08-01 02:15:00,0.7723,0.7747,0.7693,0.7698,29474.8,1754015399999,22782.39162,827,8341.9,6448.74999,0
1754015400000,2025-08-01 02:30:00,0.7699,0.7754,0.7695,0.7723,17678.3,1754016299999,13658.35403,674,12513.0,9671.98216,0
1754016300000,2025-08-01 02:45:00,0.7721,0.7744,0.7703,0.7714,25765.5,1754017199999,19875.43305,753,11804.7,9108.40228,0
1754017200000,2025-08-01 03:00:00,0.7714,0.7735,0.7705,0.7711,18051.6,1754018099999,13938.95046,568,9863.2,7615.24961,0
1754018100000,2025-08-01 03:15:00,0.7712,0.7774,0.7704,0.7768,28685.5,1754018999999,22198.01771,680,21281.4,16459.05498,0
