openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,1.0002,1.0002,1.0,1.0001,3402958.0,1753975799999,3402958.3831,33,2055.0,2055.3094,0
1753975800000,2025-07-31 15:30:00,1.0,1.0001,1.0,1.0,1032.0,1753976699999,1032.0948,11,948.0,948.0948,0
1753976700000,2025-07-31 15:45:00,1.0,1.0002,1.0,1.0001,1849.0,1753977599999,1849.2057,21,950.0,950.1384,0
1753977600000,2025-07-31 16:00:00,1.0001,1.0002,1.0001,1.0001,1535.0,1753978499999,1535.2449,14,914.0,914.1828,0
1753978500000,2025-07-31 16:15:00,1.0001,1.0002,1.0,1.0001,2830.0,1753979399999,2830.3015,30,1658.0,1658.2279,0
1753979400000,2025-07-31 16:30:00,1.0002,1.0002,1.0001,1.0001,3041.0,1753980299999,3041.4116,21,1075.0,1075.215,0
1753980300000,2025-07-31 16:45:00,1.0001,1.0002,1.0001,1.0002,5637.0,1753981199999,5638.1139,16,5502.0,5503.1004,0
1753981200000,2025-07-31 17:00:00,1.0001,1.0002,1.0001,1.0002,2028.0,1753982099999,2028.295,16,922.0,922.1844,0
1753982100000,2025-07-31 17:15:00,1.0002,1.0002,1.0001,1.0002,1424.0,1753982999999,1424.1984,16,560.0,560.112,0
1753983000000,2025-07-31 17:30:00,1.0002,1.0002,1.0001,1.0002,1429.0,1753983899999,1429.2628,10,1199.0,1199.2398,0
1753983900000,2025-07-31 17:45:00,1.0002,1.0002,1.0,1.0001,1022.0,1753984799999,1022.0438,16,310.0,310.0332,0
1753984800000,2025-07-31 18:00:00,1.0,1.0001,1.0,1.0,2706.0,1753985699999,2706.0503,17,503.0,503.0503,0
1753985700000,2025-07-31 18:15:00,1.0001,1.0001,1.0,1.0001,1343.0,1753986599999,1343.0864,38,864.0,864.0864,0
1753986600000,2025-07-31 18:30:00,1.0001,1.0002,1.0,1.0002,925.0,1753987499999,925.0854,49,486.0,486.0565,0
1753987500000,2025-07-31 18:45:00,1.0002,1.0002,1.0001,1.0002,1154.0,1753988399999,1154.1894,29,740.0,740.148,0
1753988400000,2025-07-31 19:00:00,1.0002,1.0002,1.0001,1.0002,1236.0,1753989299999,1236.2361,20,1125.0,1125.225,0
1753989300000,2025-07-31 19:15:00,1.0001,1.0002,1.0001,1.0001,395.0,1753990199999,395.0463,8,68.0,68.0136,0
1753990200000,2025-07-31 19:30:00,1.0002,1.0002,1.0001,1.0001,821.0,1753991099999,821.1234,12,413.0,413.0826,0
1753991100000,2025-07-31 19:45:00,1.0001,1.0002,1.0,1.0,537.0,1753991999999,537.0307,12,46.0,46.0079,0
