openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.1604,0.1621,0.1604,0.1612,436752.9,1753975799999,70439.37737,711,210895.0,34007.56626,0
1753975800000,2025-07-31 15:30:00,0.1613,0.163,0.1612,0.1625,229023.9,1753976699999,37135.80785,728,169620.7,27521.79883,0
1753976700000,2025-07-31 15:45:00,0.1624,0.1626,0.1607,0.1612,487544.2,1753977599999,78666.88775,704,143690.1,23186.59453,0
1753977600000,2025-07-31 16:00:00,0.1613,0.1616,0.1607,0.1614,119297.6,1753978499999,19228.07091,457,75706.7,12204.7627,0
1753978500000,2025-07-31 16:15:00,0.1614,0.1633,0.1614,0.163,286710.2,1753979399999,46553.8238,579,205739.0,33436.50542,0
1753979400000,2025-07-31 16:30:00,0.1629,0.1649,0.1629,0.1644,227025.2,1753980299999,37282.81009,520,135482.5,22250.1418,0
1753980300000,2025-07-31 16:45:00,0.1644,0.1645,0.1632,0.1635,115467.0,1753981199999,18895.87031,334,49430.1,8081.71741,0
1753981200000,2025-07-31 17:00:00,0.1634,0.1635,0.1622,0.1626,78719.8,1753982099999,12810.67499,261,19758.0,3216.36491,0
1753982100000,2025-07-31 17:15:00,0.1627,0.1635,0.1612,0.1614,201472.0,1753982999999,32634.83224,542,78145.7,12669.11678,0
1753983000000,2025-07-31 17:30:00,0.1617,0.1626,0.1611,0.1615,162387.8,1753983899999,26252.1395,358,29618.8,4793.67208,0
1753983900000,2025-07-31 17:45:00,0.1616,0.1619,0.1603,0.1606,118633.1,1753984799999,19114.30299,312,76675.2,12368.44614,0
1753984800000,2025-07-31 18:00:00,0.1606,0.1608,0.1589,0.1591,184896.5,1753985699999,29500.01744,414,49062.7,7822.98718,0
1753985700000,2025-07-31 18:15:00,0.1589,0.1605,0.1586,0.1604,82107.0,1753986599999,13092.17891,335,43056.2,6873.79233,0
1753986600000,2025-07-31 18:30:00,0.1603,0.1609,0.1601,0.1603,77491.5,1753987499999,12440.14126,267,27170.3,4361.46425,0
1753987500000,2025-07-31 18:45:00,0.1603,0.1609,0.1594,0.1598,162238.3,1753988399999,26007.95852,294,78409.1,12587.71812,0
1753988400000,2025-07-31 19:00:00,0.1599,0.1602,0.1585,0.1585,53880.9,1753989299999,8584.59594,249,24320.0,3875.817,0
1753989300000,2025-07-31 19:15:00,0.1586,0.1597,0.1586,0.1593,113818.2,1753990199999,18123.80242,349,92795.8,14777.02891,0
1753990200000,2025-07-31 19:30:00,0.1593,0.1595,0.1588,0.1593,38026.1,1753991099999,6053.68515,228,23879.3,3802.45752,0
1753991100000,2025-07-31 19:45:00,0.1593,0.1595,0.1582,0.1586,108800.8,1753991999999,17257.11894,274,27273.0,4330.25437,0
1753992000000,2025-07-31 20:00:00,0.1586,0.159,0.1575,0.1581,168585.3,1753992899999,26667.9493,408,57107.7,9048.21344,0
1753992900000,2025-07-31 20:15:00,0.1583,0.1591,0.1578,0.1581,49164.8,1753993799999,7789.29757,218,27509.4,4360.50715,0
1753993800000,2025-07-31 20:30:00,0.1582,0.1585,0.1574,0.1579,54286.8,1753994699999,8573.69056,244,31064.0,4908.62272,0
1753994700000,2025-07-31 20:45:00,0.1581,0.1583,0.1573,0.1577,41155.6,1753995599999,6493.01341,170,19834.7,3131.48292,0
1753995600000,2025-07-31 21:00:00,0.1577,0.1581,0.1571,0.1572,55699.1,1753996499999,8772.07801,225,14422.7,2274.73281,0
1753996500000,2025-07-31 21:15:00,0.1571,0.1575,0.1563,0.1572,75022.4,1753997399999,11772.81311,256,24758.9,3884.42632,0
1753997400000,2025-07-31 21:30:00,0.1573,0.1582,0.157,0.157,62836.8,1753998299999,9901.044,244,38140.2,6009.55243,0
1753998300000,2025-07-31 21:45:00,0.1572,0.1572,0.1544,0.1562,206890.0,1753999199999,32224.28218,583,72025.8,11198.93677,0
1753999200000,2025-07-31 22:00:00,0.156,0.156,0.1547,0.1553,78353.3,1754000099999,12174.43755,235,40500.0,6297.67833,0
1754000100000,2025-07-31 22:15:00,0.1553,0.1561,0.1544,0.1551,157773.4,1754000999999,24498.56484,352,67888.4,10543.0868,0
1754001000000,2025-07-31 22:30:00,0.1551,0.1552,0.1535,0.1543,135675.4,1754001899999,20930.50633,324,57877.8,8933.59634,0
1754001900000,2025-07-31 22:45:00,0.1544,0.1547,0.1538,0.1546,56322.2,1754002799999,8687.64444,211,31578.0,4875.00573,0
1754002800000,2025-07-31 23:00:00,0.1546,0.1559,0.1545,0.1554,170138.0,1754003699999,26434.73094,362,104137.7,16193.52999,0
1754003700000,2025-07-31 23:15:00,0.1555,0.1555,0.1543,0.1544,88081.9,1754004599999,13636.55608,368,28269.4,4378.06441,0
