openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,37.95,38.07,37.94,38.05,303.598,1753975799999,11529.14902,50,251.674,9556.85201,0
1753975800000,2025-07-31 15:30:00,38.03,38.22,38.03,38.17,431.553,1753976699999,16452.22512,124,41.741,1591.92415,0
1753976700000,2025-07-31 15:45:00,38.2,38.21,38.02,38.06,192.992,1753977599999,7348.48577,88,15.55,592.33682,0
1753977600000,2025-07-31 16:00:00,38.06,38.18,38.03,38.18,217.855,1753978499999,8300.7383,66,134.033,5106.57075,0
1753978500000,2025-07-31 16:15:00,38.21,38.4,38.21,38.39,259.298,1753979399999,9927.01231,105,128.314,4914.92863,0
1753979400000,2025-07-31 16:30:00,38.38,38.81,38.38,38.68,718.683,1753980299999,27726.0554,194,526.316,20284.17951,0
1753980300000,2025-07-31 16:45:00,38.67,38.74,38.46,38.66,293.965,1753981199999,11337.2609,111,213.122,8220.81876,0
1753981200000,2025-07-31 17:00:00,38.63,38.63,38.41,38.48,129.152,1753982099999,4970.11081,60,65.705,2529.44759,0
1753982100000,2025-07-31 17:15:00,38.52,38.61,38.19,38.33,313.171,1753982999999,12031.81899,95,66.45,2551.96289,0
1753983000000,2025-07-31 17:30:00,38.31,38.37,38.21,38.23,182.653,1753983899999,6992.64756,40,48.616,1861.7033,0
1753983900000,2025-07-31 17:45:00,38.31,38.33,37.98,38.05,224.857,1753984799999,8567.54686,84,74.699,2850.8965,0
1753984800000,2025-07-31 18:00:00,38.07,38.1,37.8,37.98,250.487,1753985699999,9496.48046,89,118.998,4514.4844,0
1753985700000,2025-07-31 18:15:00,37.91,38.21,37.85,38.21,197.977,1753986599999,7520.46934,63,130.431,4955.23339,0
1753986600000,2025-07-31 18:30:00,38.24,38.33,38.17,38.25,251.698,1753987499999,9629.48762,76,167.479,6409.54189,0
1753987500000,2025-07-31 18:45:00,38.23,38.31,37.77,37.83,814.318,1753988399999,30958.20912,178,107.499,4085.47954,0
1753988400000,2025-07-31 19:00:00,37.87,37.9,37.57,37.58,282.953,1753989299999,10664.98996,89,138.756,5231.6376,0
1753989300000,2025-07-31 19:15:00,37.57,37.68,37.52,37.6,148.561,1753990199999,5585.66854,42,86.542,3255.49437,0
1753990200000,2025-07-31 19:30:00,37.63,37.63,37.53,37.57,74.204,1753991099999,2787.67788,27,29.492,1108.14736,0
1753991100000,2025-07-31 19:45:00,37.59,37.65,37.37,37.61,542.096,1753991999999,20338.14046,127,208.132,7804.56324,0
1753992000000,2025-07-31 20:00:00,37.64,37.66,37.21,37.53,1046.763,1753992899999,39135.7853,197,351.095,13158.51662,0
