openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,1.773,1.78,1.77,1.775,16812.77,1753975799999,29844.99802,431,9908.17,17584.07709,0
1753975800000,2025-07-31 15:30:00,1.774,1.796,1.774,1.79,34264.21,1753976699999,61129.88343,539,20810.61,37056.24521,0
1753976700000,2025-07-31 15:45:00,1.79,1.797,1.781,1.785,16170.79,1753977599999,28873.87117,396,8940.3,15965.74941,0
1753977600000,2025-07-31 16:00:00,1.785,1.798,1.785,1.796,21974.76,1753978499999,39341.36076,434,9326.8,16712.0132,0
1753978500000,2025-07-31 16:15:00,1.796,1.811,1.796,1.808,19221.55,1753979399999,34645.82204,385,9508.84,17133.42767,0
1753979400000,2025-07-31 16:30:00,1.807,1.83,1.807,1.824,23465.81,1753980299999,42772.09659,549,13725.45,24998.17894,0
1753980300000,2025-07-31 16:45:00,1.824,1.826,1.809,1.815,18824.95,1753981199999,34209.06908,419,12379.08,22500.10559,0
1753981200000,2025-07-31 17:00:00,1.815,1.815,1.802,1.808,22602.61,1753982099999,40845.5435,367,6917.56,12503.62734,0
1753982100000,2025-07-31 17:15:00,1.807,1.816,1.789,1.797,33865.29,1753982999999,60980.61912,579,18565.67,33434.21035,0
1753983000000,2025-07-31 17:30:00,1.798,1.808,1.793,1.8,18048.1,1753983899999,32509.83187,424,8380.23,15092.43494,0
1753983900000,2025-07-31 17:45:00,1.8,1.802,1.784,1.789,13103.6,1753984799999,23446.2388,387,6582.26,11778.83041,0
1753984800000,2025-07-31 18:00:00,1.789,1.79,1.768,1.775,26693.92,1753985699999,47459.75675,737,10965.38,19497.61011,0
1753985700000,2025-07-31 18:15:00,1.774,1.793,1.769,1.792,25381.22,1753986599999,45181.38303,523,13853.95,24653.68592,0
1753986600000,2025-07-31 18:30:00,1.791,1.799,1.79,1.791,13094.87,1753987499999,23478.76783,325,9097.62,16312.15196,0
1753987500000,2025-07-31 18:45:00,1.791,1.796,1.784,1.788,5760.78,1753988399999,10325.44938,242,3162.0,5668.67881,0
1753988400000,2025-07-31 19:00:00,1.789,1.792,1.771,1.772,14377.68,1753989299999,25607.96761,366,3964.12,7070.17318,0
1753989300000,2025-07-31 19:15:00,1.773,1.784,1.773,1.778,11664.61,1753990199999,20750.20936,421,5048.38,8977.73796,0
1753990200000,2025-07-31 19:30:00,1.779,1.783,1.775,1.781,6640.12,1753991099999,11811.44928,264,3651.75,6494.77326,0
1753991100000,2025-07-31 19:45:00,1.782,1.785,1.77,1.777,16198.0,1753991999999,28771.12674,328,5306.21,9433.91816,0
1753992000000,2025-07-31 20:00:00,1.777,1.778,1.757,1.764,35199.84,1753992899999,62065.23079,652,15194.43,26801.88815,0
1753992900000,2025-07-31 20:15:00,1.765,1.777,1.762,1.768,19354.64,1753993799999,34251.84098,443,7366.55,13038.45595,0
1753993800000,2025-07-31 20:30:00,1.768,1.773,1.761,1.768,13335.95,1753994699999,23565.84401,462,5564.75,9827.49588,0
1753994700000,2025-07-31 20:45:00,1.768,1.771,1.759,1.765,13962.39,1753995599999,24652.26992,339,5982.18,10563.21536,0
1753995600000,2025-07-31 21:00:00,1.765,1.77,1.76,1.761,12362.34,1753996499999,21793.38403,316,4792.46,8450.75383,0
1753996500000,2025-07-31 21:15:00,1.76,1.764,1.753,1.764,7756.3,1753997399999,13645.60124,252,4655.11,8193.76782,0
1753997400000,2025-07-31 21:30:00,1.764,1.775,1.762,1.762,5916.72,1753998299999,10457.68584,217,2410.31,4261.51429,0
1753998300000,2025-07-31 21:45:00,1.762,1.762,1.731,1.753,47873.41,1753999199999,83602.84918,898,22046.73,38454.00461,0
1753999200000,2025-07-31 22:00:00,1.754,1.754,1.733,1.743,15111.4,1754000099999,26312.61666,528,6019.23,10475.38134,0
1754000100000,2025-07-31 22:15:00,1.743,1.751,1.735,1.741,29059.15,1754000999999,50597.43973,601,19263.02,33525.18808,0
1754001000000,2025-07-31 22:30:00,1.741,1.741,1.728,1.735,22029.04,1754001899999,38182.13748,423,6313.47,10938.34231,0
1754001900000,2025-07-31 22:45:00,1.736,1.743,1.728,1.743,17245.37,1754002799999,29954.86394,371,8782.31,15253.98543,0
1754002800000,2025-07-31 23:00:00,1.742,1.766,1.728,1.749,332774.2,1754003699999,581082.57473,2663,134318.06,234185.93558,0
1754003700000,2025-07-31 23:15:00,1.75,1.75,1.728,1.728,64282.04,1754004599999,111536.18889,833,21612.61,37520.54263,0
