openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.247,0.2477,0.2469,0.2475,26414.0,1753975799999,6532.0398,48,13484.0,3334.0287,0
1753975800000,2025-07-31 15:30:00,0.2479,0.2493,0.2479,0.2488,71613.0,1753976699999,17783.5989,101,21767.0,5408.9546,0
1753976700000,2025-07-31 15:45:00,0.2488,0.2494,0.2479,0.2486,24031.0,1753977599999,5965.404,45,10117.0,2512.42,0
1753977600000,2025-07-31 16:00:00,0.2484,0.2488,0.2478,0.2486,32667.0,1753978499999,8117.8021,56,16491.0,4097.2641,0
1753978500000,2025-07-31 16:15:00,0.2489,0.2504,0.2489,0.2504,14316.0,1753979399999,3571.5136,40,9077.0,2263.7257,0
1753979400000,2025-07-31 16:30:00,0.2504,0.2533,0.2504,0.2526,58582.0,1753980299999,14764.7794,146,35025.0,8824.8522,0
1753980300000,2025-07-31 16:45:00,0.2528,0.2528,0.2512,0.2517,26776.0,1753981199999,6754.4483,83,22518.0,5681.4463,0
1753981200000,2025-07-31 17:00:00,0.2515,0.2515,0.2503,0.2508,24116.0,1753982099999,6054.6242,44,11147.0,2797.1462,0
1753982100000,2025-07-31 17:15:00,0.2509,0.2515,0.2487,0.2491,20118.0,1753982999999,5025.1349,41,8677.0,2165.3842,0
1753983000000,2025-07-31 17:30:00,0.2494,0.2503,0.2486,0.2486,35459.0,1753983899999,8857.587,42,8846.0,2210.1278,0
1753983900000,2025-07-31 17:45:00,0.249,0.2493,0.2465,0.2472,259298.0,1753984799999,64113.9756,291,89485.0,22136.0686,0
1753984800000,2025-07-31 18:00:00,0.2472,0.2474,0.245,0.2459,34360.0,1753985699999,8461.6402,57,9842.0,2424.8241,0
1753985700000,2025-07-31 18:15:00,0.2457,0.2474,0.2452,0.2474,39132.0,1753986599999,9633.0183,30,36191.0,8909.9286,0
1753986600000,2025-07-31 18:30:00,0.2475,0.2484,0.2475,0.2479,11310.0,1753987499999,2806.0498,20,5859.0,1453.1742,0
1753987500000,2025-07-31 18:45:00,0.248,0.2482,0.2467,0.2473,23986.0,1753988399999,5949.1548,18,22110.0,5485.0998,0
1753988400000,2025-07-31 19:00:00,0.2472,0.2475,0.2461,0.2461,5353.0,1753989299999,1321.9724,10,954.0,235.9036,0
