openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.992,0.997,0.991,0.994,154141.22,1753975799999,153247.49616,726,87992.44,87464.88522,0
1753975800000,2025-07-31 15:30:00,0.994,1.004,0.994,1.0,123863.56,1753976699999,123861.66715,1141,68968.42,68974.52815,0
1753976700000,2025-07-31 15:45:00,1.0,1.002,0.992,0.997,133590.22,1753977599999,133204.2724,1017,81022.84,80850.12782,0
1753977600000,2025-07-31 16:00:00,0.997,1.002,0.995,1.001,73642.7,1753978499999,73574.18316,641,60088.63,60033.66593,0
1753978500000,2025-07-31 16:15:00,1.002,1.007,0.995,1.003,110797.61,1753979399999,110998.69634,850,61000.75,61055.53232,0
1753979400000,2025-07-31 16:30:00,1.003,1.02,1.003,1.016,259432.21,1753980299999,263498.89545,1487,114221.38,115912.65294,0
1753980300000,2025-07-31 16:45:00,1.016,1.017,1.004,1.009,220633.69,1753981199999,222766.74279,950,135347.44,136694.05253,0
1753981200000,2025-07-31 17:00:00,1.009,1.009,0.998,1.003,82632.34,1753982099999,82774.16587,917,19705.76,19739.96741,0
1753982100000,2025-07-31 17:15:00,1.002,1.007,0.992,0.997,137464.5,1753982999999,137306.86998,1097,42119.26,42072.96304,0
1753983000000,2025-07-31 17:30:00,0.998,1.004,0.996,0.999,194626.6,1753983899999,194776.36064,839,128671.09,128816.81605,0
1753983900000,2025-07-31 17:45:00,1.0,1.001,0.991,0.993,116900.46,1753984799999,116140.78163,823,32069.24,31901.84083,0
1753984800000,2025-07-31 18:00:00,0.993,0.995,0.981,0.985,265152.2,1753985699999,261463.47287,1368,90782.79,89527.67687,0
1753985700000,2025-07-31 18:15:00,0.985,0.995,0.982,0.994,80983.71,1753986599999,79939.89759,950,49196.41,48623.62822,0
1753986600000,2025-07-31 18:30:00,0.994,0.999,0.994,0.995,77298.58,1753987499999,77074.07215,737,35179.28,35072.3275,0
1753987500000,2025-07-31 18:45:00,0.996,0.997,0.987,0.99,47615.56,1753988399999,47313.19646,423,26766.79,26591.20857,0
1753988400000,2025-07-31 19:00:00,0.991,0.993,0.982,0.983,66032.69,1753989299999,65204.13741,680,43267.34,42743.61908,0
1753989300000,2025-07-31 19:15:00,0.983,0.989,0.983,0.985,45319.81,1753990199999,44661.39475,527,27218.58,26816.9227,0
1753990200000,2025-07-31 19:30:00,0.985,0.986,0.982,0.986,80788.58,1753991099999,79597.1821,542,42290.23,41673.9525,0
1753991100000,2025-07-31 19:45:00,0.986,0.988,0.978,0.981,128183.81,1753991999999,125726.14722,937,55879.75,54830.92208,0
1753992000000,2025-07-31 20:00:00,0.98,0.981,0.97,0.975,311788.65,1753992899999,303630.50597,1608,78158.17,76214.90393,0
1753992900000,2025-07-31 20:15:00,0.974,0.98,0.971,0.975,135296.06,1753993799999,132176.39534,617,87184.58,85222.0989,0
