openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.0405,0.0408,0.0404,0.0407,941422.4,1753975799999,38201.88534,286,604696.8,24555.39735,0
1753975800000,2025-07-31 15:30:00,0.0407,0.0414,0.0407,0.041,1775757.5,1753976699999,72904.21982,562,1035568.3,42484.01134,0
1753976700000,2025-07-31 15:45:00,0.0411,0.0413,0.0408,0.0409,1846709.1,1753977599999,75779.14061,380,1158272.4,47533.30784,0
1753977600000,2025-07-31 16:00:00,0.0409,0.0409,0.0406,0.0409,997165.9,1753978499999,40695.14645,196,603588.9,24641.81719,0
1753978500000,2025-07-31 16:15:00,0.041,0.0414,0.041,0.0412,3136810.8,1753979399999,129085.57438,536,1348868.6,55547.21156,0
1753979400000,2025-07-31 16:30:00,0.0413,0.0418,0.0413,0.0415,1772749.5,1753980299999,73696.70513,474,595990.4,24766.76869,0
1753980300000,2025-07-31 16:45:00,0.0416,0.0416,0.0412,0.0415,1189283.2,1753981199999,49235.11176,291,521369.2,21606.36138,0
1753981200000,2025-07-31 17:00:00,0.0414,0.0414,0.0411,0.0413,1840576.0,1753982099999,76081.90262,297,1387951.5,57375.01829,0
1753982100000,2025-07-31 17:15:00,0.0414,0.0416,0.041,0.0412,1214531.3,1753982999999,50163.1902,521,512639.4,21168.20808,0
1753983000000,2025-07-31 17:30:00,0.0412,0.0414,0.0409,0.0411,625540.7,1753983899999,25761.4377,231,281475.1,11592.82335,0
1753983900000,2025-07-31 17:45:00,0.0411,0.0412,0.0407,0.0408,3108058.4,1753984799999,127034.9194,424,1136338.1,46448.41846,0
1753984800000,2025-07-31 18:00:00,0.0408,0.0409,0.0404,0.0405,1356753.6,1753985699999,55084.18855,453,737506.3,29981.79999,0
1753985700000,2025-07-31 18:15:00,0.0405,0.0409,0.0404,0.0409,1115742.4,1753986599999,45357.30481,295,365593.6,14848.26886,0
1753986600000,2025-07-31 18:30:00,0.0409,0.0412,0.0409,0.0409,470266.0,1753987499999,19283.09856,191,169599.7,6955.86457,0
1753987500000,2025-07-31 18:45:00,0.041,0.0411,0.0407,0.0408,330677.2,1753988399999,13548.98997,214,175686.2,7199.57266,0
1753988400000,2025-07-31 19:00:00,0.0408,0.0409,0.0404,0.0404,733603.6,1753989299999,29822.70544,276,349397.4,14223.3305,0
1753989300000,2025-07-31 19:15:00,0.0405,0.0407,0.0404,0.0406,447301.0,1753990199999,18157.89368,143,353780.7,14359.51347,0
1753990200000,2025-07-31 19:30:00,0.0406,0.0407,0.0405,0.0406,403067.9,1753991099999,16344.52611,155,119896.9,4866.87156,0
1753991100000,2025-07-31 19:45:00,0.0407,0.0407,0.0404,0.0406,259375.2,1753991999999,10509.25718,204,118189.6,4785.9911,0
1753992000000,2025-07-31 20:00:00,0.0405,0.0406,0.04,0.0403,2042667.6,1753992899999,82135.55582,675,1108247.4,44591.04692,0
1753992900000,2025-07-31 20:15:00,0.0403,0.0405,0.0401,0.0402,721552.4,1753993799999,29096.52696,431,316325.0,12760.68625,0
1753993800000,2025-07-31 20:30:00,0.0403,0.0404,0.04,0.0403,919714.5,1753994699999,37016.06957,321,499621.2,20118.61403,0
1753994700000,2025-07-31 20:45:00,0.0403,0.0403,0.0401,0.0402,565861.9,1753995599999,22772.17842,222,283451.0,11414.81819,0
1753995600000,2025-07-31 21:00:00,0.0402,0.0404,0.0401,0.0401,826898.8,1753996499999,33239.04668,378,376346.8,15128.30925,0
1753996500000,2025-07-31 21:15:00,0.0401,0.0402,0.0399,0.0402,568402.5,1753997399999,22780.17453,260,379960.0,15236.7425,0
1753997400000,2025-07-31 21:30:00,0.0402,0.0404,0.0401,0.0403,614327.9,1753998299999,24761.97648,229,424902.2,17136.53409,0
1753998300000,2025-07-31 21:45:00,0.0403,0.0403,0.0394,0.04,2080307.5,1753999199999,82929.38103,737,977909.4,38948.48508,0
1753999200000,2025-07-31 22:00:00,0.04,0.04,0.0395,0.0397,3705443.6,1754000099999,147083.76291,556,1794291.7,71204.39782,0
1754000100000,2025-07-31 22:15:00,0.0397,0.0399,0.0395,0.0398,1667830.8,1754000999999,66371.14746,437,998551.5,39739.49791,0
1754001000000,2025-07-31 22:30:00,0.0398,0.0398,0.0394,0.0395,1515691.2,1754001899999,60039.87025,342,978670.6,38786.60837,0
1754001900000,2025-07-31 22:45:00,0.0396,0.0397,0.0394,0.0396,554323.8,1754002799999,21906.0411,260,248015.2,9807.59391,0
1754002800000,2025-07-31 23:00:00,0.0395,0.0398,0.0395,0.0398,1466878.0,1754003699999,58169.12701,525,774086.9,30694.83345,0
1754003700000,2025-07-31 23:15:00,0.0397,0.0397,0.0394,0.0395,1385124.4,1754004599999,54793.87961,466,635672.7,25154.88938,0
1754004600000,2025-07-31 23:30:00,0.0394,0.0394,0.039,0.0391,2101767.9,1754005499999,82428.67827,754,1061155.1,41609.04067,0
1754005500000,2025-07-31 23:45:00,0.0392,0.0394,0.0391,0.0392,659597.2,1754006399999,25876.02357,318,294538.9,11554.20373,0
1754006400000,2025-08-01 00:00:00,0.0392,0.0393,0.0386,0.0387,2227300.2,1754007299999,86645.68644,706,1030136.3,40054.8054,0
1754007300000,2025-08-01 00:15:00,0.0387,0.0393,0.0386,0.039,1370935.4,1754008199999,53402.9469,514,734158.9,28615.70114,0
1754008200000,2025-08-01 00:30:00,0.039,0.039,0.0384,0.0386,2747645.1,1754009099999,106287.40954,588,1447403.7,55996.02209,0
1754009100000,2025-08-01 00:45:00,0.0385,0.0391,0.038,0.039,5676152.4,1754009999999,217723.8899,1543,2627738.3,100790.65871,0
1754010000000,2025-08-01 01:00:00,0.039,0.0392,0.0385,0.0386,2399841.7,1754010899999,93262.67874,603,1271477.3,49427.35337,0
1754010900000,2025-08-01 01:15:00,0.0386,0.0389,0.0385,0.0388,3415754.5,1754011799999,132245.08654,796,1824843.1,70682.35755,0
1754011800000,2025-08-01 01:30:00,0.0389,0.0392,0.0386,0.0389,1091808.0,1754012699999,42467.83448,409,525972.0,20456.83598,0
1754012700000,2025-08-01 01:45:00,0.039,0.039,0.0386,0.0389,1011964.7,1754013599999,39316.50041,328,322436.4,12516.21503,0
